"","lambda","sigma","xi"
"FernandinaBeach",0.00540235822664873,90.8307479054292,0.073430588116087
"KeyWestFL",0.00486502203489669,40.2896167987101,0.228512122999433
"PortlandME",0.00680113180919126,101.078474937867,-0.0205991806333624
"NewportRI",0.00735673723772634,108.370703267289,0.0479780463545621
"DuckPierNC",0.00600723601489271,135.167470229125,-0.0650110796690308
"CharlestonSC",0.00631981607927067,67.6052143401291,0.242404607689453
"AtlanticCityNJ",0.00712691277034592,111.794409903393,0.060007003137546
"MontaukNY",0.00769906693751509,160.591960011288,0.0382857676133355
"EastportME",0.00668217111600256,93.9155838046717,-0.00143643975453018
"BostonMA",0.00707874402551945,93.4183014486391,0.190342976915893
"WoodsHoleMA",0.00781664668882562,148.534804917733,0.0124527285943513
"NantucketMA",0.00724369495079335,91.1136932387139,0.381275394876369
"NewLondonCT",0.00808750167746277,140.944140708639,0.154588392994472
"NewYorkNY",0.00736442762944222,127.297534093583,0.181430954049612
"CapeMayNJ",0.00687421883787963,133.183784685954,-0.0416522983847193
"LewesDE",0.00709787806605594,138.934353908701,0.0516617004996624
"ChesapeakeBBT",0.00649606312244711,166.465417073856,-0.0275290643589926
"WilmingtonNC",0.00520518510626633,68.2363905284713,0.259485077712805
"FortPulaskiGA",0.00579660429258142,74.4299887043815,0.139992154222956
"MayportFL",0.00502799690515453,64.7589291714056,0.0274780774075272
"VirginiaKeyFL",0.00430748849655702,54.6617046797889,0.417573589640467
"NaplesFL",0.00739264923886332,81.5795335083712,0.224951619459876
"StPetersburgFL",0.00762099309771891,76.3821770003839,0.359985557634761
"ApalachicolaFL",0.00662251655265806,110.488057069449,0.517795006304286
"PanamaCityBeach",0.00661612680578583,119.904412238545,0.559994893157806
"PensacolaFL",0.00651398600747292,71.631710189478,0.472799115732965
"DauphinIslandAL",0.00595238088703357,78.2255923918214,0.595855023814373
"GrandIsleLA",0.00546841264396972,97.2898337589184,0.475548896219425
"SabinePassNTX",0.00528401593240973,79.4831763538851,0.403796979876839
"GalvestonPPier",0.00616276017885749,101.023062664021,0.42521304629557
"RockportTX",0.00418410046458354,68.8803341744401,0.364549516655447
"CorpusCristiTX",0.00488281255763634,125.409204037033,0.135921968836547
"PortIsabelTX",0.00440736666760369,76.6361828116977,0.197090237094514
"ClearwaterBchFL",0.00750769235244553,129.753856012391,-0.0216731681337819
"PortCanaveralFL",0.00530198237978857,51.1341144023435,0.431353912191155
"GalvestonPier21",0.00586596989008484,100.317430036549,0.354932776918823
