"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.00593791814261449,-0.000817503890635251,90.8306739450361,0.0734256727683676
"KeyWestFL",0.00608199582160325,-0.00206463004586995,40.289519825824,0.22850952968252
"PortlandME",0.00798033997202097,-0.00199332699692852,101.078157925829,-0.0205991418011458
"NewportRI",0.0059241262280581,0.00248317480809512,108.370588868099,0.0479793552179469
"DuckPierNC",0.00607041282641491,-0.000100097730415875,135.167197403497,-0.0650092353739192
"CharlestonSC",0.0070353121684791,-0.00122149557411653,67.6050871183275,0.242405347765858
"AtlanticCityNJ",0.00590500341172341,0.0020731373435902,111.79401426687,0.060010749499488
"MontaukNY",0.00751898993730525,0.000311126593849394,160.591444095022,0.0382901706581253
"EastportME",0.00538657775079254,0.0022247249048358,93.9153665078633,-0.00143393105254359
"BostonMA",0.00797733676666028,-0.00153605198535614,93.4190547411757,0.190336428563764
"WoodsHoleMA",0.00833923358525133,-0.000884063805569766,148.53410910196,0.0124596213750104
"NantucketMA",0.00738037459040027,-0.000226879390890619,91.1135682804553,0.38127969936003
"NewLondonCT",0.00632174548345601,0.00303469518717791,140.94432621655,0.154588262419355
"NewYorkNY",0.00606832017311791,0.0022395029993222,127.297489223677,0.181435309197141
"CapeMayNJ",0.00630202852174297,0.000942109312999796,133.184432520979,-0.041655550623528
"LewesDE",0.00654045004258526,0.0009410132666142,138.934232571947,0.0516632858420642
"ChesapeakeBBT",0.00451115037544346,0.00339199668416784,166.466228872792,-0.0275298674973816
"WilmingtonNC",0.00401123551808378,0.00206757735777002,68.2359922871658,0.259483313515461
"FortPulaskiGA",0.00472116882944848,0.00186441089297023,74.4301225034191,0.139991404561538
"MayportFL",0.00774925517932703,-0.00489423635094131,64.7586202451797,0.02747853080214
"VirginiaKeyFL",0.00561886010950419,-0.00206546191768052,54.6617534221679,0.417575139879566
"NaplesFL",0.00762177362917017,-0.000382984605805719,81.579245916444,0.224953084404524
"StPetersburgFL",0.00718430973118144,0.000744914146385507,76.3824599055101,0.359984105286616
"ApalachicolaFL",0.00537183240844471,0.0020371316917487,110.488335714774,0.517794092392453
"PanamaCityBeach",0.00658825461753003,4.09564713702929e-05,119.905028528593,0.559992306670461
"PensacolaFL",0.0075114041731132,-0.00171526418086446,71.6316423578611,0.472797719747899
"DauphinIslandAL",0.00792440258239818,-0.00307980988653984,78.2256164598505,0.595856392700787
"GrandIsleLA",0.00701689081034485,-0.00241482342346112,97.2897738137574,0.475546163721469
"SabinePassNTX",0.00683288802847111,-0.0024045828074315,79.4839714309951,0.403788113712781
"GalvestonPPier",0.00719361437940985,-0.00190129389791243,101.022969714551,0.425212950663255
"RockportTX",0.00490619671259962,-0.00123258015474915,68.880689160765,0.364546234535286
"CorpusCristiTX",0.00784884314614117,-0.00461358476873483,125.409222130783,0.135922006068345
"PortIsabelTX",0.00684102513094141,-0.00418194212834749,76.6363385553665,0.197086183528938
"ClearwaterBchFL",0.00604822330570488,0.002256022546858,129.753459051987,-0.0216719547131155
"PortCanaveralFL",0.00404610192751257,0.00200497290402045,51.1342297375941,0.431356650942386
"GalvestonPier21",0.00638003960140375,-0.000854931145855119,100.316902081509,0.354933374462208
