"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00540245251511272,4.21761850889761,0.489205534361502,0.0555228114225249
"KeyWestFL",0.00486507536354958,3.52623329615158,0.314278881226451,0.223771303422482
"PortlandME",0.00680112151821325,4.54562167651111,0.115462476824086,-0.0130445265342803
"NewportRI",0.00735660431825016,4.82797533113409,-0.261949265021726,0.0512308553089979
"DuckPierNC",0.00600737818262443,4.60966926341284,0.475046102464996,-0.0483300656306727
"CharlestonSC",0.0063195370582732,3.9467181050484,0.49824508787251,0.227429366814405
"AtlanticCityNJ",0.00712685004985769,4.7954593902081,-0.133605305838707,0.0577531844403938
"MontaukNY",0.00769920135601241,5.06205958438174,0.0298072709407989,0.0390899935126455
"EastportME",0.00668225186736904,4.92098256153399,-0.66371780534449,-0.018409661397106
"BostonMA",0.00707852250507415,4.68141950257902,-0.256504857438234,0.183695896314774
"WoodsHoleMA",0.00781660773472671,4.6232542674413,0.731254718416978,-0.0102698476396433
"NantucketMA",0.00724368957867997,4.59031017289413,-0.147151544841303,0.381678292986013
"NewLondonCT",0.00808749130148767,4.56313039214783,0.656421121335002,0.16566193624458
"NewYorkNY",0.00736431417885659,4.80186041372217,0.0792515287482424,0.181922413617104
"CapeMayNJ",0.0068742325818096,4.63991628557431,0.469975084569058,-0.0599399500796637
"LewesDE",0.0070979974382849,4.99062397477871,-0.0979544943861759,0.0510847078514652
"ChesapeakeBBT",0.00649601662415781,5.25107852430737,-0.204568176537173,-0.0428315991847141
"WilmingtonNC",0.00520507857764933,4.56094315359849,-0.606990867057388,0.254936636366906
"FortPulaskiGA",0.00579658685490822,4.26272835676346,0.0880458788562407,0.13742322887039
"MayportFL",0.00502826728010413,4.39972596359287,-0.420643172433772,0.0164244389818171
"VirginiaKeyFL",0.00430732627815766,3.40339658685857,1.23003826230446,0.311795713110463
"NaplesFL",0.00739254268302829,4.0283039388651,0.707591811593357,0.194535782974814
"StPetersburgFL",0.00762078751605549,4.43297648627284,-0.167767148601841,0.358625668730865
"ApalachicolaFL",0.00662253163288973,5.24199329749219,-0.87443334922959,0.468243286067334
"PanamaCityBeach",0.00661609185695226,5.79819037009501,-1.62320374880109,0.473811859308961
"PensacolaFL",0.00651402565491941,4.48879098594771,-0.384908006380112,0.462444377292236
"DauphinIslandAL",0.00595232572556168,4.63212126572205,-0.512123551818579,0.576444798590571
"GrandIsleLA",0.00546837096880656,5.00104913015448,-0.706591750250097,0.439464566775009
"SabinePassNTX",0.00528390307865485,4.08435104837587,0.535046390559629,0.394482097666039
"GalvestonPPier",0.00616276573697115,4.31359347633806,0.58974988622815,0.410040679836774
"RockportTX",0.0041841087637823,4.34075558165139,-0.230183933665882,0.374247997553572
"CorpusCristiTX",0.0048828236257831,5.06996556908969,-0.498877035250904,0.166117722186669
"PortIsabelTX",0.00440733399278449,4.62314751276376,-0.584799299063958,0.213803646228948
"ClearwaterBchFL",0.00750772903889848,4.69480541044871,0.267724173848996,-0.00834541129124292
"PortCanaveralFL",0.00530204296115513,3.67254171447175,0.471313786825545,0.412700675913018
"GalvestonPier21",0.00586597853547944,4.5884096232956,0.0354628202021842,0.354540832368431
