"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00540236022898031,93.0661501004503,-0.335446224564852,0.602948898584001
"KeyWestFL",0.00486501914946718,40.1212752552117,0.0886335847829776,0.257542740294343
"PortlandME",0.00680110470930207,105.093483147294,0.140693025161899,-0.365056047528034
"NewportRI",0.00735675025153095,108.347530012574,0.0326764203994263,0.0281237970583138
"DuckPierNC",0.0060072137553281,136.537462126882,-0.00923692609161225,-0.109074136492153
"CharlestonSC",0.00631981194304383,70.9191977410713,-0.178818361960261,0.650294447279985
"AtlanticCityNJ",0.00712689824209777,112.130921755952,0.167304220625029,-0.193203933676917
"MontaukNY",0.00769907086522445,163.161077758553,0.177676689179973,-0.289024580743805
"EastportME",0.0066821869511024,94.0257718004686,0.240459685780692,-0.453052982041186
"BostonMA",0.00707873915420094,94.4365576736517,0.38480262531341,-0.384070557449088
"WoodsHoleMA",0.00781663923513195,152.069446592749,-0.208529856523883,0.349654530291544
"NantucketMA",0.00724368150885926,91.9044306977722,0.507056323778107,-0.251951619268997
"NewLondonCT",0.0080874914483967,141.478690794445,0.200803307349665,-0.0863528897730477
"NewYorkNY",0.00736444953533983,127.278635968013,0.185655360101485,-0.00729287574500287
"CapeMayNJ",0.00687423436225209,130.865426172468,-0.244625301928753,0.379202140015317
"LewesDE",0.00709787657134585,139.263798245265,0.0812014842633759,-0.0560054816257295
"ChesapeakeBBT",0.00649607106722742,167.059801786056,0.148056583162984,-0.304715379408181
"WilmingtonNC",0.00520519011368835,67.911141595366,0.36354204212131,-0.183623927790182
"FortPulaskiGA",0.00579662100098888,76.5783843930182,-0.114423927130876,0.394959272975067
"MayportFL",0.00502800317747604,63.4971108033529,0.361548120427863,-0.608694763679118
"VirginiaKeyFL",0.0043074934109491,57.925567165327,-0.288265674746574,1.11073429809246
"NaplesFL",0.00739263173927061,85.1594087509504,-0.185790892613339,0.633066046246991
"StPetersburgFL",0.0076209742215945,76.9648800510153,0.491396757284252,-0.243647389618181
"ApalachicolaFL",0.0066225045165742,113.548632823734,0.934727668997203,-0.812164847053135
"PanamaCityBeach",0.00661612726876151,134.930645132286,1.07839493291767,-1.1467184314494
"PensacolaFL",0.00651399607678049,71.7706181508605,0.795171454158722,-0.60474436809733
"DauphinIslandAL",0.00595238040541271,78.1005673023366,0.925253033861393,-0.661314267622149
"GrandIsleLA",0.00546842396807539,104.006207940963,1.40268808475588,-1.78470120780322
"SabinePassNTX",0.00528400779529261,80.0615119461708,0.4501759065903,-0.0938997576022204
"GalvestonPPier",0.00616276451125612,101.605017510117,-0.3938034958686,1.55645790495828
"RockportTX",0.00418409082033373,76.4648955010016,-0.480575155303836,1.50129811723126
"CorpusCristiTX",0.00488282736085494,125.533723788185,-0.0644311259573045,0.382054760238967
"PortIsabelTX",0.00440735349244603,77.6352352676399,-0.0279788236832238,0.418859641562709
"ClearwaterBchFL",0.00750767259578293,133.353527248474,0.115609243556376,-0.276273754091324
"PortCanaveralFL",0.00530198149924464,53.8342151223721,-0.404796763801837,1.34136955658414
"GalvestonPier21",0.00586597127615018,100.325662605792,0.168975080366217,0.32545539872991
