"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00574366569568546,-0.000546750922467115,4.21878820289773,0.485059626672802,0.0568772798122694
"KeyWestFL",0.00655264572707121,-0.00294531279974655,3.52629404250024,0.312178286857066,0.224525606607522
"PortlandME",0.0104922477279834,-0.00639187504025036,4.54827464879817,0.111917976593574,-0.0134310220334357
"NewportRI",0.00707759876551481,0.000481028105352612,4.8280237599619,-0.261960174378442,0.0508298809903361
"DuckPierNC",0.00700705235702333,-0.00168073121744869,4.61020365599168,0.4754047360596,-0.0483276730843166
"CharlestonSC",0.00720916621872833,-0.00156434618720141,3.94906676071123,0.497193628606053,0.226834676679224
"AtlanticCityNJ",0.00698865186719934,0.000246409442458246,4.79637773917035,-0.132989292250651,0.056858310049345
"MontaukNY",0.0097958491084948,-0.00377792527270549,5.0603271328725,0.0333040315638583,0.0391824102329455
"EastportME",0.00694855067971338,-0.000473115848023369,4.91723831159238,-0.659341520967755,-0.0187073129032489
"BostonMA",0.0099427195111043,-0.00504149960858387,4.6825325653321,-0.257980077381804,0.183220906609099
"WoodsHoleMA",0.0114469533686164,-0.00644325482410774,4.62250056050039,0.732103694226977,-0.0100310168310895
"NantucketMA",0.0110462164281133,-0.0066550016006588,4.5883751897204,-0.142539685904,0.381083968550014
"NewLondonCT",0.0080312426204853,9.90682275647195e-05,4.56420992924692,0.655169765194215,0.165690022476239
"NewYorkNY",0.00776857693218247,-0.000716015249882514,4.79947955293561,0.083516661343231,0.181656963233104
"CapeMayNJ",0.00776229107689482,-0.00154898172343365,4.63750994372794,0.472299421307764,-0.059265643458856
"LewesDE",0.00679072801419342,0.000538930247289553,4.99032853071081,-0.0963243582812455,0.0505606475842317
"ChesapeakeBBT",0.00477086347589463,0.00301676965521182,5.25018920918802,-0.201777724882622,-0.0431275816654301
"WilmingtonNC",0.0051370003514121,0.000116515215208436,4.5607930730009,-0.606003164595522,0.255362465023551
"FortPulaskiGA",0.00525959901490487,0.000970678655849508,4.26485143746221,0.0838846925660852,0.136956853190093
"MayportFL",0.00775556433532198,-0.00490525291978555,4.39696855304618,-0.415902096376786,0.0165585712386947
"VirginiaKeyFL",0.0050919360078199,-0.00137873408619719,3.40178177329489,1.23033860767707,0.313108783564344
"NaplesFL",0.008249504364009,-0.00148741412582989,4.02773575224203,0.706867309109094,0.194846023143198
"StPetersburgFL",0.00653705823298382,0.00192321015193327,4.43351970765234,-0.167959267732474,0.357630405411124
"ApalachicolaFL",0.00705919959565839,-0.000756678958654193,5.24419822949332,-0.879391315636193,0.468396317113032
"PanamaCityBeach",0.00753285022654795,-0.0015269133373659,5.79615131949153,-1.62164860019313,0.475012420572303
"PensacolaFL",0.00872992667833514,-0.00392453657001981,4.4902612656283,-0.386287441415502,0.462181311948747
"DauphinIslandAL",0.0109388049996999,-0.00843082438059773,4.63167682115048,-0.51095645956198,0.577024779994503
"GrandIsleLA",0.00779792378546745,-0.003891654146,5.00135649161454,-0.705736677776256,0.43946803620317
"SabinePassNTX",0.00793793306015646,-0.00445250323290979,4.09024332600056,0.529403762890659,0.393560119281135
"GalvestonPPier",0.00719703004456654,-0.00190648595528462,4.31156764316879,0.593713719051378,0.410456202984875
"RockportTX",0.00749091575508315,-0.00582189117759933,4.34018231553155,-0.229422282260683,0.374767838106376
"CorpusCristiTX",0.00756429619709123,-0.00450821208012696,5.06847834020893,-0.497416433546061,0.166522587068341
"PortIsabelTX",0.00731824237501213,-0.00520076914382183,4.62614513157605,-0.589142942746017,0.213962396391023
"ClearwaterBchFL",0.00667328521183468,0.00145945250029056,4.69568057820121,0.265879862040709,-0.00842744079715798
"PortCanaveralFL",0.00365137044787412,0.00295427459779105,3.67220540352161,0.472828906439247,0.411545497860676
"GalvestonPier21",0.00717120261812786,-0.00222927980739897,4.58494707775264,0.0408273142779644,0.356415541843793
