"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00572909302355832,-0.000521923774379777,93.0593795163512,-0.335580903579444,0.603441672925869
"KeyWestFL",0.00656733338836131,-0.00296608028776487,40.1267088430477,0.0884636693368736,0.258000587337535
"PortlandME",0.0104759885778842,-0.00637810257371356,105.071673247334,0.140875437540062,-0.365297503652707
"NewportRI",0.00708686484061711,0.000483081788804224,108.355043846128,0.0325495120227995,0.0281913948616395
"DuckPierNC",0.00700730180712816,-0.00169244333437591,136.531976366876,-0.00913753054054917,-0.109183772535188
"CharlestonSC",0.00720331566586232,-0.00155191250137162,70.9102212909442,-0.178714394280629,0.650416202552922
"AtlanticCityNJ",0.00697334640966475,0.000268238699800023,112.140641744298,0.16755929272538,-0.1938503008788
"MontaukNY",0.0097927574846641,-0.00377587193474453,163.156231362985,0.177918367264887,-0.289305419525107
"EastportME",0.00695707491385488,-0.000489189383888217,94.0533859600583,0.240041926517877,-0.452743009895709
"BostonMA",0.00993914138342356,-0.00503412049612971,94.4425386708652,0.384897498678341,-0.384269671775086
"WoodsHoleMA",0.0114408383626536,-0.00643893931043606,152.083470846133,-0.20878274876978,0.349958145588129
"NantucketMA",0.0110587267500209,-0.00667842351392163,91.905102268742,0.506971181575816,-0.251606225931145
"NewLondonCT",0.00801571928221211,0.000127227160725493,141.479795460585,0.200682188266347,-0.086119001144765
"NewYorkNY",0.00775064902155045,-0.000691759393841488,127.294825774059,0.185499791968059,-0.0071436142717593
"CapeMayNJ",0.00775845867643679,-0.00154134234555024,130.88755876741,-0.244692845413636,0.379130563274477
"LewesDE",0.00678648788885296,0.000544667986832664,139.264051901468,0.0812255715030043,-0.0559447617447719
"ChesapeakeBBT",0.00476904799935008,0.00302333503233711,167.004141015601,0.148053564345489,-0.304383702791514
"WilmingtonNC",0.00513849187451869,0.000120550287983133,67.9209265800962,0.363443289462568,-0.183595698911096
"FortPulaskiGA",0.00525721423863865,0.000968653392619396,76.5662328028687,-0.114434631921279,0.395089644568501
"MayportFL",0.00774637606880551,-0.00488873603031638,63.4848604695204,0.362143491033982,-0.609598798164776
"VirginiaKeyFL",0.00509255755244967,-0.00137731115850831,57.9249424432791,-0.288217899702902,1.11064071072289
"NaplesFL",0.00822265571418986,-0.00146280104513827,85.1600253711776,-0.185825585383967,0.633143559659926
"StPetersburgFL",0.0065343357121182,0.0019287761416324,76.9613630199466,0.491185546552677,-0.243292545621119
"ApalachicolaFL",0.00705484665999466,-0.000750996744992711,113.56413224813,0.934538945721415,-0.812089984690021
"PanamaCityBeach",0.00753601070648513,-0.00153585326912393,134.922180656789,1.07840892613715,-1.14682698699008
"PensacolaFL",0.00873577558033021,-0.00393763399019321,71.7709152628161,0.795255667415819,-0.604827770513772
"DauphinIslandAL",0.0109502896160254,-0.00844663635198165,78.1270321154042,0.924530858598456,-0.660429847007324
"GrandIsleLA",0.00779467578431895,-0.00388386914156982,103.997311855689,1.40274216304453,-1.78465323682174
"SabinePassNTX",0.00793872656513516,-0.00445704258064295,80.0649350364035,0.450005060540948,-0.0936773038815964
"GalvestonPPier",0.00719290498991994,-0.00190026486420303,101.611761114729,-0.394143050381605,1.55702029695395
"RockportTX",0.00747050485381209,-0.00579295355050323,76.4622674144958,-0.480756579854367,1.50173623238134
"CorpusCristiTX",0.0075646115332124,-0.00450713749904915,125.529685166468,-0.0646169491854913,0.382507583156258
"PortIsabelTX",0.0073218529102403,-0.00521514670249697,77.6323079561794,-0.0281185638917799,0.419214364311117
"ClearwaterBchFL",0.00667948622358638,0.00144162794689806,133.352169545365,0.11562894250623,-0.276384970688442
"PortCanaveralFL",0.00365858854374765,0.00294253520113482,53.8297635892217,-0.404959883769053,1.34179072344152
"GalvestonPier21",0.00716995836401093,-0.00222380962407339,100.312869520417,0.167947782383732,0.327266569872713
