"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00540325094477126,4.29920317208784,0.361161158671909,-0.150963066381952,0.291606410463459
"KeyWestFL",0.00486550243673655,3.79083067971625,-0.179919390267366,0.0803818095022182,0.272658136329008
"PortlandME",0.00665331715395956,3.68850912659243,1.65733143843206,0.646666082613006,-1.26117205265799
"NewportRI",0.00735521697196419,5.0664315591504,-0.646860288813737,-0.0633494796237394,0.18387728825727
"DuckPierNC",0.00599869937604013,4.84163765171108,0.129861933158889,0.116120531316476,-0.316330946259707
"CharlestonSC",0.00631679593777254,4.15156492419454,0.185495632173419,-0.147836819633859,0.575769604878331
"AtlanticCityNJ",0.00712828543592169,4.72134207097655,0.00407899732336713,0.258677819809095,-0.344545680525862
"MontaukNY",0.00770245444902148,4.91087061789904,0.336229577034464,0.427707877646228,-0.727749944087841
"EastportME",0.00667893354458575,4.47387340167116,0.166725258772719,0.276185172087144,-0.521905824288196
"BostonMA",0.00707577448071592,4.54024872261611,-0.00425500286140745,0.102582996285125,0.149792481584998
"WoodsHoleMA",0.00782319514353153,5.07510789296021,-0.0967962345087074,-0.195544204517599,0.322084104492183
"NantucketMA",0.00723840244294564,3.66861922636935,1.49500954216409,0.813174229241664,-0.857544374536097
"NewLondonCT",0.0080902551730302,4.62356798191137,0.553690116516876,0.670830785484335,-0.870201658133878
"NewYorkNY",0.00736580628979763,4.53970964597411,0.477556503957694,0.578464922274633,-0.631863617741314
"CapeMayNJ",0.00687286068300773,4.78664580459913,0.162765616446881,-0.102015203228385,0.101074108775916
"LewesDE",0.00710064335500982,4.86588503338854,0.121022750841182,0.102741200097301,-0.0925175473885402
"ChesapeakeBBT",0.00650111663944125,5.03491847904681,0.12148341821176,0.245404904969426,-0.444053871742787
"WilmingtonNC",0.0052079641399285,4.28085016841927,-0.0898547299761782,-0.000183922039180424,0.41216140492723
"FortPulaskiGA",0.00579221365883107,4.5741676373498,-0.413850652410774,-0.219911596941239,0.554154912997878
"MayportFL",0.00502842098937301,4.2179717955982,-0.119090305174992,0.326153710966737,-0.548062259671186
"VirginiaKeyFL",0.00430654517843141,3.95271746147474,0.180860345547516,-0.106348010996119,0.757435962359563
"NaplesFL",0.00739880208456928,4.22984821561691,0.331217570058805,0.0268995788114978,0.277239273386445
"StPetersburgFL",0.00762058617652816,3.81872674307172,0.921447986139979,0.81939970466584,-0.831208321674617
"ApalachicolaFL",0.00662394998627165,4.75856702462629,-0.0820863509999433,0.550350951906554,-0.0534314136996672
"PanamaCityBeach",0.00661183177216578,5.67632351080738,-1.28655140113126,0.392345636527865,0.188791844809213
"PensacolaFL",0.00651288679013095,3.88910895236987,0.66831981462858,0.982627614916677,-0.906065833304197
"DauphinIslandAL",0.00595200858101992,4.66446451313972,-0.506116229269093,0.621079893533586,-0.0823348501030385
"GrandIsleLA",0.00546871570153308,4.7944982479588,-0.285521813753638,0.767558910831296,-0.590560184255272
"SabinePassNTX",0.00528402334929815,4.16028373073481,0.502120973028345,0.852668307654191,-0.882042956199848
"GalvestonPPier",0.00603612179031593,4.96823413579554,-0.586978046727889,-1.06077963929746,2.92000127557285
"RockportTX",0.0041821402220326,4.9671279603909,-1.34170376178035,-0.989337003390194,2.51801783325702
"CorpusCristiTX",0.00488115206466225,5.28548380195184,-0.900921953445586,-0.281253243771152,0.82922092868674
"PortIsabelTX",0.00440773211682154,4.7917887091533,-0.871180717846232,-0.198971559224052,0.753518113788477
"ClearwaterBchFL",0.00750506903314414,4.13248382654238,1.19332178536652,0.501707809381436,-0.911376287919741
"PortCanaveralFL",0.0053030661531526,3.20682224342054,1.06998617986724,0.878788883268311,-0.662820835333096
"GalvestonPier21",0.00586572854828773,4.48214067638633,0.212401107919328,0.513844502430818,-0.268094260434291
