"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00582396494509206,-0.000621419844301496,4.30532566750655,0.333815541020952,-0.155235971428624,0.29579035260071
"KeyWestFL",0.00617472377124484,-0.00218717631776244,3.80550914236435,-0.206907125483481,0.0831635620751632,0.266495451908378
"PortlandME",0.00801612244672166,-0.00197935295554226,3.95333744177368,1.22420866841509,0.388601735150853,-0.824104325473056
"NewportRI",0.00596558439865483,0.00246023822097785,5.06464600868014,-0.649059164753988,-0.0575798959019724,0.177528874618544
"DuckPierNC",0.0059555774147409,5.07830607063498e-05,4.84524693846668,0.101911972506711,0.145661936665903,-0.346813704489066
"CharlestonSC",0.00700893875219107,-0.00116198724664938,4.12208495593961,0.237186012572574,-0.141151364894296,0.567035357313107
"AtlanticCityNJ",0.00595399606019564,0.00198444298734796,4.71014859994827,0.0185765005914793,0.283402862456278,-0.375216908271506
"MontaukNY",0.0074903936806999,0.000335474089389386,4.9016590871297,0.362818263049002,0.455331554621679,-0.774121564779588
"EastportME",0.00538919900713982,0.00218168575627338,4.49748585248033,0.142923417796849,0.260434130981067,-0.497648149924052
"BostonMA",0.008002122524165,-0.00156167326301701,4.52570809823033,0.0210022004261759,0.127849412316413,0.111927964870505
"WoodsHoleMA",0.00837556906390678,-0.000859963777940517,5.06904138381939,-0.0858829380854318,-0.183274533980029,0.295501252195896
"NantucketMA",0.00742132754572107,-0.000353318914543397,3.65877390949395,1.49745871233352,0.809983135241104,-0.84156684192438
"NewLondonCT",0.0062450321241988,0.00315126673552232,4.62339210014667,0.552677148296142,0.663133055089783,-0.862057024639681
"NewYorkNY",0.00613365091782291,0.00211247174700457,4.51548411743434,0.507420927512492,0.606518907844448,-0.664240791327115
"CapeMayNJ",0.0063495934098205,0.000899873611898217,4.78444177821994,0.167986174786618,-0.0894937669273292,0.076738280398326
"LewesDE",0.0065455091398769,0.00099243050778677,4.83631257132773,0.155251945124343,0.104003217429708,-0.0868282304184069
"ChesapeakeBBT",0.00454073087136266,0.00331597001996015,4.98936259506417,0.176231753076999,0.29744300822099,-0.505916565419248
"WilmingtonNC",0.00410604411102839,0.00190804520898322,4.25758205957398,-0.0516436228630987,0.0181445267711951,0.371313835231337
"FortPulaskiGA",0.00460515912028166,0.0019601636669592,4.58151824720393,-0.418478003920569,-0.240588867669914,0.587354358507762
"MayportFL",0.00777761588463762,-0.00483480264721445,4.23965575675695,-0.146237358261365,0.325688506698792,-0.550723185215219
"VirginiaKeyFL",0.00569514920713737,-0.00216934930329383,3.94569078613848,0.180037937409496,-0.0906505456716439,0.742153189118209
"NaplesFL",0.00759401429616947,-0.000315717327537243,4.20946390899414,0.352880378777945,0.0453285836684629,0.252098622284257
"StPetersburgFL",0.00720261255066102,0.000677699656140658,3.83772806646187,0.889867635561956,0.784231972730251,-0.784677332665091
"ApalachicolaFL",0.00539261958086408,0.00198378798484262,4.76933497759199,-0.0920641506585408,0.539153011385521,-0.0467487427705797
"PanamaCityBeach",0.00658479840580636,5.44885967673963e-05,5.64910813987154,-1.24813907410517,0.416058951883623,0.156516199008606
"PensacolaFL",0.00739642421384265,-0.00154185841742632,3.87630993168843,0.702394112253003,0.994349239655978,-0.937323171898223
"DauphinIslandAL",0.00789147926479471,-0.00301363669634611,4.67502673448371,-0.518905527573002,0.615091547170126,-0.0709582158557507
"GrandIsleLA",0.00702619918443927,-0.00242563321946343,4.79808907346838,-0.289133369751501,0.777217862694323,-0.60003645810905
"SabinePassNTX",0.0068293082180543,-0.00237485337761554,4.16647555633665,0.480018950573344,0.848972015624361,-0.866921617216172
"GalvestonPPier",0.00760053298340268,-0.00291085223921875,4.97572460415059,-0.643431448627704,-1.06845078704751,2.95825104718465
"RockportTX",0.00487408150629095,-0.00116261151050846,4.94388238395545,-1.29495713900386,-0.995458357046279,2.53150919658054
"CorpusCristiTX",0.007904251270009,-0.00468243512975415,5.30190192851876,-0.926721641034389,-0.302413390440057,0.875061719902363
"PortIsabelTX",0.00685286162669235,-0.00416589485267686,4.75532185605649,-0.780738708335563,-0.188864305712691,0.723717351923883
"ClearwaterBchFL",0.0060104326363204,0.00240873072187169,4.19019029490812,1.12804163530434,0.46300239635562,-0.860065964960239
"PortCanaveralFL",0.00404746643582508,0.00199339044609762,3.19440998018907,1.0768452190729,0.853854615196007,-0.633293339049584
"GalvestonPier21",0.00627750940187783,-0.00072099727962544,4.48508113416366,0.213680092220877,0.517604147201668,-0.278543560904883
