"","lambda","sigma","xi"
"FernandinaBeach",0.00540235834446824,90.8307482327937,0.0734306049082878
"KeyWestFL",0.00486502216436831,40.2896181979123,0.228512092265287
"PortlandME",0.0068011317374682,101.078475502977,-0.020599195723366
"NewportRI",0.0073567370649761,108.370708886758,0.0479780305447027
"DuckPierNC",0.00600723615009293,135.167469415558,-0.0650110731501822
"CharlestonSC",0.00631981600184852,67.605214259853,0.242404632796078
"AtlanticCityNJ",0.00712691266943913,111.79441020791,0.060007014054989
"MontaukNY",0.00769906685705122,160.591957019602,0.038285758406792
"EastportME",0.00668217071403709,93.91558306905,-0.00143645831953487
"BostonMA",0.00707874373397422,93.4183022426118,0.19034295011319
"WoodsHoleMA",0.00781664647864983,148.534806326256,0.0124527306450578
"NantucketMA",0.00724369483247238,91.1136923973504,0.381275406838265
"NewLondonCT",0.00808750173936043,140.944129418608,0.154588439218006
"NewYorkNY",0.00736442757524015,127.297532275106,0.181430966114696
"CapeMayNJ",0.00687421879173865,133.183778963269,-0.041652269844139
"LewesDE",0.00709787794582282,138.934351828541,0.0516616863657299
"ChesapeakeBBT",0.00649606293906409,166.465407592195,-0.0275290244356322
"WilmingtonNC",0.00520518500203803,68.2363896021885,0.259485090977907
"FortPulaskiGA",0.00579660424029524,74.4299873278916,0.139992178389597
"MayportFL",0.00502799694182369,64.7589297424202,0.0274780597230755
"VirginiaKeyFL",0.00430748843463699,54.6617025987433,0.417573597173871
"NaplesFL",0.00739264942357584,81.5795321565618,0.224951663677883
"StPetersburgFL",0.00762099323303634,76.3821807550668,0.359985560950945
"ApalachicolaFL",0.00662251642244903,110.488051295364,0.517795064313581
"PanamaCityBeach",0.00661612687004941,119.904421705008,0.559994871625387
"PensacolaFL",0.00651398593577193,71.6317106296972,0.472799150598652
"DauphinIslandAL",0.0059523809064799,78.2255902188999,0.595855066132204
"GrandIsleLA",0.00546841253070283,97.289831020984,0.475548937828844
"SabinePassNTX",0.00528401585341814,79.4831778864402,0.403796979849016
"GalvestonPPier",0.00616276002470926,101.023058081512,0.425213070143849
"RockportTX",0.00418410045180181,68.8803339706397,0.364549464602343
"CorpusCristiTX",0.00488281256516256,125.409206507389,0.135921992263197
"PortIsabelTX",0.00440736666714412,76.6361830235766,0.197090212157747
"ClearwaterBchFL",0.00750769250493817,129.753852711343,-0.0216731492643313
"PortCanaveralFL",0.00530198255028665,51.1341144596981,0.43135394021998
"GalvestonPier21",0.00586596999877663,100.317424023707,0.354932799677988
