"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.00496984321046762,0.000885497580799035,90.8311216271533,0.0734305470243327
"KeyWestFL",0.00376145754709062,0.00224002134257354,40.2889945655495,0.228514197007517
"PortlandME",0.00383818067454892,0.00611198023113998,101.078778338732,-0.0206008506770496
"NewportRI",0.00639005570066454,0.00170251693360103,108.370923949465,0.0479799524624616
"DuckPierNC",0.00227101999311517,0.00473835625335379,135.166862287105,-0.0650083095607346
"CharlestonSC",0.00457324892704354,0.00342553220814808,67.6051430227527,0.242403984430206
"AtlanticCityNJ",0.00620072111281986,0.00188893240654697,111.794813285534,0.0600050884126167
"MontaukNY",0.00878123264738612,-0.00168683615990564,160.591801931652,0.0382861153451498
"EastportME",0.0029203586175487,0.0067306726130992,93.9160196642072,-0.00144242321736972
"BostonMA",0.00558147371765597,0.00286798913634762,93.4183887637516,0.19034304092393
"WoodsHoleMA",0.0100645209044702,-0.00322611316227661,148.53423770345,0.0124569433008096
"NantucketMA",0.00492509846478927,0.00321035805724842,91.1140235012355,0.381272289650532
"NewLondonCT",0.0075593737009552,0.000881147310085557,140.944200252271,0.15458849397353
"NewYorkNY",0.00395231664003078,0.00645873189275492,127.29783011453,0.181431015454277
"CapeMayNJ",0.0062642613302383,0.000826240929807084,133.183920204352,-0.0416501378385218
"LewesDE",0.00689084305538363,0.000343827292962045,138.934175344204,0.0516631604404165
"ChesapeakeBBT",0.00275634262251282,0.0049913364588218,166.465250988203,-0.0275263028936528
"WilmingtonNC",1.04636959556922e-10,0.00887385138946929,68.2323502707274,0.259560095225832
"FortPulaskiGA",0.0056346460101137,0.000276604455014744,74.4298553329441,0.139988403291066
"MayportFL",0.007540951675536,-0.00561047986852138,64.7579647060838,0.0274870967679067
"VirginiaKeyFL",0.00641545792203543,-0.00235852043378534,54.6612407307217,0.41757401500947
"NaplesFL",0.00639811179689683,0.00138588564145924,81.5794230540769,0.224953102691553
"StPetersburgFL",0.00505363699200697,0.00399822934449547,76.3817688755967,0.359989334022993
"ApalachicolaFL",0.00475940890142425,0.00240325814992122,110.488375822379,0.517786579930649
"PanamaCityBeach",0.00547000260711399,0.00131811915556522,119.902611528651,0.560003246848613
"PensacolaFL",0.00509259547060177,0.00269800802289361,71.6315567035058,0.472799248467174
"DauphinIslandAL",0.00328511501950219,0.00328519024879784,78.2256171156087,0.595851311618866
"GrandIsleLA",0.00403562376186684,0.00179723279844945,97.2897693966792,0.475549710984301
"SabinePassNTX",0.003622242276837,0.00200967914037792,79.4832503547087,0.403801207494971
"GalvestonPPier",0.00692424430035094,-0.00121486760795488,101.022051563594,0.425222201022459
"RockportTX",0.00242323176453839,0.00270281184653114,68.8810626204215,0.364543189024836
"CorpusCristiTX",0.00622157778674422,-0.00162122452636687,125.410132287923,0.135919197364888
"PortIsabelTX",0.00568333587947442,-0.00201872221890445,76.6365601732434,0.197086064850151
"ClearwaterBchFL",0.00148930207569162,0.00659415298204996,129.752967105218,-0.0216747727805215
"PortCanaveralFL",0.000155924738173069,0.00570648471690332,51.1336894562761,0.431354829807404
"GalvestonPier21",0.00489898270469084,0.00211532051517879,100.317404266471,0.35493257045299
