"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00540223172530192,4.57583864781863,-0.154337490904831,0.0841834610727075
"KeyWestFL",0.00486504502933141,3.53864395883998,0.311701173904727,0.217553758866925
"PortlandME",0.00680067618503659,4.68748000962773,-0.126672073257144,-0.0224350193680125
"NewportRI",0.00735691904821474,4.77452376075671,-0.16528510458773,0.0547710305301925
"DuckPierNC",0.00600727970094168,5.17946128596392,-0.338728010111039,-0.0642292251754663
"CharlestonSC",0.00631978983993701,4.01148605531691,0.367240909748806,0.239057857247691
"AtlanticCityNJ",0.00712678676994769,4.67893901791583,0.073797059329543,0.0594764206793595
"MontaukNY",0.00769924018247419,5.30050476708361,-0.33516999445463,0.0241099833987776
"EastportME",0.00668230139086122,4.2413461506445,0.435110911561139,0.0193895149769448
"BostonMA",0.00707820812474102,4.49980983854234,0.0767033723490982,0.185056787733948
"WoodsHoleMA",0.00781670376867551,5.36760351071697,-0.547056408615853,0.00730109301282651
"NantucketMA",0.00724406939423799,3.47098048694941,1.40711075955877,0.346233516856586
"NewLondonCT",0.00808741996827024,5.41349905813419,-0.743021951570792,0.126824745874379
"NewYorkNY",0.00736423150259388,5.07701676607548,-0.388753710766496,0.179246881431832
"CapeMayNJ",0.00687424465362005,5.01916741208395,-0.162990476449455,-0.0485080583509485
"LewesDE",0.0070978165979181,4.71818143424531,0.358399065732503,0.0465115975417721
"ChesapeakeBBT",0.0064964917096525,4.56765542498508,0.755822601466019,-0.0718987938375943
"WilmingtonNC",0.00520546419260434,3.42234489591294,1.06830217747429,0.252019380954971
"FortPulaskiGA",0.00579667371050179,3.9867199804587,0.584571254463237,0.109601436463857
"MayportFL",0.00502823401152005,4.31976065901998,-0.346214801956225,0.0224522469844603
"VirginiaKeyFL",0.00430771386882096,2.23980762895747,2.03849427356577,0.357639125986097
"NaplesFL",0.007392857500066,3.80093965559497,0.844123556676758,0.201519899047963
"StPetersburgFL",0.00762103830660838,4.01944702187406,0.469431325386331,0.360611807124193
"ApalachicolaFL",0.00662266511520451,3.7528737947201,1.1900257048553,0.515939898859746
"PanamaCityBeach",0.00661617043951978,5.78628239364154,-1.12340501021403,0.534741139874064
"PensacolaFL",0.00651402674605061,3.86981542395866,0.723147310624112,0.460412351285344
"DauphinIslandAL",0.00595234138160889,3.61250312280558,0.910312280376639,0.580701215712343
"GrandIsleLA",0.00546834763065582,4.08663113526026,0.621955103838498,0.460367362540713
"SabinePassNTX",0.00528397090686921,4.99883406483016,-0.734373010735162,0.391857579526388
"GalvestonPPier",0.00616277209468306,3.9090167953198,1.13343671102718,0.417880718206824
"RockportTX",0.00418435366880146,4.1579403356916,0.106476422286765,0.366186842870855
"CorpusCristiTX",0.00488277011151362,4.62331017592416,0.244571920609475,0.144149617286152
"PortIsabelTX",0.00440732533728112,3.9534147238608,0.634961604758082,0.18937692887782
"ClearwaterBchFL",0.00750773352426948,5.0618340925865,-0.20373258352531,-0.0277769023983732
"PortCanaveralFL",0.00530202495511433,2.81096111502241,1.17976445291801,0.44769535663925
"GalvestonPier21",0.00586598617052111,4.479888416007,0.240036958268117,0.364533631087109
