"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00540235081473141,91.6106247965064,0.0323675677358351,0.0654090203495455
"KeyWestFL",0.00486501495637822,40.7497895289527,0.051088110570513,0.300849678595914
"PortlandME",0.00680111377522177,100.949944216254,0.0248110438012885,-0.0808664305185502
"NewportRI",0.00735674900326018,110.861472519202,-0.177997991138001,0.356422431363803
"DuckPierNC",0.00600722047153009,134.70780972938,0.0753761695863712,-0.170021283282632
"CharlestonSC",0.00631980921663598,67.6757744481712,0.165496539353791,0.13275103071232
"AtlanticCityNJ",0.00712690455773137,112.032670856604,0.012958988265525,0.0865249087349045
"MontaukNY",0.00769905413874569,161.507046674414,0.201663551162199,-0.27976153342177
"EastportME",0.00668217262484662,95.2693792147457,0.116643448966417,-0.198635402171781
"BostonMA",0.00707874241251623,94.5002051035771,-0.000165827822374312,0.322039853261009
"WoodsHoleMA",0.00781665215812866,148.672313523585,0.189461717570961,-0.272898900393587
"NantucketMA",0.00724369141863065,88.7439649538276,-0.359515739356894,0.994902836051113
"NewLondonCT",0.00808747348036941,140.170486252069,0.348324938603577,-0.331302023917537
"NewYorkNY",0.00736441099869275,127.495670934912,0.173197703798114,0.0116330491855659
"CapeMayNJ",0.00687422369842336,136.272045934595,0.129862955576555,-0.263072353688729
"LewesDE",0.00709791197837911,138.675903486117,-0.0518793430445206,0.168458580780578
"ChesapeakeBBT",0.00649607784351183,175.593542308956,-0.801149105053645,0.915230188785414
"WilmingtonNC",0.00520519396223659,67.6272097489083,0.142670358660446,0.161423689677983
"FortPulaskiGA",0.00579661588027937,75.266852042868,-0.0221248582191055,0.235184668620051
"MayportFL",0.00502799565563254,65.1726790685263,0.150826023534216,-0.31452685127119
"VirginiaKeyFL",0.00430749382547385,56.1136975007087,-0.459747587280301,0.934829349065359
"NaplesFL",0.00739266858646742,83.2589704933715,-0.181330540441898,0.513715199962463
"StPetersburgFL",0.00762097359660906,76.3150074621225,0.347435028451677,0.0197743132139375
"ApalachicolaFL",0.00662250717013975,110.244174022576,0.289728068272333,0.283096815756366
"PanamaCityBeach",0.0066161312685233,123.335690419653,1.24873479349926,-0.833236147553163
"PensacolaFL",0.00651398962214149,71.0978067276298,0.381593035539575,0.167824006637176
"DauphinIslandAL",0.00595237806137834,77.4190746480133,0.184866205829804,0.501171550383403
"GrandIsleLA",0.00546841508101377,95.9117615571743,-0.308520312755192,0.981270543355259
"SabinePassNTX",0.00528403188473424,77.9805208610753,0.962320458788639,-0.648080083711425
"GalvestonPPier",0.00616276501562625,100.749227437046,0.145938617969146,0.44273841022024
"RockportTX",0.00418408979505434,72.6678158495778,0.690061142981513,-0.548549418617591
"CorpusCristiTX",0.00488279676487481,127.575735797495,0.745291539133207,-0.754585414412087
"PortIsabelTX",0.00440737322632974,75.9321918186703,0.0455929303734043,0.25550192175731
"ClearwaterBchFL",0.00750766791733187,132.550050647128,0.130935256052811,-0.187169711623126
"PortCanaveralFL",0.00530199409586372,51.1065068174402,0.369209892993912,0.0661677581474375
"GalvestonPier21",0.00586598320755517,100.422543716025,0.478849670145695,-0.24759291500972
