"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00496208214811868,0.000897389171394667,4.5761800218784,-0.153123208792506,0.0843315627902163
"KeyWestFL",0.00375980242426927,0.00223982288508566,3.5355244843088,0.318039877690212,0.217442913272603
"PortlandME",0.00383563452494467,0.00610263549167526,4.68583414524032,-0.125311430242127,-0.0214237065162864
"NewportRI",0.00638914697251958,0.00171155854491453,4.77384289045925,-0.16370285735597,0.0550229325190561
"DuckPierNC",0.00226913272603057,0.00474708129023815,5.18268930631825,-0.340857157937475,-0.0638469709833335
"CharlestonSC",0.00457799255704371,0.00341810855743455,4.00910002288933,0.370670282839091,0.239657578306978
"AtlanticCityNJ",0.00619440214281725,0.00189589022127196,4.67877073924137,0.0736204214352343,0.0599695726283775
"MontaukNY",0.00880139753333686,-0.0017197315978831,5.29888438372754,-0.33493633701171,0.0243748581105435
"EastportME",0.00291661217370455,0.0067338472172834,4.24207738215075,0.433680662108304,0.0193214163944352
"BostonMA",0.00557539263788873,0.00289170352153713,4.49894313807918,0.0785042617696375,0.18454459276996
"WoodsHoleMA",0.0100522474529241,-0.00321262608641191,5.36934885183684,-0.549219215625036,0.00707376052488079
"NantucketMA",0.00491767634914804,0.00322339080137393,3.47431796714177,1.40374179625291,0.345546376329775
"NewLondonCT",0.00755001568184961,0.00089445930667012,5.41230504816729,-0.740032251410732,0.126211424597813
"NewYorkNY",0.00395443614671732,0.00646326161597903,5.0765174770725,-0.386467495168367,0.179283124832254
"CapeMayNJ",0.00628169725836396,0.000806012532289141,5.01271997942838,-0.153210024370853,-0.0485746154855586
"LewesDE",0.0068933685479691,0.000348320354180901,4.72159727013232,0.350883120916226,0.0470046613084292
"ChesapeakeBBT",0.00274323657594738,0.00500519218762669,4.56361105589086,0.761651078239426,-0.0719112342229304
"WilmingtonNC",1.32882099358599e-07,0.00890199480545633,3.4291459900965,1.05975297089279,0.251391600817836
"FortPulaskiGA",0.00563399170223845,0.000275499304711367,3.98684752752618,0.584563290030692,0.108473490784035
"MayportFL",0.00754181407212683,-0.00561581207420629,4.31986905661612,-0.344938021830307,0.0217123041940781
"VirginiaKeyFL",0.0064156958445035,-0.00235085541330101,2.24035336934798,2.03573703524992,0.358889893239332
"NaplesFL",0.00639892600464317,0.00137744616516047,3.79622582328002,0.849055655278243,0.202203811452961
"StPetersburgFL",0.00504834100709744,0.00399875260085387,4.01974255065655,0.470585742275618,0.358544004222152
"ApalachicolaFL",0.00475702036163022,0.00239560405280324,3.75132084285329,1.19401911247446,0.513706447916707
"PanamaCityBeach",0.00545102233710997,0.00134704320490704,5.77923909672617,-1.11482828534644,0.534412672138144
"PensacolaFL",0.00509006882472938,0.0026944321380093,3.87070243715483,0.722555400137455,0.460485532185316
"DauphinIslandAL",0.00328862380060241,0.00328673151570226,3.61305440609357,0.910460340389754,0.580030323855331
"GrandIsleLA",0.00406893737719481,0.00175293726468558,4.07959968698494,0.629260797760746,0.461486165402407
"SabinePassNTX",0.00364177573982305,0.00198408103534915,4.99969059863917,-0.736390454259398,0.392473916706881
"GalvestonPPier",0.00691291172682022,-0.00120148326573018,3.90679737991469,1.1358861795289,0.417623204399893
"RockportTX",0.00243050216100713,0.00269203062693291,4.1594565903543,0.102910483909241,0.36718055996446
"CorpusCristiTX",0.00621770461748732,-0.00162298862584569,4.61576118618557,0.250849499471261,0.144350963639806
"PortIsabelTX",0.0056814538825326,-0.00201190116511262,3.95298741680611,0.636422501691607,0.190125848867621
"ClearwaterBchFL",0.00147556079592189,0.00660446951851198,5.0640489353251,-0.204342819381765,-0.0294990069114643
"PortCanaveralFL",0.000156779865140165,0.00570969500402066,2.79542191417029,1.19416730282659,0.449884859293276
"GalvestonPier21",0.0049012532164449,0.00210688211596698,4.47905349728878,0.241974701813462,0.364971843613822
