"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00497020721505427,0.000884969780492937,91.6125589529584,0.0323036713920636,0.0654657473466301
"KeyWestFL",0.00376179118770223,0.00224085412600057,40.7460135456621,0.0510966647248395,0.300739055557824
"PortlandME",0.0038386478583132,0.00611010489085017,100.943827624648,0.0249053522887458,-0.080974225572682
"NewportRI",0.00639028082119164,0.00170163835586462,110.851440888441,-0.17807176144814,0.356527869360082
"DuckPierNC",0.00227058982211316,0.00473991143658063,134.685001982272,0.077164667974051,-0.171948996782811
"CharlestonSC",0.00457310953966042,0.00342583821047024,67.6738619788461,0.165655616013481,0.13246019637768
"AtlanticCityNJ",0.00620028462310336,0.00189058715785062,112.035241621947,0.0130830926353053,0.0863805540247433
"MontaukNY",0.008782777796851,-0.0016880494766374,161.505250572528,0.201710029158716,-0.279761674401446
"EastportME",0.00292042945837538,0.00673010943651244,95.2707499788912,0.116647973869976,-0.19859436658942
"BostonMA",0.00558081149185299,0.00286882502914937,94.4873504214369,-0.000222737252403976,0.322323064915624
"WoodsHoleMA",0.0100646630970545,-0.00322526980416529,148.664159751164,0.189299247087202,-0.272663088920845
"NantucketMA",0.00492265463556536,0.00321363516464273,88.7520997637999,-0.359483514460794,0.994873040323045
"NewLondonCT",0.00755825009144879,0.000881883177309822,140.197257778364,0.348477855914918,-0.331562140813232
"NewYorkNY",0.00395320627939104,0.0064576090482498,127.49745676764,0.17335182421482,0.0112650589975518
"CapeMayNJ",0.00626909381846319,0.000820315535185047,136.290289924982,0.129594689947506,-0.262771688500872
"LewesDE",0.00689335353868427,0.000338399120689715,138.695536382826,-0.0513838031964533,0.167525329718425
"ChesapeakeBBT",0.00275900337763871,0.00498902439194258,175.55020112188,-0.800427760291914,0.914454920627107
"WilmingtonNC",6.48237933273298e-09,0.00887450693041391,67.6781006813036,0.140597303528179,0.162933136857264
"FortPulaskiGA",0.0056352265305836,0.000274903809261801,75.2752345471384,-0.0222252834030308,0.235293012529493
"MayportFL",0.00754175694888557,-0.00561104931017107,65.1695978081696,0.150442078177589,-0.313906668555925
"VirginiaKeyFL",0.00641519062675755,-0.00235852569391258,56.1152061716006,-0.459603120475928,0.934893406229748
"NaplesFL",0.00640066585259317,0.00138335607971028,83.2406198419745,-0.181041055330794,0.51333257094103
"StPetersburgFL",0.00505454581059006,0.00399720607702403,76.317756027031,0.347331839380554,0.0198715029056358
"ApalachicolaFL",0.0047599204895037,0.00240249999352884,110.239697912531,0.290007366620619,0.282847115503807
"PanamaCityBeach",0.00546373270250288,0.00132470985040849,123.316040255476,1.24900241116524,-0.833511890412447
"PensacolaFL",0.00509202983315514,0.00269936640229085,71.0948239434611,0.381755637881682,0.167596746747701
"DauphinIslandAL",0.00328654170152265,0.00328377321046912,77.4143529338365,0.184865516638075,0.50112191952438
"GrandIsleLA",0.00403546517442043,0.00179653253882091,95.8949365300489,-0.309294363868582,0.982238410337009
"SabinePassNTX",0.00362155184951857,0.00201119625987945,77.9709214751188,0.960920059382162,-0.646348109654918
"GalvestonPPier",0.00692235126810094,-0.00121175618916904,100.740941021926,0.146365078865834,0.442058051036175
"RockportTX",0.0024227513165269,0.00270397852808853,72.6457902910229,0.690773453437542,-0.549564267681182
"CorpusCristiTX",0.00622017168958131,-0.00162004800692695,127.595166586711,0.745604946866112,-0.755137839700701
"PortIsabelTX",0.0056830886428737,-0.00201861973064922,75.9352252629558,0.045394434914705,0.255952016560004
"ClearwaterBchFL",0.00148992144496699,0.00659390122391307,132.564670910733,0.131514665564358,-0.187741268729576
"PortCanaveralFL",0.00016788392504233,0.00569255104245328,51.1215254286256,0.369804161779071,0.0652733705706969
"GalvestonPier21",0.00489857250612583,0.00211666386329991,100.410443004328,0.479071307563299,-0.247702860187226
