"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00539935814300081,4.76615654664615,-0.510904607766161,-0.0732324260825797,0.267300302650839
"KeyWestFL",0.00486357277558283,3.65110411251226,0.107189946051896,0.0765493165925344,0.253876459925149
"PortlandME",0.00680019740303051,4.68737032961892,-0.12559506203118,-0.0227513139569047,-0.000257990015382296
"NewportRI",0.00736007875987667,4.99657464617802,-0.516986473035532,-0.348990083978153,0.659877430331665
"DuckPierNC",0.00600161808485004,5.51577834532275,-0.733213399887215,-0.816638822643159,0.913516422617923
"CharlestonSC",0.00631879949984833,3.96286845589036,0.453403131924687,0.285915298326244,-0.0847121741943028
"AtlanticCityNJ",0.00712675308579231,4.69916612718873,0.0392646941092729,0.0241982152593981,0.0635707179695395
"MontaukNY",0.0076984985097711,5.1468638215504,-0.0936197466528996,0.174932106697017,-0.241315634012634
"EastportME",0.00667582626931116,3.77600893098842,1.14768258358856,0.766718823077548,-1.16679734951718
"BostonMA",0.00708087659828131,4.76216741995505,-0.41890365359536,-0.116819734958395,0.553963703456751
"WoodsHoleMA",0.00780824970305921,5.45440035821397,-0.677868871776881,-0.0966582408909648,0.156167253990236
"NantucketMA",0.00724552096502052,3.03324975559472,2.01385139188135,1.03111691553492,-0.939720390547373
"NewLondonCT",0.00808881644303752,5.40363474590851,-0.726974017058161,0.139202689396297,-0.0196608813490126
"NewYorkNY",0.00736482030001551,5.22605793564045,-0.59120627815669,-0.0283934405411935,0.296083769438573
"CapeMayNJ",0.006875547324396,4.73291819085729,0.249038795800593,0.250053304395039,-0.431981995947979
"LewesDE",0.00709524075402378,4.67944627471833,0.424422528354524,0.0911115320980908,-0.0757548637738328
"ChesapeakeBBT",0.0064928570275482,5.18367747402997,-0.0205967529119663,-0.810170824065911,0.926374494301939
"WilmingtonNC",0.00520707777705864,3.0379795830146,1.61701413509513,0.594044852913419,-0.503620039199369
"FortPulaskiGA",0.00580046406645178,4.09426954155034,0.395077514403362,0.0442604292951009,0.114873630559306
"MayportFL",0.00502940063943683,4.22176063056881,-0.105924606011043,0.129177502895392,-0.26227398638329
"VirginiaKeyFL",0.00430834108766343,1.91206135498192,2.40524131751202,0.710352852835796,-0.396884733266842
"NaplesFL",0.00739815843668981,3.87739874993544,0.744561727171936,0.102206581153954,0.130762827456407
"StPetersburgFL",0.00762499531098954,3.43443007588414,1.40512249164316,1.09822243893707,-1.16871627741633
"ApalachicolaFL",0.00662459994166173,3.53990148075631,1.45303275134836,0.864659806491378,-0.436789987689662
"PanamaCityBeach",0.00661935902923178,5.65602880087935,-0.968325045426679,0.6863199247517,-0.178715698832788
"PensacolaFL",0.00651284240659364,3.73958202738986,0.970520106878806,0.64224543528593,-0.344480331165843
"DauphinIslandAL",0.00595254113582052,3.37278766460295,1.21888005293077,1.10313593331211,-0.648603615861193
"GrandIsleLA",0.00546740115639347,4.25862841078822,0.39421820250663,-0.138746963399633,0.757174766013042
"SabinePassNTX",0.00528265409397671,5.20840537474175,-0.969006322584948,0.00743390524256171,0.442821513388731
"GalvestonPPier",0.00616390096338342,3.86177513986731,1.20640762612484,0.493949060955906,-0.11991438507722
"RockportTX",0.00388117056398559,2.84081624447531,2.27530984390377,2.1669236305299,-2.92438555744479
"CorpusCristiTX",0.00488388733163105,3.95508588093606,1.0472590156114,1.63526118482517,-1.79743053059714
"PortIsabelTX",0.00440881456837851,3.88567962568048,0.755563891205889,0.296218029447801,-0.184867129109156
"ClearwaterBchFL",0.0075016890491894,4.71593160998207,0.191769864946717,0.230236048063493,-0.30161639557118
"PortCanaveralFL",0.00530136327319072,2.04518507901262,1.99432908882218,1.3318522941168,-0.95089315881332
"GalvestonPier21",0.0058669371874046,4.30947907616449,0.53175362518478,0.647987641104477,-0.531890133346226
