"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00495666549262521,0.000879378404420046,4.76527237452442,-0.505189286269741,-0.0718435845112473,0.272256126484007
"KeyWestFL",0.00377051462447559,0.00226671975186206,3.6515024945351,0.128856112300069,0.0746258525806173,0.249424811457191
"PortlandME",0.00380602333772824,0.00609191075567169,4.69022465252871,-0.135344430631907,-0.0283067783587959,0.00826169570454871
"NewportRI",0.00647192190697953,0.0015835791112195,5.00151860071827,-0.523884396662696,-0.334039102198936,0.634824160102436
"DuckPierNC",0.002590208616567,0.00429029837202294,5.46477854697102,-0.648364106695547,-0.756577052371446,0.827599427016927
"CharlestonSC",0.00455228381210396,0.00340743563656662,3.95416396382551,0.469692004017309,0.305198319964636,-0.112144967840836
"AtlanticCityNJ",0.00620047789876642,0.0019096026191188,4.69365803205343,0.0558461865844578,0.0339060700148172,0.0479196923685731
"MontaukNY",0.00877160146937592,-0.00163028070333989,5.14220999619205,-0.0921861358448358,0.175498654450615,-0.241712327501614
"EastportME",0.00290122801826395,0.00677578928963414,3.78752496202539,1.1403414299891,0.756957999934712,-1.16025679909196
"BostonMA",0.00558358944639981,0.00290132654712428,4.7594248791376,-0.410385269912515,-0.110681351808449,0.543155644228595
"WoodsHoleMA",0.0100253564892644,-0.00325164885345819,5.45969072462508,-0.679054784287469,-0.0778582102405587,0.124629356196365
"NantucketMA",0.00490295240655464,0.00318892473251348,3.04124351189848,1.99297198624943,1.01055119223941,-0.908840742314259
"NewLondonCT",0.00759804782062109,0.000805518401518177,5.42078058526192,-0.748300576217721,0.12692495076811,0.00328148603528509
"NewYorkNY",0.00398811435462194,0.00637194524982163,5.2231615982748,-0.588444281871522,-0.0258412425931872,0.295765562137923
"CapeMayNJ",0.00605923728259861,0.0010808214084972,4.66500266975344,0.32310125729104,0.313127573565931,-0.510631726005304
"LewesDE",0.00687101589043686,0.000368530308678368,4.66529493861659,0.435917787675085,0.0941048599006105,-0.0835049771100072
"ChesapeakeBBT",0.00267934478941127,0.00515466185537331,5.1399142278978,0.0430680521420713,-0.755888098630503,0.851106089309397
"WilmingtonNC",4.89716750075845e-06,0.00898623636424796,3.03056163267715,1.58453921981931,0.576287200881805,-0.452811949330698
"FortPulaskiGA",0.00557624796152493,0.000277115180852647,4.07357999062398,0.439159653309059,0.0466842361609599,0.105362155492974
"MayportFL",0.00758878132290778,-0.00564446266121091,4.23451297385618,-0.126737629261103,0.115598193712099,-0.22952634207386
"VirginiaKeyFL",0.00645376011481776,-0.00238822288177035,1.9486849424448,2.35606757634472,0.663552648984037,-0.337662801723696
"NaplesFL",0.00631911441413126,0.00148569211574414,3.85101395062452,0.788629364251263,0.106805059126658,0.12434828822569
"StPetersburgFL",0.00500346406689794,0.0040875661855276,3.43447584090449,1.42356976759435,1.09783446369697,-1.18538801399771
"ApalachicolaFL",0.00462172944779735,0.00259578929779161,3.55311699339611,1.44055263355601,0.859845902060758,-0.429671875282646
"PanamaCityBeach",0.00536181722950412,0.00143940178421398,5.64211820347531,-0.944721659621786,0.687700189687617,-0.185058804923165
"PensacolaFL",0.00509470846863739,0.00267281671971389,3.74470622044441,0.956808140089127,0.647357399966185,-0.349364448908334
"DauphinIslandAL",0.00318326727449372,0.00346022140004924,3.34203869836917,1.25498288520576,1.07275170794458,-0.612866589163424
"GrandIsleLA",0.00412340376314242,0.0016696093673284,4.29282158360928,0.374047931573437,-0.198088415335553,0.829856714046809
"SabinePassNTX",0.00378436470617434,0.00173472290544218,5.24518000674557,-1.02026694581913,0.000588514337998322,0.4551774991257
"GalvestonPPier",0.00701441633580629,-0.00134380184317861,3.88048716596595,1.17919134615414,0.475074662329464,-0.0979902778196553
"RockportTX",0.00259796147974608,0.00274400356546652,3.04822500309002,2.04678332926114,2.0499200199582,-2.74901999420734
"CorpusCristiTX",0.00633252997320083,-0.00171808004648435,3.91054439422228,1.09537837493946,1.69581957200602,-1.86850757852767
"PortIsabelTX",0.00561140431156819,-0.00196205449021607,3.89018008777945,0.765311442690971,0.317144128802886,-0.219873270114149
"ClearwaterBchFL",0.0012342194545354,0.00691287265435383,4.59192126402985,0.328981338248338,0.316006839293528,-0.397446357581926
"PortCanaveralFL",8.25112831799066e-05,0.00577044498098635,1.98772135865309,2.05184972410107,1.37828462271652,-0.992892494189021
"GalvestonPier21",0.00492336519874179,0.00207322154398942,4.32508941824859,0.509184889375217,0.634227100465609,-0.506138381081805
