"","lambda","sigma","xi"
"FernandinaBeach",0.00540235822339778,90.8307433592293,0.073430613745895
"KeyWestFL",0.00486502213295516,40.2896170404383,0.22851211975562
"PortlandME",0.00680113177009847,101.078473306743,-0.0205991940749513
"NewportRI",0.00735673703386098,108.370702978384,0.0479780333243426
"DuckPierNC",0.00600723594270022,135.167472071615,-0.0650110807815708
"CharlestonSC",0.00631981585516749,67.6052122380003,0.242404614785633
"AtlanticCityNJ",0.00712691269922463,111.794414654647,0.0600069956933823
"MontaukNY",0.00769906691356196,160.59196187881,0.0382857606114213
"EastportME",0.00668217125584241,93.9155810513597,-0.00143642140863864
"BostonMA",0.0070787440222565,93.4182989566286,0.190342988457069
"WoodsHoleMA",0.00781664674005988,148.534805222631,0.0124527252488909
"NantucketMA",0.0072436949562672,91.1136884839713,0.381275412203981
"NewLondonCT",0.00808750191823019,140.94413206355,0.154588446561033
"NewYorkNY",0.00736442754271267,127.297533684477,0.181430947687184
"CapeMayNJ",0.00687421877695943,133.183774614656,-0.0416522566080452
"LewesDE",0.00709787809842903,138.934349361054,0.0516617141057615
"ChesapeakeBBT",0.00649606285860407,166.465417555258,-0.0275290687274357
"WilmingtonNC",0.00520518502373001,68.2363875634835,0.259485078615725
"FortPulaskiGA",0.00579660417794,74.4299889646321,0.139992198547305
"MayportFL",0.00502799677684087,64.7589292970374,0.027478082363571
"VirginiaKeyFL",0.00430748848121942,54.6617010658244,0.417573639546659
"NaplesFL",0.00739264920102942,81.5795321776752,0.22495163697217
"StPetersburgFL",0.00762099304860239,76.382183079415,0.359985552235149
"ApalachicolaFL",0.00662251668484169,110.488060476377,0.517795003209254
"PanamaCityBeach",0.00661612708664394,119.904417591454,0.559994876965911
"PensacolaFL",0.00651398611054386,71.6317109095028,0.472799133988769
"DauphinIslandAL",0.00595238099814492,78.2255911403343,0.595855103292533
"GrandIsleLA",0.00546841261875685,97.2898310734211,0.475548879734139
"SabinePassNTX",0.00528401579113664,79.4831755727518,0.403796970993968
"GalvestonPPier",0.00616276004724183,101.023059865185,0.425213073767555
"RockportTX",0.00418410043417655,68.8803344338847,0.364549477250709
"CorpusCristiTX",0.00488281267600045,125.409204414011,0.135921977920509
"PortIsabelTX",0.0044073666631374,76.6361834399658,0.197090212214208
"ClearwaterBchFL",0.0075076923602506,129.753847780476,-0.0216730907156585
"PortCanaveralFL",0.00530198239922521,51.1341104068694,0.431353926258301
"GalvestonPier21",0.00586597007170222,100.317429944573,0.354932784711406
