"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.0048257869532392,0.00112593249676827,90.8306218415941,0.0734305037936075
"KeyWestFL",0.00371880826388424,0.002256708996557,40.2897216420938,0.228509886651579
"PortlandME",0.00427841031555673,0.00503784811487762,101.078811859337,-0.0206029277578011
"NewportRI",0.00693031084110319,0.000740162113748978,108.371250745716,0.0479769324974244
"DuckPierNC",0.00216060279008805,0.00490294325795943,135.167090738189,-0.0650106801949095
"CharlestonSC",0.00414283156023724,0.00414066201851026,67.6048883945936,0.242407282403343
"AtlanticCityNJ",0.0060411122201105,0.00214065618300538,111.794257911049,0.0600084409018986
"MontaukNY",0.00905063824424945,-0.00219751345613195,160.592183192444,0.0382873153648632
"EastportME",0.00335847292041373,0.00582046341210755,93.9157898691709,-0.00143193473697043
"BostonMA",0.00615607501633815,0.00172357672904948,93.4183847190532,0.190341171968045
"WoodsHoleMA",0.0109422719039117,-0.00463582640187702,148.535156789838,0.0124511736092615
"NantucketMA",0.00528409713353842,0.00281632203794761,91.113958723256,0.381273951806686
"NewLondonCT",0.00793853428392777,0.000247742823156227,140.944183429529,0.154587813831111
"NewYorkNY",0.00358644399577191,0.0070254401386091,127.298753694893,0.18142388374253
"CapeMayNJ",0.00664019969980441,0.000326945382183137,133.183786311792,-0.0416514581622544
"LewesDE",0.00658504152054883,0.000869846315779083,138.934806789206,0.0516613189494981
"ChesapeakeBBT",0.00288167117169924,0.0048297606404151,166.465023796565,-0.027522933697729
"WilmingtonNC",3.87346780997963e-11,0.00882218856949923,68.2340137760949,0.259505656234384
"FortPulaskiGA",0.00593531917228798,-0.00023423067221538,74.4301137085981,0.139991199259297
"MayportFL",0.00734616238609137,-0.00496622123395572,64.7592933765201,0.0274769633077947
"VirginiaKeyFL",0.0152352852594183,-0.0123588847789628,54.6621343879636,0.41757415236354
"NaplesFL",0.00693135567518533,0.000670184518116342,81.5797427539396,0.224950271054175
"StPetersburgFL",0.00435536775288843,0.00530007445489105,76.3821838265625,0.359992215132013
"ApalachicolaFL",0.00287846357134595,0.00488358642262202,110.487717776727,0.517796318590382
"PanamaCityBeach",3.88686484058334e-10,0.00769788095173097,119.909261826321,0.559866102702774
"PensacolaFL",0.00472776651196577,0.0033062188665447,71.6316068249031,0.472801679481204
"DauphinIslandAL",4.53575261611477e-10,0.00750678604372715,78.2273713362478,0.595856968470443
"GrandIsleLA",0.000625791797786366,0.0061091549063757,97.2900028060944,0.475547779706016
"SabinePassNTX",0.0021052824589328,0.00385348748786959,79.4836462945728,0.403787753987188
"GalvestonPPier",0.00638296952069999,-0.000353728749579282,101.023767390054,0.425210237932699
"RockportTX",0.0024196937814165,0.00278446573739543,68.8802721179767,0.364547930412916
"CorpusCristiTX",0.00291563908166829,0.00238666318722994,125.409316003904,0.135924629970214
"PortIsabelTX",0.00462187705166734,-0.000345994889842154,76.6358060223001,0.19709083488395
"ClearwaterBchFL",0.000199375668499356,0.00814619561953078,129.754169054794,-0.0216822918676757
"PortCanaveralFL",1.6879679052477e-09,0.00594936720831665,51.1383960603532,0.431322156901929
"GalvestonPier21",0.00457413850524939,0.00272765248214399,100.317545829673,0.354932215267205
