"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00540240958608425,4.60437179422815,-0.187114188843575,0.0768808666577075
"KeyWestFL",0.00486505044115325,3.50260438725935,0.380387093863869,0.212036989538769
"PortlandME",0.00680154606805252,4.65667326924504,-0.0740299530222999,-0.020979567593586
"NewportRI",0.00735658777653258,4.78874488655799,-0.193169802675991,0.0563212694175518
"DuckPierNC",0.0060073090769069,4.94369895539947,-0.0487173342403993,-0.0630105738564324
"CharlestonSC",0.0063196711859023,4.00568783016427,0.367955624147202,0.240263194487964
"AtlanticCityNJ",0.00712685458489951,4.67310456189503,0.0809535423912147,0.0605551909449115
"MontaukNY",0.00769907638008293,5.29926635074162,-0.344949476836004,0.0210944281391599
"EastportME",0.00668254721395095,4.30902643666811,0.351782711176204,0.0118813855255441
"BostonMA",0.00707917841174968,4.46580750265168,0.143254984759717,0.182425922737712
"WoodsHoleMA",0.00781661789645943,5.33996851608955,-0.535716962031277,0.0119412783227996
"NantucketMA",0.00724345080162574,3.55785512199721,1.3388056642634,0.350898917355595
"NewLondonCT",0.00808758850899473,5.34418726052494,-0.630454141383888,0.131199108481855
"NewYorkNY",0.00736428258789816,5.18711884539625,-0.569246376214122,0.173612514896832
"CapeMayNJ",0.00687409537420355,5.22913748635005,-0.445527565324938,-0.0629700724361855
"LewesDE",0.0070975531564371,4.78620380864368,0.251479757806081,0.0475759659094163
"ChesapeakeBBT",0.00649598428968655,4.26517277865164,1.19312701524025,-0.113255361681789
"WilmingtonNC",0.00520498700741743,3.36724388932177,1.12133194928665,0.283000915437523
"FortPulaskiGA",0.00579667197932109,3.98829723662914,0.557487007367317,0.126746523018422
"MayportFL",0.00502802439013637,4.10256151101719,0.152936139200987,0.0274008326904982
"VirginiaKeyFL",0.00430735079733939,0.694167293056818,3.85910737949549,0.348344355491048
"NaplesFL",0.00739259999445699,3.89708366488238,0.717082549212522,0.224789747353586
"StPetersburgFL",0.00762080006077105,4.17449631645938,0.238458072996727,0.364825113815607
"ApalachicolaFL",0.00662232617874608,3.43752914859072,1.60307177477975,0.505591827849858
"PanamaCityBeach",0.00661603325431093,4.02312715704207,0.864830254398202,0.557180846106261
"PensacolaFL",0.00651390150242434,3.83129970841875,0.783781594122452,0.452124917316688
"DauphinIslandAL",0.00595240834380697,2.78451209855718,1.91443015651233,0.5713799607643
"GrandIsleLA",0.00546833245939451,3.76933427370962,1.008253518488,0.45229586735519
"SabinePassNTX",0.00528406219502579,4.91253696848266,-0.640028529244716,0.400193016427754
"GalvestonPPier",0.00616271141131742,4.03606662915555,0.943287566712885,0.408559472339206
"RockportTX",0.00418417339502102,3.94578024064095,0.41284646758985,0.370130800485575
"CorpusCristiTX",0.00488282305638669,4.0552989468071,0.936702256388861,0.12388898818257
"PortIsabelTX",0.00440739693705059,3.85835930577496,0.80401433425651,0.169478509878761
"ClearwaterBchFL",0.00750770583377861,7.60503407728551,-2.86450137720154,-0.213115379122655
"PortCanaveralFL",0.00530232192816888,1.2429822559371,2.99604503448471,0.412108312047415
"GalvestonPier21",0.00586590233211576,4.41102706539549,0.366070880595878,0.362890946312111
