"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.0054023793083166,90.9823930187354,0.0597658395869049,0.0231009950291957
"KeyWestFL",0.00486504267019988,41.1675026370707,-0.0107398442044421,0.383971614279853
"PortlandME",0.0068011383817262,101.102626874887,0.00906555816922781,-0.0548969382045212
"NewportRI",0.00735674453850842,110.862342640547,-0.163182782498377,0.330193583892498
"DuckPierNC",0.00600722824671312,149.83909197675,-0.875952761800459,0.885722074126268
"CharlestonSC",0.00631982672876524,67.7010308046315,0.141600585753544,0.171940795032542
"AtlanticCityNJ",0.00712691538143768,111.765469986276,0.0741895954833563,-0.0260809474128846
"MontaukNY",0.00769905669481914,162.313406470968,0.201300855549736,-0.302932739338427
"EastportME",0.00668215337822138,93.9198324481815,0.131902093930872,-0.209303899799694
"BostonMA",0.00707873788459008,94.2679358056655,-0.0525352505043674,0.423869315429242
"WoodsHoleMA",0.00781665925323768,147.593176675612,0.117068629377868,-0.158063604602964
"NantucketMA",0.00724368601632831,90.3976480901797,-0.422193543574819,1.09378001501611
"NewLondonCT",0.00808750705334909,141.457409983841,0.351257900808137,-0.347668354652085
"NewYorkNY",0.00736442821944266,126.17366830125,0.232434701796775,-0.0738245999527033
"CapeMayNJ",0.00687421989311141,137.942031495488,0.323586873779924,-0.565643818928236
"LewesDE",0.00709787989632897,138.739544018932,-0.0620895195918809,0.18945270945385
"ChesapeakeBBT",0.00649606669373766,174.393145593117,-0.637688952785116,0.700865917377378
"WilmingtonNC",0.00520518413407889,69.0521587213714,0.387659175968815,-0.185520095136096
"FortPulaskiGA",0.00579660885916588,75.2713136273605,-0.056588884347415,0.299856179178611
"MayportFL",0.00502799494794043,64.765326280542,0.0114867248068418,0.0354745309203166
"VirginiaKeyFL",0.00430749535467997,55.003611311061,-0.791390278212439,1.35688128000987
"NaplesFL",0.00739264778771975,82.4387488056729,0.0218499773225936,0.269704720303032
"StPetersburgFL",0.00762099283453282,77.1889248553454,0.495367436325365,-0.220704857791062
"ApalachicolaFL",0.0066225183987625,110.013475775471,0.265355032749633,0.317435782399821
"PanamaCityBeach",0.00661610583028833,119.884459238148,0.550851914005114,0.0104810709033557
"PensacolaFL",0.00651398562061552,71.3194108961523,0.282049737579148,0.323477673794026
"DauphinIslandAL",0.00595238283796172,78.6663317554987,-0.0798603672613347,0.793472166154143
"GrandIsleLA",0.00546842089890285,96.7850954210571,-0.0562540872174213,0.645319902045219
"SabinePassNTX",0.00528401530322088,79.1428666217784,0.764896189989246,-0.428639597990292
"GalvestonPPier",0.00616275881738902,100.321661351363,0.140669224098453,0.453535358073134
"RockportTX",0.00418411068070394,70.4287405614081,0.53222659078012,-0.2751904431504
"CorpusCristiTX",0.00488280305548032,123.486201599212,-0.321910447555701,0.55953503234835
"PortIsabelTX",0.00440736604905337,74.2515004336584,-0.164646546223402,0.614120835671659
"ClearwaterBchFL",0.00750767102067107,147.444364128968,1.73180262140196,-2.12934445341962
"PortCanaveralFL",0.00530204610017538,50.8601828193505,-2.28562683121286,2.99999946738098
"GalvestonPier21",0.00586597490787855,100.304156685673,0.387169509061504,-0.0609970429549595
