"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00482043478203029,0.00112387521839293,4.60390023077157,-0.18519891466594,0.0773491226636601
"KeyWestFL",0.00371493213148921,0.00226378917580996,3.5020247973036,0.380152711286387,0.212196380277706
"PortlandME",0.00427736619465804,0.00503862149206013,4.65893120832788,-0.0764904959884437,-0.0212118424252919
"NewportRI",0.00691391000802634,0.000733744663406615,4.78710808662771,-0.192516438031621,0.0562514995669627
"DuckPierNC",0.00220713265361271,0.00484285617811689,4.96047576031048,-0.0702492713553936,-0.0617805382923232
"CharlestonSC",0.00414485312527296,0.00413772717007901,4.0018982140879,0.372607452733096,0.240885260871338
"AtlanticCityNJ",0.00604290537328594,0.00213490192725849,4.67279467716801,0.0808158568563994,0.0605966126318033
"MontaukNY",0.00906125858071966,-0.00220852457220156,5.30031314543904,-0.347002537017849,0.0207149520312654
"EastportME",0.00335836361879402,0.0058226509975964,4.31041958792995,0.351642793468246,0.0113731846615256
"BostonMA",0.00615490775089342,0.00171641819900465,4.46639693985252,0.14395264319313,0.182593180660243
"WoodsHoleMA",0.010946783820635,-0.00463841403737638,5.33937601401082,-0.53439138446385,0.0118026886660468
"NantucketMA",0.00530063759162532,0.0027932371297807,3.55975832216401,1.33714956955301,0.350737132528905
"NewLondonCT",0.00793949736348432,0.000246185576819126,5.34494692862776,-0.631465475699618,0.130589237242023
"NewYorkNY",0.00357630761141561,0.00701678958850726,5.18953622480716,-0.574211877279588,0.174187362619461
"CapeMayNJ",0.00664815206238729,0.000300798756987181,5.22795487117684,-0.447384575096176,-0.0617224918989173
"LewesDE",0.00658107523508821,0.000874133577516313,4.78598817885161,0.251894182234008,0.0479258776489523
"ChesapeakeBBT",0.00284317196280264,0.00488204539547903,4.27232915990523,1.1841302111786,-0.113133015451712
"WilmingtonNC",1.12623363378529e-07,0.0088155995127074,3.37345690195668,1.10865053361124,0.286542976640802
"FortPulaskiGA",0.00592852621972535,-0.000221634551559061,3.99016122147479,0.555445017221009,0.126514169242263
"MayportFL",0.0073193074472973,-0.00490798142434136,4.10347837463292,0.152641178757406,0.027930364508241
"VirginiaKeyFL",0.0152445571528987,-0.0123674794056786,0.698802279080903,3.85649599258458,0.347140660067752
"NaplesFL",0.00693527848317835,0.000659097785494608,3.89609872490125,0.717855123648353,0.224812178967287
"StPetersburgFL",0.00434812733857758,0.00531814855828866,4.17262304873854,0.23927292829454,0.366147232984854
"ApalachicolaFL",0.00288003183963573,0.00488525570527584,3.44053699090209,1.59926508622699,0.505987991386494
"PanamaCityBeach",1.83949195626988e-06,0.00770625020632808,4.02082909270677,0.868818139811973,0.555657064706418
"PensacolaFL",0.00472336417835196,0.00331747444135904,3.82910585348164,0.787165639858498,0.451995727336412
"DauphinIslandAL",3.87135915273358e-06,0.00749596365537366,2.78755802255208,1.91332022125951,0.570547173604824
"GrandIsleLA",0.000591874763544181,0.00615433315583885,3.76945704925266,1.01065070798862,0.452382603478616
"SabinePassNTX",0.00212694837896175,0.00383591023496898,4.91139093396377,-0.635730228226356,0.398036964011362
"GalvestonPPier",0.00638602840270114,-0.00035874836810006,4.03577163756613,0.944877314323589,0.408760974796451
"RockportTX",0.00240283249649779,0.00280916672692916,3.9488562053311,0.410571072670726,0.369139789699086
"CorpusCristiTX",0.00289946576316197,0.00240141104722599,4.05805944840178,0.935824383303227,0.122439881092711
"PortIsabelTX",0.00462171660146503,-0.000345430861099047,3.86267938288438,0.799389418863422,0.169075193779855
"ClearwaterBchFL",0.000187558970876165,0.00814993998833875,7.61999601832078,-2.88166014825696,-0.214786874090667
"PortCanaveralFL",8.08012711811704e-06,0.00593920332884708,1.23851202096382,3.00539977380232,0.409766749672608
"GalvestonPier21",0.00457331460181058,0.00272546566089692,4.40938378787333,0.368740056398308,0.363316766671763
