"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00479844356481076,0.00116097174397231,91.3010723154765,0.0339339706848166,0.0635150956842239
"KeyWestFL",0.00372247094535227,0.00222928948196942,41.1627462936474,-0.0121900651292322,0.379084247694359
"PortlandME",0.00420445252255518,0.00513653462683716,101.107430427886,0.0110344005282469,-0.0574705922523191
"NewportRI",0.00690435761916723,0.000776236518347009,110.727119894068,-0.144777158019928,0.298392410281228
"DuckPierNC",0.00258074400628622,0.00429908532991391,147.431106478121,-0.807657503394756,0.810962962921164
"CharlestonSC",0.0041950099522094,0.00400226843339348,67.7269039268943,0.119195817846751,0.205806666979489
"AtlanticCityNJ",0.00594820759364647,0.00230132708193153,111.7328089405,0.0916623919023935,-0.0574659962651138
"MontaukNY",0.00882789333200719,-0.00181510990854568,162.290245704368,0.216123282175896,-0.324186675573962
"EastportME",0.00329223764294786,0.00587445385792902,94.320204297723,0.129509724637476,-0.206430701540681
"BostonMA",0.00598692460612267,0.00201916943697263,94.3571381853357,-0.0425750262354773,0.397343707759835
"WoodsHoleMA",0.0104287500631662,-0.00382384809517263,147.488106719092,0.138767900955034,-0.18953920766542
"NantucketMA",0.00533841766663505,0.0027015940792678,89.9020766358272,-0.386827294606614,1.03387507366663
"NewLondonCT",0.00769759969588523,0.000640057165704782,141.351881258488,0.373697197417205,-0.380457262724905
"NewYorkNY",0.00358949105068717,0.00694302023496317,125.625643305599,0.258690681268493,-0.110330222470901
"CapeMayNJ",0.00631504538520185,0.000770577743157078,138.323600547395,0.280072290419587,-0.498490060393816
"LewesDE",0.00670527676532399,0.000658256926529053,138.705143183497,-0.0659878072313927,0.193583621916419
"ChesapeakeBBT",0.00289498618840551,0.00478199140280671,173.549760959295,-0.627350326033705,0.687501298275363
"WilmingtonNC",4.95778771057769e-08,0.00872602637723496,68.3486211434437,0.275545114203083,-0.0214815873458389
"FortPulaskiGA",0.00564128991238755,0.000259465098734115,75.5538477489619,-0.0746233229633659,0.311165575527716
"MayportFL",0.00734577944747161,-0.00496482435538797,64.7627133548215,0.0113493203546424,0.0358946632831781
"VirginiaKeyFL",0.00627051849597367,-0.00217052220249712,55.7668557901923,-0.674354705313253,1.14782928752791
"NaplesFL",0.0064613577893407,0.00133458980401893,82.8622992891798,-0.00638276470960785,0.2935131164517
"StPetersburgFL",0.00455060030415663,0.00492670925887116,77.1366866738836,0.466760926887299,-0.173520772514265
"ApalachicolaFL",0.00310058321784834,0.00452359959804579,109.927937299941,0.229016572840991,0.354500120852062
"PanamaCityBeach",1.11294041298844e-07,0.00747764788050555,121.471698549395,0.995857141779664,-0.491879430751947
"PensacolaFL",0.00484120838599143,0.00306448093461518,71.2512063878198,0.281355921477929,0.322806659523684
"DauphinIslandAL",0.000912407170822599,0.00623686400695633,78.1322658559214,-0.0251041195463006,0.723192624851701
"GrandIsleLA",0.000523019016178423,0.00613633177915839,96.9081833534933,0.116781698362253,0.427784246015292
"SabinePassNTX",0.00172965699932356,0.00423167859926684,80.2998783217698,1.30256028977731,-1.05732865938175
"GalvestonPPier",0.00638376909776713,-0.000354922355310201,100.315659996251,0.140688542328291,0.453452258518441
"RockportTX",0.00243268986506316,0.00273866284702823,70.7453302734604,0.55023583800927,-0.303318288640984
"CorpusCristiTX",0.00265086613474497,0.00265978827080658,125.173309650877,0.0926455674967915,0.0521825356392774
"PortIsabelTX",0.00473764485383291,-0.000526317752529785,74.297644731311,-0.141494988135373,0.572098357282859
"ClearwaterBchFL",3.9691940221885e-07,0.00816348003569502,140.26745002833,0.567072880946706,-0.729202813890847
"PortCanaveralFL",4.52621958110802e-08,0.00581138277195194,50.937314060149,-0.818673782778113,1.32613445895554
"GalvestonPier21",0.00452058518483686,0.00281435874543428,100.340604165071,0.414737932843344,-0.111863924680322
