"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00540150636649213,4.69100647185564,-0.32642811095207,-0.0386818871554317,0.190705199866069
"KeyWestFL",0.00486582587870861,3.66012660320179,0.109544545523105,0.0124029365620634,0.332677978512564
"PortlandME",0.00680131071294763,4.63511245641067,-0.037406866387302,-0.00201553751196438,-0.0323909381395395
"NewportRI",0.00736091794119661,5.10598743991603,-0.70405751627572,-0.383038495388864,0.71142753560161
"DuckPierNC",0.00594882207201423,6.83817940414333,-2.12279633393481,-2.66173399320118,2.99498149534444
"CharlestonSC",0.00632192851390341,3.94948149893485,0.464028034480861,0.25003217361467,-0.0223583800708905
"AtlanticCityNJ",0.00712722524665961,4.65458250928293,0.11119942716533,0.125017437157892,-0.117287348159947
"MontaukNY",0.00769552528025132,5.12235826230739,-0.0520496775110034,0.202077242102308,-0.303141877051044
"EastportME",0.00668161429887104,3.87151311033886,0.955054817292091,0.611014869530237,-0.876969507732386
"BostonMA",0.00707809866654403,4.77159082064623,-0.43427234670622,-0.1839514111258,0.673829258618754
"WoodsHoleMA",0.00781989876143951,5.50547905221481,-0.770483980624141,-0.17687805491444,0.276411841523299
"NantucketMA",0.00724130225533225,3.46513518362231,1.45032613597981,0.502113657964176,-0.214656440959432
"NewLondonCT",0.00808504286006378,5.28541925112217,-0.522363045384819,0.215896662557506,-0.143452948574036
"NewYorkNY",0.00736094860197029,5.28768319706687,-0.687650624673243,0.02359738340052,0.207936393789402
"CapeMayNJ",0.00688049422343025,4.89461058183934,0.049225987660108,0.299814717442572,-0.526849381251173
"LewesDE",0.00709922387185262,4.77987620588326,0.259936921021978,0.0270861954830718,0.032331826199002
"ChesapeakeBBT",0.00648731209415874,4.47812256046875,0.896284935588123,-0.264546738465795,0.206712096749148
"WilmingtonNC",0.00520547556945471,2.82813783636209,1.86502679898107,0.768255748783728,-0.7184481765703
"FortPulaskiGA",0.00579786787007852,4.09193082854341,0.392771972619597,0.00277476037250491,0.180667447621517
"MayportFL",0.00502855296417752,4.07860188563942,0.204200341139472,0.0455640012840962,-0.0388020800603735
"VirginiaKeyFL",0.0043133868838676,0.000484618724053506,4.5623170448277,1.2269165973874,-1.07801379107889
"NaplesFL",0.00739570367962356,3.8511985088073,0.767596702280031,0.281015962580218,-0.082129151479436
"StPetersburgFL",0.00761979512836613,3.48652811687684,1.31915508269804,1.11412445338549,-1.18881873277239
"ApalachicolaFL",0.00662453250931104,3.03702614347307,2.08171507222857,0.942659465172623,-0.562572646332144
"PanamaCityBeach",0.00661908932498668,2.95172208472118,2.0499307070962,2.73077916837194,-2.42020565791179
"PensacolaFL",0.00651612463725655,3.74186110257749,0.937160914640028,0.545618159754482,-0.169187843634709
"DauphinIslandAL",0.00595390987852913,2.21726807472817,2.55591208821419,1.40527793733083,-0.994183792200668
"GrandIsleLA",0.00546819186684455,4.23787569976831,0.408794313314648,0.295226350150872,0.208133311040899
"SabinePassNTX",0.00528670874423477,3.44138043809359,1.09867807282157,2.36004438690245,-2.28285446021171
"GalvestonPPier",0.00615897197856103,4.02316963959492,0.965393067610786,0.436067909282564,-0.04382224535489
"RockportTX",0.00418314771740252,3.46855140802869,1.18087581692296,1.09425947289766,-1.14558243265058
"CorpusCristiTX",0.00488151435271307,3.9431479152275,1.0476203131918,0.846990396970067,-0.844571750611272
"PortIsabelTX",0.00441187166763748,3.88959615239193,0.73799389872006,0.126644457868324,0.0785227316649336
"ClearwaterBchFL",0.00750605132389731,3.41756625370171,1.62837259413488,1.44847223239607,-1.68135851074915
"PortCanaveralFL",0.00530151370684596,0.825020283323304,3.36943384722065,0.938174929719762,-0.59970895676317
"GalvestonPier21",0.00586803310062836,4.24180804827114,0.641706606775587,0.641773335497236,-0.49861034169559
