"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00480878207780097,0.00117797586283805,4.70858865826571,-0.349646167757283,-0.0262128950416774,0.1633243920942
"KeyWestFL",0.00373149643404302,0.00223811360664521,3.68003404692662,0.0672985130744427,0.00828724575846623,0.353219819472036
"PortlandME",0.00427872166682902,0.00504917589150307,4.64278561663839,-0.0570024042703344,-0.0121407758427869,-0.00864981166768221
"NewportRI",0.00693920613544784,0.000752241436018373,5.09243550363569,-0.697196152619192,-0.389116798825578,0.737398420281283
"DuckPierNC",0.00234880651061723,0.00470237926080383,6.61676601255934,-1.92704666638757,-2.33298765309288,2.61407356733011
"CharlestonSC",0.00413497384514199,0.004129624989213,4.00048161562322,0.370698692703941,0.246851440576109,-0.0141102897775983
"AtlanticCityNJ",0.00604768800853057,0.00219598611236323,4.63164928541211,0.163250550350998,0.115429083982983,-0.10169456945745
"MontaukNY",0.00895102762436173,-0.00207605132039448,5.11913363663099,-0.0473550701704119,0.21283559411838,-0.315991558165957
"EastportME",0.00339823885210669,0.00580084713792172,3.97034881658164,0.839001802398953,0.492739104073748,-0.723698173229355
"BostonMA",0.00607205853160299,0.00190547815331535,4.75348829899994,-0.41563660942063,-0.180545764441025,0.682243454839775
"WoodsHoleMA",0.0108642682505757,-0.00452796065197176,5.50478086067412,-0.779366677788546,-0.172089017196654,0.270378492100337
"NantucketMA",0.00532649232155203,0.00280321665957372,3.5174561151689,1.39789628165593,0.41847587132064,-0.0964850305133638
"NewLondonCT",0.00790642041324255,0.000258898780370824,5.27323705165052,-0.50955482049731,0.214254151361215,-0.134614676360192
"NewYorkNY",0.00360469554348089,0.00702966053759496,5.31272760279854,-0.745955023701663,0.0140559758749036,0.228789324374576
"CapeMayNJ",0.00672313584638392,0.000198377825331489,4.95629074523001,-0.0381734409044349,0.296898983776788,-0.538950231626921
"LewesDE",0.00653232976296158,0.000964534724972491,4.81030513089502,0.214049009146737,0.0328867775428201,0.0360288524093057
"ChesapeakeBBT",0.00307089246644315,0.0046248414824175,4.57813848137002,0.771468618808651,-0.344102349986473,0.314366682680082
"WilmingtonNC",2.58193920566519e-05,0.00873421294079713,2.86269648368626,1.81864895653246,0.932283403930756,-0.918537839212512
"FortPulaskiGA",0.00599503812191599,-0.000326542728756751,4.10832909777457,0.346098748315862,0.024490145197048,0.176200075757169
"MayportFL",0.00731777231354934,-0.00481521960302479,4.08977360020557,0.158342281191607,0.0380206290598986,-0.0168527576042569
"VirginiaKeyFL",0.0149106547950205,-0.0119443263983171,0.0671748945307032,4.60561026371472,1.0392963554303,-0.828342647540073
"NaplesFL",0.0067065314209542,0.00104557968436116,3.80715651250603,0.838663710600637,0.356853076611345,-0.187090039360001
"StPetersburgFL",0.00436430196291873,0.00523690544219506,3.63849742979673,1.09011718860089,0.995752165307616,-1.0111521601774
"ApalachicolaFL",0.00279535697426332,0.00498108209258772,3.08717913892336,2.05229794131845,0.987883688472102,-0.625613842237137
"PanamaCityBeach",1.86512067084155e-05,0.00766329212700372,2.95357387886112,2.07728744026931,1.99899060840552,-1.6303472494961
"PensacolaFL",0.00474798405306294,0.00325434642962489,3.77185938736462,0.895981917773891,0.52726334974922,-0.129574786096579
"DauphinIslandAL",0.000177387821029188,0.00725249771766594,2.38864543929967,2.39111922879944,1.10096048759618,-0.630785845757777
"GrandIsleLA",0.000575729778422827,0.00615944778716381,3.96440406415245,0.765685110736327,0.177294795749965,0.330676115481438
"SabinePassNTX",0.00210592758860888,0.00385516185723601,5.28052385293941,-1.08223766117097,-0.0971619124427791,0.585260000234593
"GalvestonPPier",0.00632443466571793,-0.000255849320068676,4.04896840280537,0.929468446043642,0.414663559287325,-0.0166881526317049
"RockportTX",0.00243550282074627,0.00274047443550204,3.41954864135875,1.24974053265217,1.06586711502373,-1.1043139739615
"CorpusCristiTX",0.00309028135825025,0.00212781362887554,3.86441122238697,1.15212709868007,0.388085748853429,-0.305725480487612
"PortIsabelTX",0.00464187154801205,-0.000351413151880889,3.91740493279222,0.692769352475601,0.0581539908419351,0.197389731595881
"ClearwaterBchFL",0.00238393074411505,0.00580262052248893,10.2515723595137,-5.74682308178397,-2.95784354918885,2.99154583917023
"PortCanaveralFL",4.91185207158808e-05,0.00591285078110454,1.73492931411619,2.48540054890316,-2.26256104358753,2.95721420332301
"GalvestonPier21",0.00457643724017173,0.00272255899696377,4.25251100851459,0.63989591321295,0.592627949324736,-0.420497402576194
