"","lambda","sigma","xi"
"FernandinaBeach",0.00540235822893873,90.8307445013688,0.0734306309464052
"KeyWestFL",0.00486502226212277,40.2896182168432,0.228512131561193
"PortlandME",0.00680113165033282,101.078475608594,-0.0205991855991301
"NewportRI",0.00735673734243779,108.370703406274,0.0479780395321416
"DuckPierNC",0.0060072360228025,135.167477163767,-0.0650111070560398
"CharlestonSC",0.00631981604660866,67.6052175641565,0.242404602665219
"AtlanticCityNJ",0.0071269127969428,111.794407685023,0.0600070241937363
"MontaukNY",0.00769906695694359,160.591964138986,0.0382857460346948
"EastportME",0.00668217089276769,93.9155827853928,-0.00143641792729822
"BostonMA",0.00707874397958695,93.4182999145026,0.190342963254805
"WoodsHoleMA",0.00781664662612,148.53480226852,0.0124527617687318
"NantucketMA",0.00724369497066909,91.113692006436,0.38127538604993
"NewLondonCT",0.00808750183655311,140.944133541875,0.154588423327756
"NewYorkNY",0.00736442746143912,127.297532497882,0.181430968800346
"CapeMayNJ",0.00687421881513384,133.183779239332,-0.0416522529269455
"LewesDE",0.00709787780084553,138.934351934542,0.0516616831028521
"ChesapeakeBBT",0.00649606293487259,166.465406313918,-0.0275290136677838
"WilmingtonNC",0.00520518490203326,68.2363910417234,0.2594850790196
"FortPulaskiGA",0.005796604347167,74.4299852232607,0.139992201668961
"MayportFL",0.00502799682761791,64.7589289928942,0.0274780738981557
"VirginiaKeyFL",0.00430748836386125,54.661702884003,0.417573599578748
"NaplesFL",0.00739264921824894,81.5795345276058,0.224951637934823
"StPetersburgFL",0.00762099324830952,76.382184265002,0.359985500663985
"ApalachicolaFL",0.00662251658485641,110.488055307507,0.517795007169034
"PanamaCityBeach",0.00661612676734744,119.904419518595,0.55999488073905
"PensacolaFL",0.00651398591398245,71.6317138022973,0.472799142826357
"DauphinIslandAL",0.0059523808833104,78.2255902628765,0.595855061632283
"GrandIsleLA",0.00546841275387095,97.2898314240803,0.475548883120919
"SabinePassNTX",0.00528401593670335,79.4831779992611,0.403796945651181
"GalvestonPPier",0.0061627600516228,101.023058403471,0.42521307774475
"RockportTX",0.00418410027273281,68.8803312069798,0.364549493380811
"CorpusCristiTX",0.00488281237325712,125.409207639983,0.135921974939344
"PortIsabelTX",0.00440736660779135,76.6361851747841,0.197090225742687
"ClearwaterBchFL",0.00750769243238904,129.753849415182,-0.021673126034641
"PortCanaveralFL",0.0053019825029564,51.1341132744805,0.431353877832084
"GalvestonPier21",0.00586597012083539,100.317432067495,0.354932761639446
