"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.00497556131978963,0.000796409349582526,90.8306218382812,0.0734320739105906
"KeyWestFL",0.00350396551149121,0.00230063817461053,40.2895240170644,0.228522707183534
"PortlandME",0.00329563909237869,0.00602314738646882,101.07898036044,-0.0206042191637515
"NewportRI",0.00644835087939071,0.0013503293678506,108.370999209319,0.0479738664487897
"DuckPierNC",2.35189394749054e-09,0.00688237052756471,135.170310127179,-0.0650663883699704
"CharlestonSC",0.00394549497152217,0.00388823705270261,67.6052814914617,0.242404509120076
"AtlanticCityNJ",0.00622653599043787,0.00153095468831792,111.793997136097,0.0600068826409227
"MontaukNY",0.0110624482113089,-0.00453748983278952,160.592664550205,0.0382833988548607
"EastportME",0.00149748307109324,0.00780967033034077,93.9159285683118,-0.00143719776476515
"BostonMA",0.00537288243651193,0.00271992082775758,93.4185540144094,0.190338068221306
"WoodsHoleMA",0.0141377722401759,-0.00797623020603435,148.534872027773,0.0124525463417861
"NantucketMA",0.00423930104611412,0.00366785069389435,91.1129472422581,0.38127630289112
"NewLondonCT",0.00817908899290764,-0.000130504244214021,140.943807324405,0.15459059224257
"NewYorkNY",0.00311095400867834,0.00674528892740386,127.297456799199,0.181431472958615
"CapeMayNJ",0.00645044225975245,0.000509217567828349,133.18356676553,-0.0416528346237248
"LewesDE",0.00672417336659907,0.000532037664377271,138.934232136681,0.0516624365926139
"ChesapeakeBBT",1.91385123107486e-09,0.00764241418383949,166.460951349944,-0.0274986763868338
"WilmingtonNC",3.10045706396521e-10,0.00753431845238141,68.2384386203121,0.259440656378838
"FortPulaskiGA",0.00596325700334632,-0.00024169615884456,74.4301785015816,0.139991224861245
"MayportFL",0.00826631267860989,-0.00559854670661512,64.7581930531056,0.0274846444612171
"VirginiaKeyFL",0.0122977335355962,-0.0084986445215765,54.6616323694356,0.417569915421294
"NaplesFL",0.00604261666976424,0.00165582861727819,81.5797652152802,0.224949142615427
"StPetersburgFL",0.00272047251343979,0.00660218049081921,76.3824012634133,0.359983171140151
"ApalachicolaFL",0.00275842962093381,0.00448061022799257,110.487947925326,0.517800539482747
"PanamaCityBeach",3.34127625318152e-09,0.007154923469995,119.898996106029,0.560006238734902
"PensacolaFL",0.00464112254113517,0.00296147318199501,71.6315698175811,0.472800810958966
"DauphinIslandAL",3.19136065737132e-11,0.0067322107797356,78.2358899369101,0.5957151786688
"GrandIsleLA",0.000857381514127009,0.00524654910890729,97.29060643543,0.47554506238421
"SabinePassNTX",0.00317292009678146,0.00233903781125853,79.4833168582944,0.403796986018706
"GalvestonPPier",0.00751712253259111,-0.00179616541020644,101.023096325768,0.42521063445875
"RockportTX",0.001199950347073,0.00394935773101329,68.8805193278905,0.36455189187018
"CorpusCristiTX",0.0066276981375748,-0.00193500563804336,125.407910339787,0.135923435466066
"PortIsabelTX",0.00580344143800411,-0.00190349322498308,76.6352736528619,0.197092979827956
"ClearwaterBchFL",2.75057871196731e-09,0.00791248560903797,129.744224304253,-0.0216040428680162
"PortCanaveralFL",8.76144644373256e-10,0.00561876897476162,51.141974007707,0.43127795845943
"GalvestonPier21",0.0046882475000717,0.00213939466440952,100.317745849732,0.354928083885438
