"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00540229855474874,4.6646373376281,-0.306757027115311,0.0825509134735512
"KeyWestFL",0.00486496802431218,3.51869355695653,0.294317342147169,0.21917007913488
"PortlandME",0.00680129120767407,4.75073067046672,-0.211685393382124,-0.0204936746973863
"NewportRI",0.00735664053831464,4.7231698642941,-0.0589952840428071,0.0505349243550094
"DuckPierNC",0.0060073453954677,5.11672617226472,-0.240402972531835,-0.0623255986406781
"CharlestonSC",0.00631980233303167,4.05329316339231,0.246457060484954,0.240863428168451
"AtlanticCityNJ",0.00712678573558123,4.60998201363549,0.179541987019424,0.0569795611360806
"MontaukNY",0.007698859177141,5.37588528632418,-0.395598055710547,0.0239230831759453
"EastportME",0.0066823558123382,4.02122570538721,0.688158240282706,0.015346182644042
"BostonMA",0.00707872134455168,4.49889410070317,0.0643248020766153,0.186732529881506
"WoodsHoleMA",0.00781631733516513,5.48883841968305,-0.642490214540407,0.0113137328233057
"NantucketMA",0.00724374537734889,2.64192474718505,2.27018942642569,0.339011218044087
"NewLondonCT",0.00808769096258318,5.55614467839073,-0.848497444289325,0.130629845094517
"NewYorkNY",0.00736449312350091,5.22547162382363,-0.560719189022831,0.180672562414008
"CapeMayNJ",0.00687439783206773,5.15365279162757,-0.30717172347298,-0.0484144745031598
"LewesDE",0.00709785206071605,4.63143426712397,0.431116996313664,0.0456865371777023
"ChesapeakeBBT",0.00649597974161894,3.62703356308864,1.77936170769604,-0.0923909889043861
"WilmingtonNC",0.00520524381844117,3.10780381138254,1.33337733931897,0.260838343885301
"FortPulaskiGA",0.00579661418739275,3.96168504676797,0.51692756968312,0.128011548792339
"MayportFL",0.0050279774355704,4.4369363915708,-0.484038891397322,0.0230363596964193
"VirginiaKeyFL",0.00430778265192088,1.6466008201837e-05,4.32967650259693,0.352751987533072
"NaplesFL",0.00739268218739555,3.15391668282056,1.53393574939131,0.200716581213219
"StPetersburgFL",0.00762076365972665,3.8803833838004,0.589240075960375,0.359793985390941
"ApalachicolaFL",0.00662251480088087,1.93731389632706,3.18020099484844,0.489274998313263
"PanamaCityBeach",0.00661618957812585,7.38388429749952,-2.77462930326994,0.535963114975487
"PensacolaFL",0.00651409963998836,3.73453752653619,0.820404717289189,0.458300953698529
"DauphinIslandAL",0.00595232938955771,1.45453813780272,3.25460364359521,0.547769164296032
"GrandIsleLA",0.00546842121828649,2.46520510752977,2.42547546300965,0.420946763370368
"SabinePassNTX",0.00528393215108808,5.61189130119498,-1.36287009083968,0.398006896064833
"GalvestonPPier",0.00616268213323196,3.70897433573345,1.20611159582409,0.421175042042212
"RockportTX",0.00418408477633059,3.86964827774431,0.454118717256893,0.369168788503178
"CorpusCristiTX",0.00488277003261256,4.14841983186871,0.755590483639007,0.138260175351929
"PortIsabelTX",0.00440732115285271,3.840495913579,0.698742694970481,0.187950801826419
"ClearwaterBchFL",0.00750721075453733,5.83253194062614,-0.990821909158343,-0.0420505140935317
"PortCanaveralFL",0.005301960933723,0.474449215986782,3.58540108572886,0.453698027781051
"GalvestonPier21",0.00586586428382286,4.42139134589576,0.299481630360586,0.365914253888477
