"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00540235386113306,90.823563714892,0.0738251543458079,-0.000613212505563994
"KeyWestFL",0.00486502568891203,40.8556751913874,-0.0300299816971545,0.38078032633859
"PortlandME",0.00680113453916782,100.834352551417,0.031207786409536,-0.0781808675582206
"NewportRI",0.00735673289745065,111.247804131197,-0.294955792942964,0.468822091685444
"DuckPierNC",0.00600723276792101,139.831046777484,-0.87838889714252,0.884922644461893
"CharlestonSC",0.00631982816502628,67.7646504390132,0.149890343985641,0.136039451521802
"AtlanticCityNJ",0.00712690455266732,112.443321443197,-0.0639409478836647,0.192628285765445
"MontaukNY",0.00769907952145516,162.254609484832,0.281163485567123,-0.359954839997776
"EastportME",0.00668214086640226,94.1737334995161,0.0922345473880587,-0.128843115153925
"BostonMA",0.0070787547714932,94.728536213064,-0.086089748019432,0.403895146261125
"WoodsHoleMA",0.00781663440044265,148.015940136067,0.185672488375673,-0.225798588524841
"NantucketMA",0.00724369103627559,92.6776033671369,-1.19275020895809,1.83354221781222
"NewLondonCT",0.00808746651646376,141.365669802018,0.418690662840217,-0.396641381267198
"NewYorkNY",0.00736442703672704,127.466702705844,0.171712544510355,0.012672367948976
"CapeMayNJ",0.00687422138242357,136.038352923718,0.320232375008573,-0.461193992226114
"LewesDE",0.0070978814981783,138.453998513866,-0.105713295061472,0.222420965378003
"ChesapeakeBBT",0.00649606437748286,173.954313630432,-1.10074488654757,1.16664667283294
"WilmingtonNC",0.00520517485863045,67.9552254117408,0.194215531659773,0.081812218930889
"FortPulaskiGA",0.00579659864581089,74.9272365202405,-0.0278180713477321,0.225314208996461
"MayportFL",0.00502798371460472,64.7718675674106,0.19601582536531,-0.31453341324961
"VirginiaKeyFL",0.00430749536560585,55.7677507400877,-1.73162940051679,2.25213623340212
"NaplesFL",0.00739265196139407,83.0650437409125,-0.49127616997012,0.832770667434598
"StPetersburgFL",0.00762098994420434,76.237566548096,0.294580097724388,0.0865225024645452
"ApalachicolaFL",0.00662252852291689,108.998900106371,-0.49517707414783,1.15737254310868
"PanamaCityBeach",0.00661613004727757,122.913356150125,2.71832378862374,-2.35869125731647
"PensacolaFL",0.00651398947258589,71.1318251781492,0.358904168512185,0.176122045936122
"DauphinIslandAL",0.00595238147068532,77.1198967053399,-1.18132196499679,1.96585006042739
"GrandIsleLA",0.00546841919677626,94.8418757446961,-1.5093611068256,2.23780892768279
"SabinePassNTX",0.00528401514647927,80.8526820588582,-0.12372915576148,0.567579584080709
"GalvestonPPier",0.00616275575304099,100.719474948068,0.273897257897405,0.202694475619876
"RockportTX",0.00418408555822366,71.7398024029517,0.859621749718371,-0.672767221542427
"CorpusCristiTX",0.00488280728789106,125.4436388341,0.186743568113511,-0.0565820623811705
"PortIsabelTX",0.00440735972898546,75.9164865869982,0.00986227538230089,0.267393836421444
"ClearwaterBchFL",0.0075076843821152,135.328204235622,0.765485155554294,-0.870538321265544
"PortCanaveralFL",0.00530197831729253,51.176782658219,0.596216344922574,-0.172275766487546
"GalvestonPier21",0.00586597304350077,100.402264267768,0.483387591176696,-0.216966525946279
