"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00497121969921232,0.000805797499771877,4.66449636851958,-0.306808021755176,0.0822655360548922
"KeyWestFL",0.00351059175648856,0.00228989101493715,3.51905881239802,0.295342049713724,0.218516306427522
"PortlandME",0.00330641945479701,0.00600872837493499,4.74954394529556,-0.207003095993135,-0.0207419862535921
"NewportRI",0.00644060980974255,0.00136690543892841,4.72382390739312,-0.0587719858020507,0.0499286169991499
"DuckPierNC",6.18765552079306e-06,0.00685002981889855,5.11383826114568,-0.240049183738709,-0.060778564579241
"CharlestonSC",0.00395899558578605,0.00386751896680579,4.05270271772929,0.248416829346864,0.239853553905346
"AtlanticCityNJ",0.00621653912855677,0.00154089913311732,4.60925790558611,0.180856224768965,0.0567294492880612
"MontaukNY",0.0110592004187779,-0.0045335652729052,5.37719852109882,-0.397374960848193,0.0244828323489018
"EastportME",0.00153102532037456,0.00775174840781195,4.01929903874989,0.689273735489149,0.0148712579281405
"BostonMA",0.00536260102577819,0.00273869124634451,4.49971576858653,0.0626552645973943,0.187348969424738
"WoodsHoleMA",0.0141114373368687,-0.00794568979707218,5.49294086721142,-0.647572275567576,0.0110354194065113
"NantucketMA",0.00426176030741002,0.00364069310087837,2.64157728317532,2.27067950630735,0.338722487676957
"NewLondonCT",0.00819193339697014,-0.000144859960158057,5.55238233269917,-0.845135093176986,0.132169237651949
"NewYorkNY",0.00311381867145669,0.00674676334899784,5.22548883065385,-0.56017385554963,0.180356195867003
"CapeMayNJ",0.00646590234141488,0.000489196487995974,5.16758935747663,-0.322500441711761,-0.0496283825461304
"LewesDE",0.00673391460931443,0.00052008769371223,4.62943934919021,0.431764252173635,0.0466049846310255
"ChesapeakeBBT",1.48834275306837e-05,0.00761173722229921,3.64871009747664,1.75647710100233,-0.0913468077420009
"WilmingtonNC",7.66829307713243e-07,0.00752795268254863,3.09697473053335,1.35964027913829,0.248901047468547
"FortPulaskiGA",0.00597527902593522,-0.000270701404820043,3.96584659982807,0.51309670563095,0.127369626107641
"MayportFL",0.00828792588165853,-0.00562986213009144,4.43724708468632,-0.485321253021727,0.0232610888205072
"VirginiaKeyFL",0.0122748605609341,-0.00847920146225203,0.00261599431881496,4.31961834823997,0.358086433401515
"NaplesFL",0.00604429802758364,0.00164605359524992,3.15360017429886,1.53604564995131,0.201753675201369
"StPetersburgFL",0.0027082009052072,0.00661555576259821,3.87777776351503,0.593392271313928,0.359431741242188
"ApalachicolaFL",0.00269933330963959,0.00454736300662063,1.94269451108796,3.17647541732535,0.487738609898022
"PanamaCityBeach",7.10577774244627e-06,0.00714361048069206,7.36364100328373,-2.74858636258329,0.534832959042948
"PensacolaFL",0.00462772541608521,0.00297948589608643,3.73437408885815,0.820840455993986,0.457696774560937
"DauphinIslandAL",1.49674341115332e-06,0.00673008324573234,1.42379578200725,3.28923401029701,0.547653053336104
"GrandIsleLA",0.00079875675175088,0.00531797286635252,2.48341967906078,2.40429916244563,0.421706096795866
"SabinePassNTX",0.00317714008749714,0.00233383217558138,5.60591664617235,-1.35586807905228,0.398731928875317
"GalvestonPPier",0.00749583181094884,-0.00176407653496253,3.71302403095357,1.20095603760096,0.421367742367308
"RockportTX",0.00119259074298325,0.00396349273576872,3.86891663670569,0.452556160814713,0.369269468514503
"CorpusCristiTX",0.00668440359722226,-0.00200097276026054,4.15776126064859,0.743567328624415,0.138238801510039
"PortIsabelTX",0.00581048188783928,-0.00191290184125438,3.84331873475283,0.698127601407911,0.185528740914638
"ClearwaterBchFL",1.03340466854362e-05,0.00792163245014155,5.74107582515274,-0.898850366828611,-0.0430907427650377
"PortCanaveralFL",1.33258511377994e-06,0.00560546827399919,0.556879474267222,3.49732590302636,0.449349055089927
"GalvestonPier21",0.00468664932263196,0.00213820433404379,4.42379049740216,0.296988309221756,0.3647770171943
