"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00540402328901512,4.82498429246505,-0.57022213391663,-0.0717227567049791,0.238011461783172
"KeyWestFL",0.00486662202360261,3.67988892489079,0.0503863905023467,-0.0161315391607644,0.357115605451352
"PortlandME",0.00680195076190224,4.86208250643038,-0.380043692150382,-0.153544834280266,0.202327624307151
"NewportRI",0.00736344863137043,5.1285958645653,-0.639856885859029,-0.550681870761521,0.859648333608566
"DuckPierNC",0.00600002774179227,6.92003983060068,-2.1982215992237,-2.5775390065726,2.75893620223657
"CharlestonSC",0.00631865615388008,4.06618452792437,0.226544036406716,0.224532901709226,0.0244629905650476
"AtlanticCityNJ",0.00712578215771398,4.66723096809449,0.0900798941500341,-0.0285222350401003,0.135799892292206
"MontaukNY",0.00770041986638701,5.10038367717592,-0.0154914424552767,0.275677774934701,-0.353470231693231
"EastportME",0.00668398934840671,3.58600962259057,1.25333817059636,0.819770985651826,-1.076831374585
"BostonMA",0.00707940699927843,4.88199755664964,-0.542862813780601,-0.264988672999657,0.699592233781371
"WoodsHoleMA",0.00781860970435243,5.67160913236628,-0.878955026748971,-0.222194504458996,0.301712421971043
"NantucketMA",0.00723981995938946,2.8517627678685,2.02374591401856,0.0421122842343901,0.350429613004814
"NewLondonCT",0.008089736925247,5.52760787072411,-0.808891435943086,0.163590567207865,-0.0472055540021249
"NewYorkNY",0.00736516572338643,5.45042528824557,-0.847774744390334,-0.139746482683054,0.421939283258443
"CapeMayNJ",0.00687463364418386,4.74810374108733,0.200939297378667,0.43707574609495,-0.604865267004628
"LewesDE",0.00710093819559096,4.59542380585842,0.483998666185211,0.0869252937973381,-0.0601566768796835
"ChesapeakeBBT",0.00650281745507764,4.20550118152502,1.1078362538401,-0.556027735032478,0.536296717009509
"WilmingtonNC",0.00520388051561211,2.52583043974474,2.0635751180351,0.825968789660326,-0.719932526716628
"FortPulaskiGA",0.00579885748406626,4.06709880050022,0.364196483413258,0.0469966010130056,0.116935948478897
"MayportFL",0.00502910546162512,4.40545453139202,-0.425006062365811,0.0650432253272295,-0.0783387754123693
"VirginiaKeyFL",0.0043110941774914,0.00127303001645288,4.32813262035874,0.382524836490412,-0.0318551839032707
"NaplesFL",0.00739260237088706,3.21178434370899,1.46599938983673,0.126393830827605,0.0874900200583006
"StPetersburgFL",0.00762046179571338,3.38295427284719,1.25245580164019,0.98037611649338,-0.825573329508276
"ApalachicolaFL",0.00662403047552582,1.62421747827076,3.54099132482696,1.10110265444386,-0.704507288657839
"PanamaCityBeach",0.00661599078969236,6.5152567139763,-1.83132871137908,1.57041532982949,-1.12224741504505
"PensacolaFL",0.00651497966061304,3.57269721006873,1.07959077453138,0.652658926373332,-0.312279073901947
"DauphinIslandAL",0.00595012286035822,1.2521932212429,3.48239349363987,0.942862914140376,-0.440739674290521
"GrandIsleLA",0.00546558426251732,3.07875559999301,1.70810480033867,-0.849490893532814,1.45356855031214
"SabinePassNTX",0.00528103803958593,7.13462248054996,-2.97641122297643,-1.95061617704979,2.52043600721735
"GalvestonPPier",0.00616067428535913,3.48362068201302,1.50772812974841,0.738356183457845,-0.426536674500642
"RockportTX",0.00418395248145613,2.78147391809871,1.96472812680405,2.17222839778845,-2.42004860057651
"CorpusCristiTX",0.00488224261952664,3.76550688791467,1.17979008855349,0.832954792571644,-0.772177406546814
"PortIsabelTX",0.00440429561558807,3.75043170477472,0.830555057565833,0.305754292304816,-0.172083872091616
"ClearwaterBchFL",0.00750661241648186,3.65167187659366,1.32674900331766,1.43015273055485,-1.58276233917038
"PortCanaveralFL",0.00530086739853568,0.000709805262801022,4.10080718150102,2.66134468033949,-2.32786553450823
"GalvestonPier21",0.00586571687496705,4.1853497629787,0.66337270678313,0.704005989909068,-0.548622587325898
