"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00500969285615287,0.000731338785648337,4.81431998412617,-0.555658361139175,-0.0662741519235521,0.220087861565477
"KeyWestFL",0.00344858490423044,0.00233581402303775,3.67285113570036,0.0777605955809093,-0.0233291795563799,0.362243657328623
"PortlandME",0.00333288943786706,0.00597913086179091,4.88623261807619,-0.40985053275094,-0.171043440473891,0.221533056716826
"NewportRI",0.0063312160809204,0.00156053236660888,5.15830779530214,-0.680860349051692,-0.600692330997695,0.933933036765949
"DuckPierNC",0.000133233787090531,0.00670274941530601,6.92812413678888,-2.21545951958978,-2.53966802122825,2.72066559693627
"CharlestonSC",0.0039501276691728,0.00389425678142758,4.07956208670646,0.210596968176614,0.2156457082627,0.0332640136153099
"AtlanticCityNJ",0.00624018619908643,0.00157406099021547,4.69333941686464,0.0539095603412252,-0.0384032638552035,0.138288478045497
"MontaukNY",0.0108616278866712,-0.00424119910922569,5.1515491651482,-0.0903522000511848,0.274194516736996,-0.342216565501798
"EastportME",0.00160603931005013,0.00762572329307679,3.61729813162606,1.22628197749151,0.828227315714138,-1.09763786807008
"BostonMA",0.00529649492672837,0.0028213982670237,4.88860030573754,-0.551236424490352,-0.277392519739906,0.719232473333969
"WoodsHoleMA",0.0141333187021786,-0.00798438887134309,5.69409093124491,-0.894101125370898,-0.240863568104087,0.315626546226498
"NantucketMA",0.00428797915272681,0.0035730224521308,2.84054433005799,2.04976120857751,0.0387797678408902,0.349362907196334
"NewLondonCT",0.00832393559268444,-0.000353706627382815,5.52243094469137,-0.811707924607589,0.149708415051473,-0.0218245029139728
"NewYorkNY",0.00309344137478211,0.00683199267896563,5.45608384362192,-0.860110851068035,-0.128138912769248,0.40271417193262
"CapeMayNJ",0.00660802760839779,0.000384531838552175,4.73771120294797,0.216393515616972,0.440336362356336,-0.607645723551333
"LewesDE",0.00663267471048759,0.000653859712762688,4.60855245569956,0.468597939908249,0.0818969341045573,-0.0453824475497183
"ChesapeakeBBT",0.00010014987713391,0.00750510220073876,4.03398597912855,1.30258890013472,-0.468853300043746,0.434560236326888
"WilmingtonNC",7.42098626626903e-07,0.00755186692106548,2.60073635799605,1.96134928912275,0.808046675661025,-0.682193801445986
"FortPulaskiGA",0.00592760701099716,-0.000216995884012843,4.11427613520944,0.311946322345313,0.056972618039279,0.102768536081468
"MayportFL",0.00819428872526502,-0.00547186030846143,4.40093446544989,-0.416277231879419,0.0889595411898775,-0.127249469292528
"VirginiaKeyFL",0.0120676246000784,-0.00817804728742268,0.0119386801289888,4.30484420613825,0.247206303446264,0.117457138766468
"NaplesFL",0.00589676840580113,0.00185931273517351,3.22546129190721,1.46022339419261,0.0968278041067654,0.118565807394314
"StPetersburgFL",0.00250766718087115,0.00689882894496695,3.36580838244077,1.25387551715795,1.0137738872019,-0.856121160869438
"ApalachicolaFL",0.00290712579063065,0.00429892432110297,1.66327568356216,3.49237591761679,1.11249419461914,-0.722001025927961
"PanamaCityBeach",0.000200751091092385,0.00690053614506883,6.67482813635017,-2.01609525290568,1.4205574107225,-0.948280348368531
"PensacolaFL",0.00463387221376518,0.0029729664854535,3.57959705651066,1.06885491139383,0.63252795819985,-0.281191726771655
"DauphinIslandAL",1.2289426305176e-05,0.0066507794592849,1.10329907286974,3.65019831467841,1.1486135526044,-0.657008970200453
"GrandIsleLA",0.000849283244565148,0.00523510622398288,3.05306571193746,1.72952417090907,-0.971282149373461,1.60119876416299
"SabinePassNTX",0.00304938109914166,0.00249429968807924,7.13010172622351,-2.97859299467861,-1.90766794332805,2.471620617405
"GalvestonPPier",0.00744160364968121,-0.00171963820923324,3.47833245061732,1.51964575627317,0.730243946640933,-0.421464664537633
"RockportTX",0.00136167790420835,0.00373014903456075,2.81040005543828,1.91951135676101,2.26744593501871,-2.52238429880569
"CorpusCristiTX",0.00673370637673137,-0.00204883445874898,3.83478652143569,1.11018792388006,0.756494554900581,-0.692502777236561
"PortIsabelTX",0.00575621667253983,-0.00177638371209869,3.75355359224013,0.828797057933324,0.344129065043405,-0.214224949563958
"ClearwaterBchFL",7.73541717926054e-05,0.00780487584788277,3.81697642853656,1.19744275246936,1.39321681754431,-1.57403759654968
"PortCanaveralFL",2.68080193064625e-05,0.0055480077018253,0.0591940530520964,4.02878811102324,2.41665338359717,-2.0425606675668
"GalvestonPier21",0.0046994965477693,0.0021403918315336,4.18733064067926,0.645333217883043,0.687429471884156,-0.518176066462251
