"","mu","sigma","xi"
"FernandinaBeach",1561.61075174195,84.8792192675463,0.148991597902994
"KeyWestFL",558.338949773298,42.5991477960002,0.236374034534913
"PortlandME",2212.6419596909,101.2745174719,-0.0906819603752745
"NewportRI",1217.29535013908,114.085402417867,0.0703591505064273
"DuckPierNC",1217.00222406339,107.360192521647,0.00946738921119848
"CharlestonSC",1394.95654957488,94.3025186549168,0.197801125279316
"AtlanticCityNJ",1390.46228054226,115.72931979401,-0.00752161103732342
"MontaukNY",992.829166138308,136.39265054229,0.198930376836001
"EastportME",3913.67863084342,83.3614638066303,0.0244332717385391
"BostonMA",2280.12062934059,125.216755225759,0.0588408058377322
"WoodsHoleMA",946.69605562329,143.82532098801,0.0159714505880169
"NantucketMA",1074.07778289144,129.312821778002,0.074533125953264
"NewLondonCT",1043.58278352711,153.078831728747,0.181770919103192
"NewYorkNY",1430.61353597178,138.775161142471,0.243465904987756
"CapeMayNJ",1501.13722975677,114.023109106977,-0.0783338187524963
"LewesDE",1415.96893906729,115.745172045166,0.172756325814663
"ChesapeakeBBT",1130.3103597202,135.57819352605,0.126647151813226
"WilmingtonNC",1032.97291444061,116.845926831227,0.0474408365657425
"FortPulaskiGA",1696.37965889501,82.4916193761836,0.153724180796016
"MayportFL",1190.85235735144,58.7876349603372,0.0946678369820542
"VirginiaKeyFL",698.59962002397,87.7349515466485,0.0868124598502629
"NaplesFL",764.378915455035,100.806942522192,0.267715147216736
"StPetersburgFL",785.929310183362,130.751833046398,0.128252709283789
"ApalachicolaFL",668.724115311346,98.1062912932784,0.6925777134906
"PanamaCityBeach",720.971571981922,166.861590012942,0.385456504296447
"PensacolaFL",591.921359264668,108.743717663953,0.366817083644214
"DauphinIslandAL",619.840940474935,107.011495069231,0.364398787101577
"GrandIsleLA",561.52925188563,115.773411407304,0.335542827704216
"SabinePassNTX",671.02357060187,136.320904995422,0.259407958014933
"GalvestonPPier",886.332765841405,156.146548743451,0.329560503333956
"RockportTX",445.338914936499,82.0793561114451,0.293570900362019
"CorpusCristiTX",701.314119596936,141.44135382894,0.127417274106789
"PortIsabelTX",539.798907917733,86.2008638626328,0.276845059368882
"ClearwaterBchFL",900.064693473109,100.116439111965,0.0407251315290148
"PortCanaveralFL",1130.33486890494,71.6495409739239,0.209038355312225
"GalvestonPier21",680.44307469757,137.941359836133,0.365317552346011
