"","mu0","mu1","sigma","xi"
"FernandinaBeach",1586.0380454758,-38.5526265005557,83.7548378969687,0.162856490808188
"KeyWestFL",564.386324303457,-10.2067525866732,42.597203574142,0.236938479709385
"PortlandME",2242.40994090256,-51.4850422494962,99.5292176081447,-0.0750397422141445
"NewportRI",1229.86360612448,-20.5534673710015,114.896763297973,0.0617533033354821
"DuckPierNC",1243.54324074537,-41.0251635209149,107.250464611414,0.00729537315069683
"CharlestonSC",1421.10904592123,-45.9991812682181,92.7505156526406,0.21057073281101
"AtlanticCityNJ",1393.54349592944,-5.18211377732826,115.833460842034,-0.00805519853356405
"MontaukNY",1013.16078804392,-33.993010673859,137.180096073617,0.193814764006119
"EastportME",3938.86812061274,-44.8265906430592,81.7944508153436,0.0463741054171414
"BostonMA",2318.38990265854,-67.7296439788749,122.524707862106,0.079348195906659
"WoodsHoleMA",980.498024123473,-61.0464881681522,140.44945871905,0.0392127840306503
"NantucketMA",1107.57175882779,-59.352373007286,125.596557992368,0.104937678655766
"NewLondonCT",1053.29384775258,-17.3618962458389,152.99726137361,0.185646531629645
"NewYorkNY",1440.87442101651,-17.0649525451492,139.533385666405,0.2394131360578
"CapeMayNJ",1517.11779506267,-26.4842076908363,114.157598647663,-0.0780318637539587
"LewesDE",1418.37133359077,-4.05726856510992,115.88253386983,0.172779462053225
"ChesapeakeBBT",1136.84633702404,-10.7227275198904,136.353484662765,0.122897006186297
"WilmingtonNC",1044.53104317901,-20.419545849681,116.882286364546,0.0492696880424259
"FortPulaskiGA",1725.89611894563,-53.075798241565,79.3723018066685,0.184204337423498
"MayportFL",1225.86671289434,-60.8062341901304,57.4735089942116,0.0914811556882782
"VirginiaKeyFL",725.593733208253,-42.9903114536064,86.6994739194098,0.0938745524641001
"NaplesFL",781.924222869558,-31.7968658662442,99.4999079414068,0.284671029080204
"StPetersburgFL",794.661598596614,-15.4027139095995,130.779455636884,0.130749937622728
"ApalachicolaFL",669.416550057248,-1.93658538441394,97.8190761554007,0.704036335893306
"PanamaCityBeach",746.149810239394,-38.8774977979713,166.644455067172,0.395588948717736
"PensacolaFL",586.191827700446,9.92720947229897,108.531830229205,0.36837403042959
"DauphinIslandAL",649.330202044401,-44.0688336062238,106.33515117956,0.372792992886961
"GrandIsleLA",612.160238441214,-81.1959284926206,105.327316886433,0.400878634659824
"SabinePassNTX",714.106218857322,-66.4478586476918,132.708862397283,0.272794336619683
"GalvestonPPier",899.24830724036,-25.392515908361,156.027220703881,0.335065444840959
"RockportTX",492.372794299927,-76.0717510649749,80.9149790485956,0.27731695380451
"CorpusCristiTX",760.24408500058,-85.3225395346828,136.761335656542,0.12991000820186
"PortIsabelTX",559.7591566198,-32.8493788286361,86.6453533814517,0.268379776825521
"ClearwaterBchFL",883.169234167064,26.7723021746763,96.6806135955522,0.0572082100749305
"PortCanaveralFL",1117.18130260056,22.6158653804396,69.9579968764002,0.214566208663549
"GalvestonPier21",692.311706893623,-20.4268090504384,137.612839200515,0.372004919595589
