"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1562.86386719835,4.27964462075023,0.254304570871158,0.146360173786363
"KeyWestFL",558.638170119766,3.81015860400989,-0.0781929435898627,0.238041580369723
"PortlandME",2212.52413991328,4.50102141205808,0.179857343173614,-0.0701006051889881
"NewportRI",1216.29246437724,4.90209463944436,-0.313902718516527,0.0815898245544116
"DuckPierNC",1217.23616558979,4.7193079775765,-0.0559376247948127,0.00635648081957978
"CharlestonSC",1396.99871011601,4.30741198887825,0.407243482348032,0.188674273357026
"AtlanticCityNJ",1391.02897705211,4.88515591428629,-0.23320362753073,-0.00653192238771934
"MontaukNY",993.325834718451,5.052315041171,-0.231887555683526,0.187915042462439
"EastportME",3914.0590543833,4.27003817885453,0.248298354873548,0.0381383081269044
"BostonMA",2281.26804597916,4.65703834631075,0.282803578222143,0.071938900979284
"WoodsHoleMA",949.080854226556,4.71219358861306,0.405120839666981,0.0261384548870073
"NantucketMA",1077.61601052108,4.55246520020592,0.483691040003777,0.0637723739970448
"NewLondonCT",1043.0419815712,4.95858927867711,0.123205193969376,0.187791367615033
"NewYorkNY",1430.09664797187,5.07412398393007,-0.266642323104354,0.253786400236321
"CapeMayNJ",1501.53233637129,4.71052820382224,0.0551093659254754,-0.0814330154702262
"LewesDE",1415.96621859967,4.81737461010673,-0.116625375126748,0.182238166748956
"ChesapeakeBBT",1132.93777025853,5.05458332308294,-0.243622384727789,0.114935116170126
"WilmingtonNC",1033.56925474065,4.63181128127743,0.233732196476718,0.0370215743793175
"FortPulaskiGA",1697.75502212422,4.14509136985002,0.41795349079117,0.167426638744231
"MayportFL",1190.78415088919,4.14280519361834,-0.101697776862342,0.0884442968890421
"VirginiaKeyFL",701.828767365954,4.33644503552628,0.249576397122647,0.0710709595624021
"NaplesFL",766.104915421517,4.45614128050765,0.284885266356629,0.255841169346603
"StPetersburgFL",786.218070993805,4.87187602066259,0.00956002903509188,0.128870285428112
"ApalachicolaFL",670.156756279253,4.64175610447861,-0.0561251085038164,0.70229816277778
"PanamaCityBeach",724.544249202596,5.1784148029548,-0.048099266254797,0.38444280195579
"PensacolaFL",593.079076477534,4.78089635844599,-0.146471722910739,0.362945937620729
"DauphinIslandAL",620.992303296076,4.77885054659093,-0.126111430176074,0.354215426987263
"GrandIsleLA",563.742429209662,4.65624490407522,0.147475283585741,0.35763492180625
"SabinePassNTX",673.95322261662,4.80761143634801,0.17592713575925,0.268243773715092
"GalvestonPPier",886.152517423431,4.93860437174557,0.214024928763189,0.331374510105086
"RockportTX",446.323064994267,4.40301202056088,0.0305487934107673,0.294386971808114
"CorpusCristiTX",702.16448990338,4.96336393644996,-0.00196586491370105,0.126675540370659
"PortIsabelTX",539.776472789912,4.50913271032989,-0.0815141937875615,0.280604810090874
"ClearwaterBchFL",902.083409169625,4.65935651588923,-0.0618357098761858,0.0388693640753734
"PortCanaveralFL",1131.13117515555,4.25246571511075,0.0868078516367605,0.202668208097814
"GalvestonPier21",680.365117718565,4.88441245515898,0.0710804051293123,0.372399722574181
