"","mu","sigma","xi0","xi1"
"FernandinaBeach",1560.38928596208,84.7174140014468,0.0735261470085818,0.125173708971927
"KeyWestFL",558.132765078337,42.6605801708168,0.181442681518939,0.115600755070664
"PortlandME",2215.24365041076,100.967932765036,0.0279315194259718,-0.225823063301925
"NewportRI",1216.78273397892,113.381186358802,0.0353378142478478,0.0988532106319343
"DuckPierNC",1217.11842293592,106.718112252168,0.113543249325357,-0.177544325930804
"CharlestonSC",1392.68831973643,93.8982214857743,0.0051041641624421,0.30081114393827
"AtlanticCityNJ",1390.05773024257,115.784206731514,0.0441104944940663,-0.0889543864247228
"MontaukNY",990.487096906982,134.263403992482,0.32411073118751,-0.219783124274021
"EastportME",3914.84229744592,82.1649577812629,0.228826299799369,-0.324000146139634
"BostonMA",2279.65599716964,124.883902642589,0.0764730502978079,-0.0151647206563789
"WoodsHoleMA",946.127684059037,143.275708819477,0.0419604266381374,-0.0241759151682733
"NantucketMA",1071.18173199071,128.425322929161,-0.00830658747994555,0.137368950580733
"NewLondonCT",1043.64891702721,152.225593269534,0.351412939469094,-0.281794184853767
"NewYorkNY",1430.54446623549,138.535166078776,0.144061264020032,0.232355100924394
"CapeMayNJ",1501.05222885332,114.021025697808,-0.0521635300583581,-0.0396708121577951
"LewesDE",1414.19477050045,114.24593425115,0.150555605441757,0.103412424536589
"ChesapeakeBBT",1126.74066575688,133.165365947626,0.243536742511315,-0.164228182544698
"WilmingtonNC",1032.10692926369,115.92356338051,-0.0529113149610639,0.176246545123962
"FortPulaskiGA",1695.78538209682,82.8640930522739,0.109186062720663,0.0678479508695531
"MayportFL",1190.5965936721,57.7971654606221,0.213571249354123,-0.212319790614821
"VirginiaKeyFL",695.639709159142,84.7119097062726,-0.134941098136162,0.328013424313425
"NaplesFL",760.460076366353,98.8374500372105,0.162778179521877,0.231570122471578
"StPetersburgFL",785.518196742018,129.749049872801,0.297064178707268,-0.285686806030668
"ApalachicolaFL",663.172294543886,96.2417031668587,0.718446923154236,0.237785089023539
"PanamaCityBeach",709.938471240265,157.278705956775,0.544488270941283,-0.0713542323578248
"PensacolaFL",590.605145459603,108.535947028719,0.460191502182401,-0.13973706967975
"DauphinIslandAL",614.921749801409,103.365241870111,0.482077115726648,-0.0400429611332728
"GrandIsleLA",560.217998253541,112.227589669176,0.501105919699997,-0.195823715831557
"SabinePassNTX",674.785491687219,133.039596023086,0.453968753190765,-0.36159384365809
"GalvestonPPier",884.311675981237,156.488701990206,0.340809344701871,0.0358526701131975
"RockportTX",442.874671870326,81.0421511028325,0.0466080129741052,0.508123925337385
"CorpusCristiTX",696.626119691757,139.039618587657,0.126131132216099,0.0976646648680469
"PortIsabelTX",538.720993467435,86.113172915773,0.141263181773126,0.296659774293112
"ClearwaterBchFL",899.302846207356,100.751005033166,0.128343075249311,-0.127849010802949
"PortCanaveralFL",1127.79361839465,69.704631371875,0.214089807993702,0.0963371204971047
"GalvestonPier21",678.608890260796,136.355664289207,0.507721431600563,-0.190848127771606
