"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1580.31896900488,-29.0536912690713,4.36020227676526,0.141119801497663,0.147797197597335
"KeyWestFL",565.72531020122,-11.8950521677721,3.77384200286462,-0.0103407381536276,0.239745501773978
"PortlandME",2259.6170830077,-81.691986305893,4.60101880294451,-0.0138559516297104,-0.0790020224858945
"NewportRI",1225.95367179142,-15.703472986657,4.86145598594468,-0.233440930877091,0.0754619635997148
"DuckPierNC",1223.84907877806,-10.9835680305674,4.66535780760299,0.0291311887469743,0.0106793751155898
"CharlestonSC",1416.68094341918,-37.2421289444913,4.42974942488023,0.196664344706675,0.199048847734545
"AtlanticCityNJ",1388.4863748458,3.9793635651442,4.83877453342136,-0.152055486246473,-0.00669335422847759
"MontaukNY",1017.39050989587,-42.4036553831279,5.05337375973969,-0.24540414281382,0.188461468706463
"EastportME",3955.70650623398,-76.041482811384,4.23664481447832,0.253754237712866,0.0666833540955032
"BostonMA",2340.9840285174,-107.019258929216,4.85965312032851,-0.0980369174965086,0.0680231068891106
"WoodsHoleMA",979.302525586104,-59.2741942952212,4.68349682836992,0.432946309392976,0.0433117274789114
"NantucketMA",1126.49610483966,-90.7925492854562,4.72704948251822,0.167665453942289,0.102600064883796
"NewLondonCT",1027.72831782219,27.5898509591446,4.87622122297029,0.266591808362217,0.186924139754608
"NewYorkNY",1449.25272228043,-33.8153997670011,5.11987355320227,-0.3598735446296,0.247559621353573
"CapeMayNJ",1519.60839073838,-31.1657806140418,4.67408695224051,0.11752790216661,-0.0811791265522978
"LewesDE",1420.11090532282,-7.92256141192294,4.85692114684157,-0.197845046188604,0.183639165213268
"ChesapeakeBBT",1111.12129055525,36.1099943299624,5.05679605521956,-0.277568781199101,0.126268189917495
"WilmingtonNC",1053.30661478176,-35.4334890749656,4.81299155114917,-0.0889610014893381,0.0452873710176941
"FortPulaskiGA",1721.03502901132,-43.8509507235061,4.32039455304592,0.135780302830017,0.165570674572694
"MayportFL",1234.58282901116,-75.7615255838404,4.25279084683326,-0.3609079024452,0.0866253339405765
"VirginiaKeyFL",717.421791381605,-31.0769472424682,4.21300735028534,0.445601868615819,0.0714578741939083
"NaplesFL",774.159591786382,-14.1610554762256,4.43895838067101,0.336748879759054,0.249431722955811
"StPetersburgFL",781.449874598336,8.55641788978405,4.85663444567683,0.0364986931535008,0.129380025843134
"ApalachicolaFL",680.984340338207,-17.3762466930939,4.79406039408074,-0.314119275286616,0.685065236247206
"PanamaCityBeach",764.434846827048,-65.4289621048684,5.24241564197478,-0.181446469194778,0.37547119772017
"PensacolaFL",594.245117604607,-2.02218639338176,4.80210311864095,-0.187533934900164,0.359364315212395
"DauphinIslandAL",673.592745107342,-82.8460099927647,4.85065087848878,-0.297908689333143,0.348085472452932
"GrandIsleLA",631.280007971903,-113.56654447002,4.73761850951612,-0.0870390779287454,0.382508451936528
"SabinePassNTX",733.901303885091,-100.192736541365,4.75346841401149,0.185935281395537,0.282487790241449
"GalvestonPPier",873.96069224761,24.8404777509485,4.90157655106745,0.285382892192534,0.328642061031134
"RockportTX",501.006413119499,-91.6577262426662,4.39903760005159,-0.000968091846427247,0.280128119204496
"CorpusCristiTX",779.102133893117,-121.963775348218,4.93054943330423,-0.00859339036835123,0.127242366266941
"PortIsabelTX",567.154526013351,-47.2589231932037,4.55697526843275,-0.179177742403862,0.275783753749632
"ClearwaterBchFL",857.204648924404,76.598069795095,4.65316768334979,-0.198901037046025,0.0824457774569363
"PortCanaveralFL",1113.1078313266,37.2887122398759,4.20838270380931,0.178640963080508,0.187548557003589
"GalvestonPier21",683.179275349681,-5.12415046521691,4.870330173446,0.0909346214462564,0.372788921230151
