"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1586.80223015281,-42.8391702032047,82.3539017039073,-0.0123120682290651,0.281297393960958
"KeyWestFL",561.482749894491,-5.65196933432731,42.6408273439674,0.172930963055399,0.131866155629667
"PortlandME",2229.52541852103,-26.0075619327567,100.1998771068,0.0161557801188144,-0.180232893404441
"NewportRI",1217.27537689778,-0.678234964870655,113.28684376492,0.0119715660618369,0.149413783837626
"DuckPierNC",1236.45011240046,-30.3760716847354,106.708631147678,0.11833306921214,-0.184335288438195
"CharlestonSC",1426.90162434725,-59.5533877049948,89.9677993795475,-0.142922878109171,0.578260291784424
"AtlanticCityNJ",1378.80577495108,18.8247167654627,115.309799272629,0.0307253128262699,-0.0588981988550744
"MontaukNY",999.100269193215,-14.9004796170428,134.518711961923,0.345929080513321,-0.267296108990945
"EastportME",3930.60146934068,-27.7503808557862,81.6923551881577,0.238143391005096,-0.311290341924109
"BostonMA",2320.16133901375,-71.9561980441832,122.188396148048,0.072779280251323,0.0259938457320814
"WoodsHoleMA",979.928058717734,-61.9674149550931,139.940896932165,0.0348201645230919,0.0235091935516701
"NantucketMA",1110.9062531242,-72.234447359662,122.68698546604,-0.0545192481213805,0.264571424000334
"NewLondonCT",1038.08150166418,9.96611618522822,152.088140169412,0.382745334318044,-0.333721810830232
"NewYorkNY",1424.17465477194,10.786510946955,138.408426613904,0.113156654609855,0.303958818216685
"CapeMayNJ",1504.1514912633,-5.55843821903734,113.758803552097,-0.0702562295533724,-0.00387686021670748
"LewesDE",1401.02008323339,20.6135843566822,113.261157241536,0.152379670494829,0.128077085222444
"ChesapeakeBBT",1101.21705569791,40.2483233308624,129.467073524597,0.289610491462869,-0.193490686245561
"WilmingtonNC",1036.94680984875,-8.6483704119474,115.8024328238,-0.0715934415254499,0.210754179703851
"FortPulaskiGA",1737.16664628149,-74.5280249332347,78.1740438516471,-0.0384706039420408,0.352949896844478
"MayportFL",1224.12802084054,-58.2925208542056,57.3700367210953,0.127270045944214,-0.0537581535660687
"VirginiaKeyFL",711.947279687331,-25.3823176604769,83.1067743787425,-0.199259983585512,0.423609365008868
"NaplesFL",778.486905653843,-34.6000753418686,95.2836911597846,0.0871575988780915,0.411289383220296
"StPetersburgFL",776.843197052299,14.9747075173412,129.270693451121,0.330247692175327,-0.338601145196381
"ApalachicolaFL",662.389119595828,0.0452597026270002,96.4380487913529,0.735754690535991,0.258619821445098
"PanamaCityBeach",711.695893680519,-6.43182985159525,155.577182155886,0.579280920547869,-0.0742594186635297
"PensacolaFL",563.783209494654,46.4848881920888,106.165773456184,0.600200278719488,-0.387108274011931
"DauphinIslandAL",636.035042855986,-33.6783931249127,101.99492461808,0.489666619828351,0.0154481611164643
"GrandIsleLA",614.458427006456,-91.4464908344624,102.351638217815,0.527590406570755,-0.0474878713101409
"SabinePassNTX",716.287659664555,-62.9292746332961,132.035503140706,0.497175960005541,-0.428402217533887
"GalvestonPPier",888.431370218551,-8.96879973845347,156.304284367091,0.328500136262728,0.0700832259517605
"RockportTX",482.091607795911,-61.1316219475317,79.8763938104634,-0.00177727125236479,0.55220534217506
"CorpusCristiTX",766.351838817702,-100.228947700192,133.503559820427,0.0446437881146885,0.253216076331352
"PortIsabelTX",554.370288744161,-24.7031029182738,86.1202292580382,0.0643289445187816,0.428035797204951
"ClearwaterBchFL",847.787727680676,86.8750646465142,93.8034220219714,0.217081779763986,-0.273333917518601
"PortCanaveralFL",1095.22518655191,53.1280174459524,66.1138049076004,0.12740374984807,0.266822799043134
"GalvestonPier21",678.200016065537,-0.0056527594906035,136.121301418088,0.537998982485614,-0.231135064714901
