"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1562.00176247281,4.19679740660652,0.375322734675908,0.00483925345308003,0.232996588621861
"KeyWestFL",558.371555246618,3.86536923518935,-0.165134584841009,0.143875654458994,0.182145970936153
"PortlandME",2215.57628760416,4.2412445792661,0.587655841804706,0.226027300335153,-0.562421055462686
"NewportRI",1215.08067028809,4.95255024232191,-0.421371329441761,0.0114228055288298,0.16528944625187
"DuckPierNC",1217.47363951339,4.67692365583687,0.00020686770051385,0.148719963424717,-0.236456075901638
"CharlestonSC",1396.93464605103,4.22750090339503,0.536835510565112,-0.0987550699674307,0.479048184521032
"AtlanticCityNJ",1390.79238200349,4.92095441547745,-0.291623955148736,0.0342651759056751,-0.066006302259575
"MontaukNY",991.018154009446,5.07705572503283,-0.316037448160622,0.399292582005033,-0.374834716799148
"EastportME",3914.43872286973,4.12691769689575,0.428787817846679,0.403266600936486,-0.577923436957734
"BostonMA",2280.95340877486,4.50232122139931,0.519221121141787,0.20428174746041,-0.196307819429638
"WoodsHoleMA",948.305762711902,4.58154304934356,0.603195940272126,0.0930047575056552,-0.0709879916012733
"NantucketMA",1077.11195542879,4.43842058346813,0.660420644836552,0.0555028963973619,0.0391990050817847
"NewLondonCT",1042.05823379338,4.91935768941397,0.179577729732766,0.433567373979974,-0.413354460941869
"NewYorkNY",1428.49051265894,5.12753892962403,-0.374439676503738,0.106155887096148,0.32139086447856
"CapeMayNJ",1501.64486281217,4.66787673933397,0.129024249052348,-0.0365482319367515,-0.081738986185253
"LewesDE",1412.64303309072,4.84380628526286,-0.209059047104411,0.140511297135817,0.171157039292348
"ChesapeakeBBT",1128.74120172625,5.04367160231491,-0.271180921924371,0.248192152768879,-0.15489197249425
"WilmingtonNC",1032.79999507748,4.63253299192715,0.222189698254245,-0.041719142723325,0.152644050015222
"FortPulaskiGA",1698.1610908399,4.07231013787073,0.550555940314794,0.062049291721201,0.182839952623978
"MayportFL",1189.94186981008,4.17406733206876,-0.198591412559889,0.273611569198699,-0.332108650294363
"VirginiaKeyFL",699.523813327288,4.26426624508558,0.311370871340318,-0.211012815609661,0.42073523741131
"NaplesFL",763.035059058658,4.35807349785365,0.407620235993527,0.0804002143964896,0.374200730541715
"StPetersburgFL",784.794337212609,4.83688378467253,0.0490253599754235,0.380251515978175,-0.413962577841385
"ApalachicolaFL",663.517746251816,4.58932530225487,0.00242242160491776,0.77235684227058,0.227818210278559
"PanamaCityBeach",709.397801156543,4.9944755604461,0.0977003178925147,0.644839452168155,-0.181449665846167
"PensacolaFL",592.393460285133,4.84156796510476,-0.2599756628105,0.565523532291631,-0.323885251367292
"DauphinIslandAL",614.920406236533,4.68518072867588,-0.0629305596627421,0.550021300298768,-0.118967181100707
"GrandIsleLA",562.142192154864,4.51067303591654,0.289311233013482,0.625475724555832,-0.298428303290707
"SabinePassNTX",677.384823447766,4.77664271350882,0.177096998446146,0.553427699175997,-0.539627324359168
"GalvestonPPier",882.734423680274,4.85927016984003,0.354266096681971,0.289321547905413,0.147571097712421
"RockportTX",442.064183347807,4.41677800675647,-0.03110562923526,-0.109401709517084,0.808712831894612
"CorpusCristiTX",697.610768332339,4.90527276751877,0.0606241592036781,0.10475479324321,0.159038377245092
"PortIsabelTX",538.569262662617,4.50305632167932,-0.0649839804303452,0.0847074285760131,0.410656631389163
"ClearwaterBchFL",900.349206997718,4.63389717292035,-0.000635169552936547,0.159175791462702,-0.185354812102233
"PortCanaveralFL",1128.62832808762,4.21874904754761,0.108722098848369,0.228770686371233,0.0800451296128479
"GalvestonPier21",678.037502768909,4.90457992025107,0.0151138111639128,0.58014156577968,-0.29052611207901
