"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1585.20966408911,-38.8409030625055,4.23827227279591,0.275789484111634,-0.144266868190686,0.460953646386222
"KeyWestFL",562.416059849975,-7.48303852201444,3.87117052451118,-0.171523390323005,0.15551802170995,0.175954967350532
"PortlandME",2220.1020498979,-14.1398863793594,4.20875015505838,0.625659931170878,0.224380712857939,-0.540128234187758
"NewportRI",1233.24391516817,-29.0364700859327,5.02521153810489,-0.540148865504423,-0.0428866404347733,0.254473782684078
"DuckPierNC",1244.2937165848,-40.2392654691526,4.76319301714757,-0.142343104212777,0.108207123923744,-0.174235362428372
"CharlestonSC",1421.23023602932,-47.4808400364273,4.33385121973762,0.312256431588068,-0.2515439371265,0.768898513954667
"AtlanticCityNJ",1393.69834039376,-3.95533597119675,4.9667718456511,-0.381929167401322,0.00838087494733771,-0.021262988443889
"MontaukNY",1013.48328041471,-33.5544245116938,5.13851416304351,-0.4006155219067,0.397955296902251,-0.400930555716223
"EastportME",3936.92974182801,-41.9772992237269,4.07503027809274,0.512990511176316,0.387511549504851,-0.530125120435073
"BostonMA",2310.78781867685,-53.9345252223684,4.54350702324984,0.426075359097506,0.158595879867824,-0.112096455574854
"WoodsHoleMA",973.664871715281,-52.1065689983502,4.59310702013501,0.564730931692835,0.0844683555623311,-0.0389484896260469
"NantucketMA",1100.94095663096,-49.7769112949818,4.46216844094675,0.585709566357153,-0.0187458073692425,0.181507891594567
"NewLondonCT",1049.32448765647,-13.3627504357598,4.91710477186136,0.177482103603258,0.460039305870439,-0.453928030561733
"NewYorkNY",1449.29374017235,-32.8740565755793,5.19575626332071,-0.488133944236314,0.0234548155102116,0.458835341306732
"CapeMayNJ",1517.52829999298,-28.5238297140021,4.69678635851511,0.0636143655706972,-0.0869855581855614,0.0111954448510521
"LewesDE",1420.18771392478,-14.236817418481,4.91982666147654,-0.340070829312198,0.105704441475246,0.251030894274504
"ChesapeakeBBT",1142.75875949511,-17.9974846224674,5.14886775105514,-0.423869182257737,0.175639022055358,-0.0484218172166799
"WilmingtonNC",1043.29733405309,-20.7772936068522,4.65529851959036,0.170993052297317,-0.0691232725717383,0.221693836116003
"FortPulaskiGA",1726.90841674833,-53.7413830610594,4.18051438943795,0.324100903608038,-0.0471082410175963,0.369437857640139
"MayportFL",1233.72548260955,-74.7423506012505,4.35175462201567,-0.558706944990463,0.202588260950473,-0.193748310035242
"VirginiaKeyFL",716.20653119444,-30.4414667340289,4.32390407905724,0.188939150720249,-0.295116102851449,0.555329474065656
"NaplesFL",778.270152117581,-30.3417815669219,4.40465393580212,0.294390764399553,-0.022223629911658,0.58231472636109
"StPetersburgFL",791.724298090778,-11.6315805425477,4.8756116789309,-0.00103525513691937,0.388174761308377,-0.434432578394891
"ApalachicolaFL",674.406298173593,-20.5118260908396,4.69115757483719,-0.171049673253137,0.728743936439824,0.355207184314515
"PanamaCityBeach",733.7484742166,-39.5366512918606,5.04703959944518,0.0185503795470831,0.670624951150765,-0.156482759930242
"PensacolaFL",585.967530441684,11.8879533936834,4.8197704814837,-0.2200928730663,0.643698417496045,-0.441552915302772
"DauphinIslandAL",649.081003470544,-53.0438357788735,4.81586631330315,-0.270593100952414,0.493183336435136,0.0209832532038123
"GrandIsleLA",608.050472416221,-79.8698692445758,4.62898390609652,0.0378245203294818,0.592979294949905,-0.1346230865682
"SabinePassNTX",718.728990894479,-62.0372050902891,4.84119684567218,0.0863164618485437,0.611247726506169,-0.676345555930259
"GalvestonPPier",888.198515933459,-9.65333904342176,4.87882981866621,0.327205523585791,0.264518335120403,0.202002098924593
"RockportTX",475.960535534882,-54.6120173048227,4.51949528513099,-0.250406740625169,-0.206503058684392,0.957763068042817
"CorpusCristiTX",754.967547956355,-90.4291499862696,4.9901617283018,-0.162283429296361,-0.0155330066808256,0.409439456151604
"PortIsabelTX",566.474682516268,-45.4821275331369,4.65305007501073,-0.352040478405821,-0.0380491531394871,0.615382430417161
"ClearwaterBchFL",880.610568939661,34.2115860576248,4.60785001954726,-0.0142964684768301,0.198460679676148,-0.227506039680749
"PortCanaveralFL",1111.78822729108,28.5040944868472,4.21142750126754,0.0506875276868993,0.100242344236367,0.324647326439878
"GalvestonPier21",686.290931146587,-14.6168687851709,4.97231677941333,-0.106281944775949,0.66085064764023,-0.415737049041182
