"","mu","sigma","xi"
"FernandinaBeach",1561.61074911656,84.8792172166068,0.148991622427017
"KeyWestFL",558.338948138035,42.5991492677819,0.236373984724258
"PortlandME",2212.64195805332,101.274511178367,-0.0906819540769601
"NewportRI",1217.295346138,114.085399321806,0.0703591698542969
"DuckPierNC",1217.00222865665,107.360192061142,0.00946739506695235
"CharlestonSC",1394.95655738335,94.3025205315984,0.19780116601907
"AtlanticCityNJ",1390.46227609026,115.729312307688,-0.0075215601814037
"MontaukNY",992.82917431596,136.392648108498,0.198930374141789
"EastportME",3913.67863724425,83.3614658032445,0.0244332551297997
"BostonMA",2280.12062138024,125.216751134001,0.0588407935309211
"WoodsHoleMA",946.696055018352,143.825319776818,0.0159714460206719
"NantucketMA",1074.077784011,129.312824380191,0.0745331562945391
"NewLondonCT",1043.58277923359,153.078832318644,0.181770941316744
"NewYorkNY",1430.61354402751,138.775171868823,0.243465928380937
"CapeMayNJ",1501.13723387533,114.02310914285,-0.0783337932548293
"LewesDE",1415.96893831933,115.745171322096,0.172756324063411
"ChesapeakeBBT",1130.3103593213,135.578188416343,0.126647135486855
"WilmingtonNC",1032.97291222478,116.845922966395,0.0474408815361205
"FortPulaskiGA",1696.37965023448,82.4916213727385,0.153724201259327
"MayportFL",1190.85235544496,58.7876314032952,0.0946678483832049
"VirginiaKeyFL",698.599620405283,87.7349489666557,0.0868124788196745
"NaplesFL",764.378915018285,100.806946772693,0.267715202462457
"StPetersburgFL",785.929308063574,130.751820656241,0.128252711796261
"ApalachicolaFL",668.72412233945,98.1063024732209,0.692577808226123
"PanamaCityBeach",720.971576235561,166.861588634296,0.38545654482939
"PensacolaFL",591.92135527671,108.743716212446,0.366817180554411
"DauphinIslandAL",619.840946729915,107.011498222528,0.364398783192036
"GrandIsleLA",561.529254573831,115.773407948046,0.335542807037464
"SabinePassNTX",671.023604293157,136.320932493453,0.259407963608441
"GalvestonPPier",886.332782607125,156.146560647562,0.329560496692234
"RockportTX",445.338916908196,82.0793565964771,0.293570961340058
"CorpusCristiTX",701.314125670248,141.441358018126,0.12741727403883
"PortIsabelTX",539.798898698852,86.2008568670517,0.27684508677001
"ClearwaterBchFL",900.06468641406,100.116432244951,0.0407251552205016
"PortCanaveralFL",1130.3348691571,71.649537661269,0.209038402955408
"GalvestonPier21",680.443087406163,137.941372333981,0.365317590304418
