"","mu0","mu1","sigma","xi"
"FernandinaBeach",1568.56581417408,-16.7243828086908,83.5072867571317,0.166785471562117
"KeyWestFL",548.011781149165,20.9257191818099,41.7584912746131,0.248525677889505
"PortlandME",2170.38555694486,81.4448561536498,95.9263745690033,-0.0442019359323827
"NewportRI",1180.69146082928,59.9237242546834,110.588815967656,0.0987929460523841
"DuckPierNC",1157.14589754928,74.7399967671588,103.724903123628,0.0364358557783865
"CharlestonSC",1380.86340080543,29.7637332552826,94.3447607232587,0.189825998526948
"AtlanticCityNJ",1372.47173578454,38.0511128340788,115.333875406868,-0.0089647661307844
"MontaukNY",994.853968418511,-3.32356840487409,136.279532950079,0.201129970908137
"EastportME",3840.54244459673,133.087993255213,72.6949866211247,0.0726386512077437
"BostonMA",2248.66458027289,62.8321611022893,124.707685103692,0.0501639066125167
"WoodsHoleMA",937.834844138165,11.7972519235824,143.388638044008,0.0204748999276172
"NantucketMA",980.487019620939,132.875950755024,124.44567638362,0.0726070071811876
"NewLondonCT",1051.89939184298,-13.1798404340211,153.03834840664,0.181725751761488
"NewYorkNY",1384.31900273585,84.0275822799919,131.666501109741,0.2868363437609
"CapeMayNJ",1482.48274248082,24.5961422624332,113.715733451353,-0.0739561680816211
"LewesDE",1416.68956684882,-1.53064158025247,115.55526071561,0.176160886349955
"ChesapeakeBBT",1062.97768295572,91.3883675820156,133.616305425049,0.128457586544807
"WilmingtonNC",906.300695233117,228.949611404303,86.9645987144924,0.140102686643601
"FortPulaskiGA",1734.873115131,-73.425962648935,73.7613677946455,0.251102727866898
"MayportFL",1220.2257420447,-64.1307563799799,56.4250452568608,0.11227365042726
"VirginiaKeyFL",670.520713492316,31.3039688244473,87.2312514015158,0.091578398087598
"NaplesFL",750.940539057604,20.2344364606451,101.876276985141,0.255850431386656
"StPetersburgFL",738.242402968876,73.2958589990891,127.972434799568,0.142186807586796
"ApalachicolaFL",645.841121155703,34.9900752001814,101.809077440186,0.66686772228364
"PanamaCityBeach",651.550223031548,79.0779745647083,161.376819797946,0.402126968570875
"PensacolaFL",566.977317818897,50.3192931751832,107.647682796057,0.365847025769182
"DauphinIslandAL",631.420762237796,-16.7297222665434,104.476722011804,0.388773899043448
"GrandIsleLA",609.135976841264,-69.4034170587797,103.845633028676,0.424347626390342
"SabinePassNTX",597.327479262813,85.4216703122164,131.207237108923,0.28300788036319
"GalvestonPPier",887.296907797464,-2.06300237460081,155.99068294228,0.332907303619348
"RockportTX",441.049465514832,6.19483859851927,81.9476085508282,0.298096490221084
"CorpusCristiTX",757.393194487418,-67.7595762283799,135.945046212238,0.155337273405165
"PortIsabelTX",551.592521638263,-18.452106743067,85.6603303826499,0.283962397072666
"ClearwaterBchFL",881.320183464519,20.4117119710709,100.071313303007,0.0431164210229602
"PortCanaveralFL",993.100457798237,152.728914530888,58.1876609581759,0.285640157792496
"GalvestonPier21",689.301137175196,-22.1223236831519,136.294114045175,0.381366784050816
