"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1562.23576582045,4.30934236898278,0.250541203405301,0.159932434901966
"KeyWestFL",558.972362514819,3.83386532234808,-0.153673497410848,0.250605693338428
"PortlandME",2216.28466072782,4.76080747509125,-0.307387910486257,-0.0811138752343791
"NewportRI",1218.45576896114,4.89010298175425,-0.288560701333622,0.095162131492116
"DuckPierNC",1218.28943827758,4.89092197134822,-0.292821129429218,0.0251914130161177
"CharlestonSC",1394.93641731973,4.52564576382243,0.0512333302794044,0.196575513435623
"AtlanticCityNJ",1390.51917211412,4.74715221565663,0.0148913308568159,-0.00757983744305213
"MontaukNY",993.447245459422,5.11177208652194,-0.285158759339565,0.175021313744788
"EastportME",3916.62700275974,4.51649755640543,-0.164289791981773,0.0357996923850231
"BostonMA",2279.38522007484,4.76568536222814,0.130557707839659,0.0521654991275918
"WoodsHoleMA",945.060176906284,5.2632474746565,-0.462033040264927,0.0267327012309325
"NantucketMA",1073.67886606421,4.80605025705758,0.0911081414385767,0.0666568681021099
"NewLondonCT",1042.58301662616,5.21009905287802,-0.287902680221432,0.168258222416316
"NewYorkNY",1433.61236854231,5.10542926793773,-0.378244596013373,0.277298180461765
"CapeMayNJ",1501.49192896697,4.85563020138834,-0.156979237159004,-0.0791605121058805
"LewesDE",1413.10900820391,4.44653280397695,0.420155961056077,0.209754959959709
"ChesapeakeBBT",1131.14909918257,4.84676147257742,0.10434315028379,0.114909824672909
"WilmingtonNC",1044.26460676975,4.96358248162858,-0.386168683389097,0.0969667171415791
"FortPulaskiGA",1698.43690529743,3.90461980900261,0.706489596847565,0.193119557206395
"MayportFL",1191.15214655693,4.09651303890981,-0.022949403445439,0.0929328367283772
"VirginiaKeyFL",699.167768969826,4.55642840129969,-0.0794826624924534,0.0937393779477226
"NaplesFL",764.377863972287,4.44592825288755,0.236366110417511,0.266159305232936
"StPetersburgFL",788.287611198322,5.01692065815113,-0.218512788961753,0.127292247121125
"ApalachicolaFL",669.667061359956,4.47677346917262,0.171944170539421,0.697413288921236
"PanamaCityBeach",725.987518010326,5.21139411717534,-0.0687281499736157,0.384032908640981
"PensacolaFL",592.136021423193,4.68131218804791,0.0270092058839107,0.367358663921731
"DauphinIslandAL",621.872629925737,4.52370802937206,0.200092174457168,0.370508598013422
"GrandIsleLA",563.53582776774,4.46641658312967,0.332961809176905,0.36918049925839
"SabinePassNTX",673.546376343922,5.20253823576972,-0.362399561632654,0.265303609794487
"GalvestonPPier",886.524189579285,4.85170641298614,0.307216273722418,0.342889614798231
"RockportTX",445.145880052208,4.5617375359453,-0.235920120333613,0.301273017607383
"CorpusCristiTX",702.504354969183,4.95617909369969,0.00946140728092073,0.127354352566982
"PortIsabelTX",540.416575555563,4.45885329944036,0.0119657914351966,0.279102497072354
"ClearwaterBchFL",900.855792501426,4.70827731893594,-0.095982060457877,0.0380702318977786
"PortCanaveralFL",1133.43343209357,4.4870073133216,-0.218073587626785,0.219471973372206
"GalvestonPier21",679.406402993536,4.81103860584731,0.217914840865309,0.390215554490822
