"","mu","sigma","xi0","xi1"
"FernandinaBeach",1561.01138696807,85.2791878667833,0.114802890722568,0.0651430196763244
"KeyWestFL",558.504260408249,41.739136156703,0.0209083471721002,0.4481975368823
"PortlandME",2212.67116218535,101.526929946429,-0.0830862858780334,-0.02145793513325
"NewportRI",1220.23693920685,111.954378373273,-0.248268173120722,0.559080939234581
"DuckPierNC",1218.44906306856,103.770072228335,-0.362828824425535,0.515050236151091
"CharlestonSC",1394.34075431102,93.7621929573896,0.126543819541592,0.146834252051007
"AtlanticCityNJ",1390.74180837356,115.853330878832,-0.0675379067334226,0.112771169674934
"MontaukNY",991.645593663035,134.977756054333,0.250744119712103,-0.0751820313359627
"EastportME",3913.60041233787,81.9622621807551,-0.0417696708552743,0.134900108770705
"BostonMA",2279.67626712462,124.296073572818,-0.0686496967435285,0.226699473474736
"WoodsHoleMA",950.248707745617,143.5558856778,-0.266626181698349,0.468017488529691
"NantucketMA",1070.73954358941,122.018554509963,-0.255464963527511,0.499035679860188
"NewLondonCT",1042.74720979128,152.199888024389,0.213517510214689,-0.0479208534788268
"NewYorkNY",1437.10525344415,135.381428465411,-0.125318191237908,0.80419699990328
"CapeMayNJ",1500.81264260448,113.676848208331,-0.138496216740601,0.0965556267678242
"LewesDE",1415.36382338839,115.626913326013,0.166743387138922,0.0199443998645792
"ChesapeakeBBT",1124.75885684927,127.773425901299,-0.274436963205227,0.599541805092622
"WilmingtonNC",1034.19938624446,110.85128312122,-0.105372102847654,0.306063807308205
"FortPulaskiGA",1695.36741454013,83.0381208567909,0.0893430216285869,0.0815193790075702
"MayportFL",1191.17943609449,58.3451185031531,0.154889484905125,-0.143222302919379
"VirginiaKeyFL",698.313736714901,83.6115091137789,-0.404535977055529,0.539527662905333
"NaplesFL",760.516163439677,99.754677655315,-0.013496295551774,0.4010520173606
"StPetersburgFL",785.320361435351,130.150009299643,0.101962058579152,0.0633736496379176
"ApalachicolaFL",658.275712827191,92.8979560226249,0.287215434731534,0.738728576863807
"PanamaCityBeach",699.997505517429,152.292219211311,0.0651790274771713,0.70139160400798
"PensacolaFL",590.164116345889,107.060562110007,0.281307198469207,0.227094104113317
"DauphinIslandAL",606.991016965956,101.680666411941,0.00730469769907705,0.593032451220065
"GrandIsleLA",555.384945940741,117.118787416811,0.144060374793394,0.282787396769743
"SabinePassNTX",677.842609172926,137.677562514604,-0.283535674485995,0.70311996324048
"GalvestonPPier",882.700085332076,157.273142296332,0.144626259435426,0.317045170794504
"RockportTX",443.7740631013,82.1519340206823,0.0426590348431727,0.524183095915177
"CorpusCristiTX",695.170558332935,140.944290611432,-0.0614709282638087,0.301203452632808
"PortIsabelTX",538.941150220318,86.8266041556795,0.204021699941861,0.143737920881678
"ClearwaterBchFL",896.123921960113,97.7272930886091,-0.125123265690073,0.272309537487297
"PortCanaveralFL",1128.96322580804,69.1565928913866,-0.122890271251347,0.476286299057312
"GalvestonPier21",679.780963894166,136.508622190094,0.452178918234533,-0.134891127392437
