"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1562.61918495729,-1.20794946869556,4.29790087322598,0.26998361401283,0.161077789706748
"KeyWestFL",547.618498247358,22.5034841965042,3.7194849340713,0.0501201700064253,0.24466172915426
"PortlandME",2170.422028886,82.3908359951211,4.74199137523651,-0.370269731448873,-0.050224427829571
"NewportRI",1183.58779774775,54.8358768545946,4.79135787008586,-0.147710288445432,0.10362980594374
"DuckPierNC",1161.66816733453,69.4431132416173,4.77246010438912,-0.165436477838971,0.0387587108706692
"CharlestonSC",1365.13690917734,62.7840587019172,4.36675978085306,0.340840141163574,0.188517897820545
"AtlanticCityNJ",1370.5249147413,42.4863703789215,4.71650592635612,0.0692459962074724,-0.00926299695106936
"MontaukNY",999.513029587539,-8.56762942243461,5.1077533073284,-0.279534900722387,0.174920651452429
"EastportME",3842.22341693458,130.807988254912,4.38166262878686,-0.161506126926891,0.0721350821289821
"BostonMA",2242.44691405678,75.5082173874628,4.69688205402149,0.244782763664498,0.0461837586292638
"WoodsHoleMA",933.694448151114,14.4706050586047,5.24099250911583,-0.43119889989815,0.0289434581260008
"NantucketMA",971.677715183993,144.995122885567,4.65274724242627,0.236081043005459,0.0634372530459217
"NewLondonCT",1057.98129706126,-22.5725831035591,5.22490728034703,-0.315421435620678,0.165032247687438
"NewYorkNY",1390.30060397223,72.1322368085033,4.98478712344241,-0.216967636147741,0.294453674621799
"CapeMayNJ",1474.66666356935,35.0708190978227,4.82770238378161,-0.121871877103323,-0.0748773485712565
"LewesDE",1396.45999258932,31.338475391774,4.38800638378407,0.527820788366081,0.19231955461438
"ChesapeakeBBT",1058.24712755772,100.382344767204,4.76680996055438,0.196207115006001,0.104385550764218
"WilmingtonNC",891.907551062341,254.104492202521,4.29832504055556,0.276988764487076,0.135820312117724
"FortPulaskiGA",1707.36954567956,-18.9291336511131,3.90855965574286,0.674770596692592,0.202005799922596
"MayportFL",1221.38734808971,-66.2293284797807,4.12968174383572,-0.194691476769767,0.106283464085034
"VirginiaKeyFL",661.08458256651,42.9114142549537,4.47886427803136,0.00582444967413216,0.0896484126684484
"NaplesFL",728.402184386487,55.3054792239604,4.34035106446455,0.403973994333276,0.232277048812176
"StPetersburgFL",739.396168359033,72.5998596417191,4.89336584009405,-0.0527959696483366,0.135887864136527
"ApalachicolaFL",625.058766445195,68.1812693790758,4.37805836400746,0.366881277591443,0.637701427695618
"PanamaCityBeach",651.522016204338,85.6733699411095,5.13230985307492,-0.00781805782959792,0.385630689211531
"PensacolaFL",552.500131880496,80.7233288218148,4.50403355830235,0.336262498119838,0.353215123372665
"DauphinIslandAL",609.717166474594,17.0090801452338,4.4688938967431,0.282844969770784,0.352820558944582
"GrandIsleLA",579.511240321786,-23.3290964619505,4.43054770554279,0.339475252143405,0.387593340026522
"SabinePassNTX",593.759219685828,90.55718593916,5.1508740144266,-0.352408581115649,0.285062877031753
"GalvestonPPier",868.404280566264,31.1173233891804,4.79979369775297,0.39649514526724,0.334627942789691
"RockportTX",445.665032952413,-0.772871207398654,4.54417030325602,-0.211590475078652,0.299586041267448
"CorpusCristiTX",730.363777153024,-33.1753363688394,4.91457185100863,0.0345835465221177,0.138968887867659
"PortIsabelTX",548.606342010285,-12.8452593651131,4.45619195253124,0.00580738950800429,0.280706068627178
"ClearwaterBchFL",865.761866013033,38.5437155238543,4.66032345272069,-0.0388452956716836,0.0357683505452844
"PortCanaveralFL",1002.40762561829,144.620535023018,4.22662317557894,-0.130446357978931,0.277412365872419
"GalvestonPier21",678.142104108818,2.76455657479699,4.79526139575611,0.25055811199088,0.389874478332571
