"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1568.11925425856,-17.3456232747624,83.6277118315221,0.121352033773464,0.0909455945476153
"KeyWestFL",549.768642920808,17.265361031593,41.7568075672524,0.049057306336589,0.381851878109699
"PortlandME",2174.57637921905,72.8169343983373,96.2293900847527,-0.0180454625756189,-0.0698757520766443
"NewportRI",1186.9173520965,52.5696893863355,110.83949607581,-0.217217288797692,0.539214322468693
"DuckPierNC",1176.89616303301,50.2232117278018,102.417617301191,-0.276949497727143,0.428170988110177
"CharlestonSC",1381.95126444077,26.8939014692136,94.3113194398333,0.183282032505869,0.0217394719230102
"AtlanticCityNJ",1374.03015679211,35.0584524610123,115.724908559925,-0.0648115757276729,0.106089575987902
"MontaukNY",988.99652012202,3.71220489143874,134.817905176266,0.256552209846444,-0.081700753825558
"EastportME",3847.35999750272,121.046739203362,72.7634764476851,-0.00623339824862513,0.158317140184031
"BostonMA",2254.26118046123,50.6564335848811,124.597500708096,-0.0462388229317184,0.172700794081844
"WoodsHoleMA",935.660317956058,18.4632240925266,143.070107758907,-0.224369488870386,0.411356699553858
"NantucketMA",1018.29933388076,74.1991024102572,121.806071095098,-0.146720793401377,0.336445891563543
"NewLondonCT",1045.34021385321,-4.237658258793,152.138546316604,0.217443601138757,-0.0538829722763277
"NewYorkNY",1395.44780602939,68.1420063533389,131.983547227288,-0.0769332852177753,0.778588046765931
"CapeMayNJ",1484.60385663622,21.4739591721371,113.567976322643,-0.116441875906284,0.0680172525994762
"LewesDE",1414.3547467358,1.78295664847446,115.630940645064,0.176067413538742,0.00730911232902481
"ChesapeakeBBT",1086.26227026887,51.303925753769,127.185662132765,-0.207693527393481,0.520439080106221
"WilmingtonNC",923.297546785717,197.366737118287,86.8347702646634,0.0324815371615573,0.205028799828021
"FortPulaskiGA",1735.94646779675,-78.8482536382019,72.8013767442581,0.0902321516979657,0.25398879958854
"MayportFL",1215.47886331303,-53.8243389436533,56.5303802956273,0.128505741949201,-0.0315029771676004
"VirginiaKeyFL",684.809940735852,14.7764044509764,83.9217184035841,-0.35360846670002,0.485818104309998
"NaplesFL",757.207061442754,5.42920884745948,100.160663892927,0.0194726229271687,0.350705116217703
"StPetersburgFL",745.687710301518,60.8904588946767,127.486144534892,0.188861527040484,-0.0671703044719937
"ApalachicolaFL",666.880425042316,-14.0563758007035,89.9855694514235,0.335080354186526,0.729879710571934
"PanamaCityBeach",660.191006276253,47.2200193259227,150.466964825548,0.117708078947799,0.62533811835826
"PensacolaFL",569.612622547599,42.5969526245203,107.220445038637,0.341496019026468,0.0802776731482338
"DauphinIslandAL",625.408698302686,-24.0619283899811,98.0645267237061,0.0677679362592908,0.559311297520291
"GrandIsleLA",605.384508950002,-77.4825413649011,99.5266173426179,0.13872268452433,0.501059305583904
"SabinePassNTX",625.772060498937,59.4953687696038,134.718033666809,-0.221835166869613,0.654755514951351
"GalvestonPPier",879.757690274215,5.33648647401055,157.332852132999,0.170144901196153,0.275861056642109
"RockportTX",438.996817758438,6.69158019931535,81.9378906579182,0.0891673210878325,0.440780790806823
"CorpusCristiTX",722.994086837564,-34.0451544562625,136.729530217684,-0.0305694989270515,0.295195423410365
"PortIsabelTX",550.163149824999,-17.6057064291691,86.0981234381165,0.192996871742029,0.177923297744314
"ClearwaterBchFL",881.289618659728,16.567208773257,97.9807860820534,-0.0884192293186493,0.222580879617664
"PortCanaveralFL",1029.08352288655,110.124037253569,58.6730398626608,-0.0359092384599002,0.483109841503883
"GalvestonPier21",685.996176936178,-15.8629469103363,135.653921689748,0.449946538005704,-0.1107651409278
