"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1561.93122688666,4.28469084617303,0.297988530558433,0.160409571070949,0.0188607851564294
"KeyWestFL",558.888960676557,3.8030634858823,-0.126686932876467,0.0309638257122964,0.423137608919831
"PortlandME",2217.73059992306,4.80076397405032,-0.403797063417091,-0.154660365562265,0.141366906534931
"NewportRI",1220.4165568789,4.90048646082616,-0.329232956333465,-0.212612472539103,0.499837976121535
"DuckPierNC",1218.11816196497,4.91915748152727,-0.37768202698528,-0.295917860427533,0.454819279175432
"CharlestonSC",1394.2287395279,4.49866854578818,0.0868862096012599,0.117417121994609,0.166004998031282
"AtlanticCityNJ",1390.97686866466,4.74821158190979,0.0141009567430362,-0.0654725047666062,0.110732664077428
"MontaukNY",992.88549267345,5.13961535549317,-0.339942239086374,0.21942303941869,-0.0720186477588665
"EastportME",3917.14956850062,4.52979169168807,-0.238939163019744,-0.0562912175506239,0.190530721509357
"BostonMA",2279.16178005569,4.74826379831068,0.146940656331048,-0.0591589163668546,0.209981820282061
"WoodsHoleMA",944.151271281812,5.35975513359763,-0.619045558026422,-0.223585652952411,0.408258707458693
"NantucketMA",1071.56591682381,4.79929174459684,0.0268196531722323,-0.224169348567946,0.446577120513461
"NewLondonCT",1041.56632186999,5.23642005321504,-0.334575865165433,0.177405975493968,-0.00876893722835229
"NewYorkNY",1436.14059448587,5.13052880317155,-0.488474063425813,-0.0750762349594211,0.702365803606452
"CapeMayNJ",1500.84655552451,4.88342416144638,-0.202059133459519,-0.157390859166514,0.12379587204728
"LewesDE",1410.93154043849,4.3365919981723,0.568555480701847,0.207061823554118,0.0505163342280881
"ChesapeakeBBT",1126.48103434254,4.80959313997239,0.0838865068287825,-0.228447354342841,0.515407689173282
"WilmingtonNC",1062.94834159893,5.21522313447429,-1.05469186815524,-0.17494142755367,0.596533946584819
"FortPulaskiGA",1697.82265862057,3.81694030280006,0.834447512082487,0.191701952639931,0.0248258069430236
"MayportFL",1191.47104496928,4.06005483843613,0.0327442367520437,0.141599601426969,-0.104012265916451
"VirginiaKeyFL",698.027178418459,4.54775600748018,-0.129495506869519,-0.370771852351086,0.50729235798323
"NaplesFL",760.826197181671,4.34384600149632,0.347638419768157,0.0129503732360258,0.397257221663558
"StPetersburgFL",787.809729645181,5.02967659390795,-0.245435376056456,0.117066636983691,0.028593154051933
"ApalachicolaFL",659.728937046325,4.24877037752563,0.382379239226006,0.336651742860427,0.734809207125049
"PanamaCityBeach",708.301831114153,5.12606991461119,-0.0537947356946502,0.113215537487792,0.606250222534759
"PensacolaFL",590.47666246998,4.66275920976305,0.0325696303227922,0.286742614341576,0.21521743941013
"DauphinIslandAL",612.819393237655,4.33871834589699,0.372043552621774,0.0688258319733048,0.536062327653984
"GrandIsleLA",558.639858410504,4.21964869810447,0.628436311721353,0.133747631004055,0.423858520514441
"SabinePassNTX",678.836442748897,5.3412316927394,-0.536405904850053,-0.22453942619435,0.634212586012079
"GalvestonPPier",883.351206665979,4.68916043177956,0.564917115875915,0.186747357466688,0.298391407560189
"RockportTX",442.472723604235,4.57311409569273,-0.264229873782684,0.0958039995116408,0.433052618565629
"CorpusCristiTX",698.450881268324,4.85324152735899,0.12543893113767,-0.0512252115058052,0.299219620258482
"PortIsabelTX",539.594771438418,4.41281119948661,0.0910631145669164,0.194815136356057,0.172409622477987
"ClearwaterBchFL",896.645450690594,4.71232438990635,-0.132775024486957,-0.116979121299809,0.257971859023723
"PortCanaveralFL",1132.60750866532,4.58835408009099,-0.392930899589806,-0.101862194265876,0.471748336949176
"GalvestonPier21",677.993538728267,4.77402136504706,0.274544137089736,0.438836276507107,-0.0611401857603145
