"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1560.5198816791,3.05730720263199,4.26616478346115,0.327922328138999,0.168261666544057,-0.00656709618305977
"KeyWestFL",548.867588282954,21.3164744750898,3.67764172221302,0.125831752499425,0.105784647858452,0.317549563676841
"PortlandME",2179.85135557517,67.2440387708052,4.78814334500029,-0.441774856678471,-0.108527461460619,0.0939497786390185
"NewportRI",1190.07158554644,44.6575945597749,4.82447963809401,-0.207174559600049,-0.189216097784561,0.484155404139905
"DuckPierNC",1185.15384148849,38.8262512604679,4.82857851578353,-0.257780566933744,-0.218486273723284,0.359881335679766
"CharlestonSC",1365.69236438161,60.5490406677015,4.34945070051465,0.36339226769176,0.214394877663809,-0.0479521628409324
"AtlanticCityNJ",1371.6208540211,38.2949178228879,4.71344479304429,0.0749078226246607,-0.049632281915683,0.0824555380434709
"MontaukNY",988.794836690232,3.80563184548682,5.10682068386011,-0.295660174948911,0.237108062608204,-0.0904005275134557
"EastportME",3854.36460851719,109.06120363941,4.37967144714265,-0.168691938493943,0.0278621754805867,0.0927142896834669
"BostonMA",2254.61363461959,52.1715724579023,4.71237928134249,0.215822842188772,-0.00917235292895486,0.116383238900686
"WoodsHoleMA",933.385064573809,13.2132918116072,5.33371135177342,-0.579060625842418,-0.175276048081394,0.336220424605738
"NantucketMA",1022.72090285952,68.3681594341684,4.6768347036624,0.189653804760233,-0.128869067441694,0.295624122328403
"NewLondonCT",1045.15787466552,-4.08771503905355,5.23246981749569,-0.329390509735241,0.183249284530021,-0.0181264389406394
"NewYorkNY",1406.2586799341,47.2273610241325,5.03667880773952,-0.318511334239655,-0.0409267310212934,0.683519443429935
"CapeMayNJ",1483.74594880587,23.3415914690843,4.83517554871701,-0.13782971267014,-0.113392440767372,0.0554892308816361
"LewesDE",1396.95155146504,26.7686278170552,4.29251053554727,0.645822665665148,0.236488864703038,-0.0224306734328751
"ChesapeakeBBT",1093.55983037108,45.2685101364361,4.72359997817961,0.19466061458317,-0.159238625504232,0.425722944410135
"WilmingtonNC",945.671767740395,162.468062599199,4.58958055684011,-0.179409543938516,-0.0314771914926514,0.309533961761193
"FortPulaskiGA",1700.30247956745,-5.56663600451574,3.81770383150547,0.836348536079638,0.209258875310727,0.000496811581170094
"MayportFL",1211.3689877047,-44.9228761244931,4.10304930825717,-0.126023638114683,0.128021373962844,-0.0462862681255711
"VirginiaKeyFL",679.036092973251,22.3607005318786,4.47349829564283,-0.0342390401418263,-0.317556217589911,0.445487386093736
"NaplesFL",739.482805174517,32.350412127479,4.23531708304048,0.504875250065091,0.0631009221506299,0.296390630019229
"StPetersburgFL",757.352542807855,44.940748169725,4.95954209584831,-0.151282875758789,0.186990677392394,-0.0721242111958462
"ApalachicolaFL",647.567501109734,20.7357747750484,4.19930229071102,0.4930279602432,0.417656349273741,0.578017050441123
"PanamaCityBeach",669.192386249655,42.1259395373801,5.0446894089401,0.0116118752982075,0.168619210587329,0.537461154960992
"PensacolaFL",559.47848610994,63.8074681360815,4.49714009194426,0.315647965458922,0.349285449954856,0.0507064432642693
"DauphinIslandAL",607.901598740668,7.86341301568338,4.2706990236947,0.457557708707388,0.117397063988389,0.466236963327805
"GrandIsleLA",564.197636736779,-7.16737127167263,4.20600264993122,0.629958546952756,0.159925446866111,0.38645117507833
"SabinePassNTX",634.483130051143,50.0898469844664,5.31420655847461,-0.520809401429258,-0.162444209084713,0.591358080717901
"GalvestonPPier",871.776724761038,20.9372223070321,4.64942157753555,0.640123217155714,0.22201403681556,0.235989426261476
"RockportTX",441.730331614609,1.06641293124593,4.54902918920055,-0.223862226193899,0.127407756604518,0.36860937471336
"CorpusCristiTX",703.111400807708,-3.11736459529563,4.8277890636934,0.16802533040859,-0.0188697828149765,0.260775003655465
"PortIsabelTX",542.810444479589,-4.87167882766874,4.40997968371099,0.0966173698636331,0.217572230557066,0.130097299081029
"ClearwaterBchFL",875.694809428716,24.2131563298151,4.63585696602268,-0.0400424952533234,-0.0689889548340397,0.178189091637181
"PortCanaveralFL",1055.2827889798,83.7589747111214,4.37506617080532,-0.287424891715123,-0.0124274750078721,0.436592157579832
"GalvestonPier21",673.292033872939,11.0143675726386,4.75311495945141,0.328988904048213,0.423277512445706,-0.0372524583384271
