"","mu","sigma","xi"
"FernandinaBeach",1561.61074610385,84.8792173488732,0.148991655194935
"KeyWestFL",558.338951490915,42.5991478274128,0.236373960460129
"PortlandME",2212.64196303395,101.274514004455,-0.0906820202616437
"NewportRI",1217.29534809943,114.085399768065,0.0703591494654875
"DuckPierNC",1217.00222354535,107.360194715747,0.00946739520663002
"CharlestonSC",1394.95655158095,94.3025184152912,0.197801158392253
"AtlanticCityNJ",1390.46227452022,115.729317593344,-0.00752154434325427
"MontaukNY",992.829183108602,136.392656891437,0.198930380258367
"EastportME",3913.6786373091,83.3614651936239,0.0244332088288774
"BostonMA",2280.12062051432,125.216752225881,0.0588408039806607
"WoodsHoleMA",946.696047571846,143.825325639745,0.0159714696263206
"NantucketMA",1074.07777700058,129.312818380542,0.0745331645553174
"NewLondonCT",1043.58278104018,153.078832828647,0.181770949469498
"NewYorkNY",1430.61354725213,138.775168639111,0.243465907047663
"CapeMayNJ",1501.13723231637,114.023102614737,-0.0783337733498742
"LewesDE",1415.96893984344,115.745168718382,0.172756336885275
"ChesapeakeBBT",1130.31035515708,135.578181138263,0.126647127357005
"WilmingtonNC",1032.97291360206,116.845923718804,0.0474408682591063
"FortPulaskiGA",1696.37965711051,82.4916218607122,0.15372419080452
"MayportFL",1190.85235386779,58.7876306057789,0.094667883659358
"VirginiaKeyFL",698.599621767495,87.7349485303466,0.0868124975692516
"NaplesFL",764.378912628948,100.806945141205,0.267715210626865
"StPetersburgFL",785.929305247067,130.751828673751,0.128252699718647
"ApalachicolaFL",668.724121903064,98.1063025619236,0.692577711738132
"PanamaCityBeach",720.971566588598,166.861585986386,0.385456571240482
"PensacolaFL",591.921361357467,108.743717321238,0.366817149597287
"DauphinIslandAL",619.840944865886,107.011493094055,0.364398776023241
"GrandIsleLA",561.529246198133,115.77340766828,0.335542869472347
"SabinePassNTX",671.023588700621,136.320925911203,0.259407966142929
"GalvestonPPier",886.332767244778,156.146544391181,0.329560476340112
"RockportTX",445.338917298839,82.0793609367335,0.293570977671062
"CorpusCristiTX",701.314120720722,141.441353902094,0.127417273131281
"PortIsabelTX",539.798909828079,86.2008613283937,0.276845113471306
"ClearwaterBchFL",900.064692578463,100.116440727527,0.0407251261404781
"PortCanaveralFL",1130.33486847588,71.6495385124285,0.209038402760954
"GalvestonPier21",680.44307927078,137.941357084169,0.365317586751656
