"","mu0","mu1","sigma","xi"
"FernandinaBeach",1571.45655247465,-22.2774674074938,82.9829315590847,0.171577526983881
"KeyWestFL",549.226192459542,18.2911950801958,42.1809614962982,0.240586565618986
"PortlandME",2168.50006839644,83.5675213979302,96.7739525775848,-0.0559122301493238
"NewportRI",1179.02676265417,61.5482952971425,110.662069245735,0.0987322813890668
"DuckPierNC",1163.77362452831,66.5198677978709,104.768080474463,0.029745140367249
"CharlestonSC",1379.45607929038,30.9395744183494,94.0471898147836,0.19410475810195
"AtlanticCityNJ",1362.80698885301,55.3781021945423,114.343691569378,-0.00306640514663082
"MontaukNY",981.462023548337,17.4998299060107,136.030099597233,0.203167137700307
"EastportME",3850.71046552146,110.794691710234,77.8647148341469,0.0394970699039641
"BostonMA",2253.03995111034,52.8616368808982,125.419518538089,0.0483050634043567
"WoodsHoleMA",944.135843226229,3.42124674580991,143.670509762623,0.0177032810588505
"NantucketMA",980.124832062947,137.332156366353,123.011073665977,0.0799988416453307
"NewLondonCT",1041.510103695,2.97797339391403,152.941464647525,0.18380062734579
"NewYorkNY",1386.11890341686,81.1798515385773,134.178559587016,0.267018857793168
"CapeMayNJ",1500.06306817252,1.37557531032073,113.975012136988,-0.0773782322421188
"LewesDE",1429.19298718668,-25.0488589060317,113.164246592416,0.201648726537233
"ChesapeakeBBT",1097.60549274866,44.5020131034081,135.747172517234,0.121735118660339
"WilmingtonNC",893.189794331478,248.285729468466,95.1581228062845,0.0933077006594822
"FortPulaskiGA",1719.39282264118,-41.7835181696001,79.1269112727455,0.19105833254218
"MayportFL",1206.65227517714,-33.466783273499,58.1610454144957,0.0982661156934172
"VirginiaKeyFL",703.433992402814,-5.49845264414913,87.719982675012,0.0878333937676178
"NaplesFL",751.928966315974,18.7895156019106,101.27547157309,0.262784642845858
"StPetersburgFL",741.147087377502,71.2229835389065,127.737451535209,0.14521348391408
"ApalachicolaFL",651.463697391229,24.980882614477,99.6373900566721,0.683955772601496
"PanamaCityBeach",688.295416933187,39.0584737096884,166.724591084223,0.388071674481317
"PensacolaFL",565.898029983023,50.6582329997533,108.372740379554,0.36246608015916
"DauphinIslandAL",636.799632854171,-24.7315684160803,103.872436419911,0.39149478163537
"GrandIsleLA",571.023293340804,-13.3824608497457,114.781011733586,0.346181503394366
"SabinePassNTX",595.82780950051,90.0559310372344,132.379000681284,0.272531734936961
"GalvestonPPier",878.082242273386,14.3188414037148,156.899804357025,0.325849379674975
"RockportTX",425.950293829615,28.923168671206,80.6663894324213,0.312077943391713
"CorpusCristiTX",706.973150911541,-7.35099106968797,140.841475012809,0.13297327421037
"PortIsabelTX",541.42393129342,-2.7367961629326,86.1220534620887,0.279776259988535
"ClearwaterBchFL",935.975029492187,-39.2561286185165,99.377308093164,0.0393617703153072
"PortCanaveralFL",1010.64918235031,130.909092065908,62.2502232205896,0.290136814650533
"GalvestonPier21",688.686008194227,-20.8552337551411,136.166633586637,0.382952022270135
