"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1562.084994678,4.28623365047112,0.278584734479104,0.162928236742847
"KeyWestFL",558.742474977727,3.77334097460932,-0.0173123970535667,0.239112200646733
"PortlandME",2215.77631758388,4.75611326723285,-0.277953877750461,-0.084668390479965
"NewportRI",1218.36149486788,4.91963245521544,-0.336177084185701,0.0949277220901956
"DuckPierNC",1217.62158204559,4.85530962575233,-0.241187273648977,0.0292496667949669
"CharlestonSC",1395.07271852271,4.53273672742921,0.0375249302748451,0.196048937566427
"AtlanticCityNJ",1391.80094067906,4.82959419713909,-0.154276238180307,-0.00431888497986727
"MontaukNY",994.623081509462,5.15589678163921,-0.361163430732292,0.162521466562042
"EastportME",3915.03552927775,4.47685196060474,-0.0801053742973485,0.0261571567168235
"BostonMA",2279.07288994578,4.7186399712748,0.207243605600619,0.0530892287696119
"WoodsHoleMA",944.75247946316,5.25830810695269,-0.461215947482303,0.0269724932178344
"NantucketMA",1074.03403327433,4.84050397661006,0.0421298252698462,0.0709789882862362
"NewLondonCT",1042.83929118075,5.26182801552793,-0.375651094661503,0.165926718963996
"NewYorkNY",1433.91224647621,5.11634832968507,-0.360550192199284,0.257062749006309
"CapeMayNJ",1501.0026126291,4.92145798136775,-0.258709327184826,-0.0802455684420506
"LewesDE",1413.21613629873,4.43867541403654,0.425165593861338,0.220720543304276
"ChesapeakeBBT",1131.32346905233,4.8070195367256,0.157460982824641,0.110351072862917
"WilmingtonNC",1037.19205078924,4.84985413286616,-0.146324966256159,0.0546133164600955
"FortPulaskiGA",1696.40413214468,4.06338359603627,0.507561929967987,0.170856692133823
"MayportFL",1191.05404348628,4.11761722336963,-0.0674268086772999,0.0923060687575889
"VirginiaKeyFL",699.310716448363,4.54164744149089,-0.0589649364639503,0.0907033696533244
"NaplesFL",764.850051997366,4.55740333099566,0.096357251282406,0.265570137808605
"StPetersburgFL",790.193419229872,5.073977714242,-0.315655601417228,0.119489882333117
"ApalachicolaFL",670.169886262265,4.53605738506783,0.101623325300098,0.694309423263098
"PanamaCityBeach",725.108095141685,5.11028147827337,0.0496705904772547,0.384914801192125
"PensacolaFL",591.036744464992,4.58312691994488,0.201227158136361,0.360627764859661
"DauphinIslandAL",622.121089705928,4.51437361191992,0.218302968903681,0.369266331603843
"GrandIsleLA",562.582752844615,4.5533667908389,0.248935439814165,0.349625246900999
"SabinePassNTX",674.232362473976,5.15206970238303,-0.283649059752381,0.262894156474959
"GalvestonPPier",883.840961140119,4.75030033242983,0.435583390863808,0.352000174154959
"RockportTX",445.488449956817,4.56447176577598,-0.25763297299439,0.313341648199183
"CorpusCristiTX",702.470047447612,4.95989508208345,0.00578219789296591,0.125916875639283
"PortIsabelTX",540.338402949066,4.40979101923247,0.084985606430723,0.2793472149992
"ClearwaterBchFL",900.636065910775,4.80609599079317,-0.20383108094608,0.026969803074603
"PortCanaveralFL",1132.52505036544,4.46254403681399,-0.188841231653785,0.219619929289404
"GalvestonPier21",677.256275356359,4.72926797725319,0.345442937860469,0.399401777673348
