"","mu","sigma","xi0","xi1"
"FernandinaBeach",1561.66636741238,85.6342031196154,0.102976799761761,0.0631749256456037
"KeyWestFL",558.423724987378,41.8224899109322,-0.0035920517189379,0.43685243995579
"PortlandME",2212.82723627661,101.566237286295,-0.0879962005803166,-0.0134180444255973
"NewportRI",1219.58920724089,112.71140944556,-0.147068407697554,0.374785340089709
"DuckPierNC",1217.25741410467,103.464713946964,-0.266997929067925,0.370035165479658
"CharlestonSC",1394.21220556341,93.2947959292126,0.0558316831040676,0.263385230062356
"AtlanticCityNJ",1390.68071305501,115.439674771266,-0.0500109725359945,0.088083945355777
"MontaukNY",993.879561382151,136.616866846992,0.193660433483661,-0.0279090945503301
"EastportME",3914.05108007827,83.0057861967846,-0.0485003840799257,0.116119967050728
"BostonMA",2279.50571623469,124.796934826283,-0.030897365726834,0.15618593187148
"WoodsHoleMA",949.406423724766,144.128370530158,-0.144121619728731,0.258457266555877
"NantucketMA",1072.64068185477,125.294799409736,-0.128552268646713,0.305033425303417
"NewLondonCT",1044.42505298372,153.581691602681,0.155069563220095,0.033780837108535
"NewYorkNY",1435.05187420131,138.912685969468,0.0128504588100375,0.438013166713523
"CapeMayNJ",1501.02976467466,113.795265497491,-0.117766526381563,0.0691040913642191
"LewesDE",1416.1805514899,116.718854503508,0.117360250046207,0.0628511865293656
"ChesapeakeBBT",1125.98577970576,130.824382343281,-0.146796691015487,0.396556212871081
"WilmingtonNC",1033.25411796287,116.684688955074,0.0306700008276271,0.0241505988883923
"FortPulaskiGA",1696.20807618458,82.98434503864,0.108040873200562,0.0546854000679075
"MayportFL",1190.93649202678,59.271055702113,0.0386741693819708,0.117295045361408
"VirginiaKeyFL",697.757980028146,86.8927608401395,-0.169716427989816,0.308444754573338
"NaplesFL",762.79866004778,100.901199839949,0.0063297201261892,0.381373370182715
"StPetersburgFL",786.884772365885,131.360817472872,0.109271541601214,0.0107369765817536
"ApalachicolaFL",661.951618445595,94.7757955619505,0.188117115481366,0.772966178236998
"PanamaCityBeach",703.138883888051,153.750965123876,0.0243418337053744,0.608172290896793
"PensacolaFL",590.289393862165,106.469297953383,0.13891212376991,0.438074667310991
"DauphinIslandAL",612.030428173171,104.259071609504,0.00509267421126718,0.535051107210079
"GrandIsleLA",556.243010535719,114.78485572638,0.015090220974329,0.455832423046407
"SabinePassNTX",672.962068563545,136.791034473724,-0.0820153931748454,0.451178614498823
"GalvestonPPier",883.405435995358,156.824854337385,0.147709170954702,0.276976046868272
"RockportTX",443.953452115288,80.2773029897029,0.0756499332746021,0.477737756249556
"CorpusCristiTX",696.630094499143,139.529234075047,-0.0687549276968832,0.284727690506998
"PortIsabelTX",538.582082241192,86.6656975862124,0.0779836256391205,0.316637376915951
"ClearwaterBchFL",899.285940010949,100.451268460209,-0.0544199408024426,0.143820039773599
"PortCanaveralFL",1129.11418050119,69.6216345780734,-0.0920946685651571,0.425213636484441
"GalvestonPier21",680.659298649833,138.623523116462,0.305076414311918,0.0846159283837603
