"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1560.99983905312,2.45984755253976,4.26526885752168,0.315821931964166,0.162385995148309
"KeyWestFL",546.280029987889,25.115924079197,3.66017894168474,0.187959521297525,0.230078890698325
"PortlandME",2172.97050754046,75.7192883434858,4.71525155020798,-0.275459257199848,-0.0620223759296553
"NewportRI",1186.95819064248,47.9343807387702,4.81808486423969,-0.18834755187236,0.102478752159926
"DuckPierNC",1163.42938166023,66.1308713623281,4.77053075520578,-0.163642700690389,0.0441015751504467
"CharlestonSC",1361.67194638225,67.0443904770506,4.34801264111336,0.357323856079923,0.182539835794915
"AtlanticCityNJ",1363.60975619935,53.8695965908762,4.76536007974435,-0.0484666787351113,-0.00328527307628324
"MontaukNY",987.069082754993,10.8663085639318,5.12677972503189,-0.31831085525956,0.167462375539756
"EastportME",3853.71036274809,105.710059677914,4.42184036108749,-0.115115379061272,0.0399965644124973
"BostonMA",2249.32717177376,59.3109834278669,4.67220302788181,0.284946161050669,0.0462384763054322
"WoodsHoleMA",930.479546196646,18.7701316736076,5.23141438391004,-0.424507153667769,0.0305106333162555
"NantucketMA",1002.17254503523,103.483072808416,4.6723140355652,0.22199945242536,0.0660935324607428
"NewLondonCT",1041.64629078792,2.13370345380199,5.24395123838648,-0.346823570401252,0.166651472364503
"NewYorkNY",1396.86637631048,61.1747856383281,5.02575338059417,-0.237085504201685,0.268241523242852
"CapeMayNJ",1486.53492874125,18.5890183060401,4.88382710013098,-0.205317392504978,-0.076270274262252
"LewesDE",1400.30606513884,24.2812688437966,4.3771150231945,0.53277512437815,0.211352416087804
"ChesapeakeBBT",1086.43020682969,62.7724107984848,4.71478729670523,0.282167319992226,0.0914261987700807
"WilmingtonNC",918.012627270134,207.479566807213,4.67388264138612,-0.181472822311411,0.090641522335285
"FortPulaskiGA",1687.29116637771,17.3721549197606,3.99369765668409,0.621516473935953,0.1649905389456
"MayportFL",1203.51588548126,-26.1901702034282,4.13256785883592,-0.12461116218298,0.095336064230859
"VirginiaKeyFL",656.239447033026,47.9406732546439,4.48329604298738,0.000977575084892692,0.0885892305318384
"NaplesFL",732.023078322844,49.7303790547537,4.45542420539856,0.244084187455593,0.249775778549438
"StPetersburgFL",744.122570024538,68.4773116362597,4.98451608402425,-0.211247575379312,0.136105498122134
"ApalachicolaFL",631.555447156081,55.3933988071434,4.34355264450204,0.373435163856741,0.661104026550684
"PanamaCityBeach",681.558626439765,51.6474716886123,5.04862793703602,0.119621180876177,0.378649693964421
"PensacolaFL",558.321037345781,65.5132334694597,4.49147480733984,0.35833267839824,0.350432323360187
"DauphinIslandAL",606.461465679357,22.2922160190903,4.45696206105826,0.312808287807169,0.351033163399334
"GrandIsleLA",547.174452973051,20.9975714469004,4.49349449768973,0.333872431096343,0.339047135239231
"SabinePassNTX",608.187116213169,76.8435938006928,5.08110044277053,-0.236544923444744,0.272425442421475
"GalvestonPPier",862.764831091075,38.3951271113079,4.69334851188154,0.538005010350138,0.339397625413733
"RockportTX",428.114031793296,25.934014837157,4.47729141410039,-0.12939416564469,0.31572344107284
"CorpusCristiTX",673.286950434277,34.71600463496,4.9080721935309,0.07048716237162,0.122126406400958
"PortIsabelTX",530.895440630794,15.2292125290893,4.35903921273113,0.166059110668735,0.274306802515057
"ClearwaterBchFL",876.18331048988,26.3318205820519,4.75943237472664,-0.150660011175275,0.0316183049534327
"PortCanaveralFL",1024.50186110515,117.833895966605,4.28078416703514,-0.147546145461051,0.276876505162914
"GalvestonPier21",667.485508785594,23.9938432087175,4.68315059765498,0.447707786761575,0.39405568396512
