"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1568.46270482342,-15.3915241220843,83.8762310746602,0.129989160700975,0.0507145697992267
"KeyWestFL",551.591332886437,13.3976298378542,42.0029301504495,0.0357235579611664,0.350462855103042
"PortlandME",2172.15160920034,76.4608108045611,97.0041041904145,-0.0292638822106326,-0.0642031933968004
"NewportRI",1187.58653590992,49.6745433134141,111.316565232672,-0.0633041855066364,0.259939950252958
"DuckPierNC",1174.2876720469,52.9209292172208,102.410182932431,-0.19243816459248,0.299886033763579
"CharlestonSC",1381.7301150349,25.5170487724802,93.9747477328796,0.122157961335397,0.123668260981665
"AtlanticCityNJ",1364.50693408488,52.0055850414719,114.378647131872,-0.0237043660713208,0.0419413683456533
"MontaukNY",976.194197883223,26.4560898887802,135.243318935671,0.227168754634171,-0.0769994960575958
"EastportME",3856.53692852022,101.021089999943,77.8923515011006,-0.0443175089817191,0.146339566741137
"BostonMA",2254.69890347818,48.9500214199343,125.371837686123,0.00338410297900067,0.0784069739826885
"WoodsHoleMA",932.82049704921,21.4305803853852,143.40937255162,-0.0961394649870868,0.195913885008677
"NantucketMA",1007.17016866954,96.0494235536589,122.316528399945,-0.0623303740524529,0.211679997124525
"NewLondonCT",1033.02959738037,16.848100410292,152.839361032899,0.182915425759553,-0.00970485920860959
"NewYorkNY",1394.77777873377,70.6173943179384,135.879778085791,0.0596042760136795,0.38589206983858
"CapeMayNJ",1488.0774063794,17.466597284987,113.932535251462,-0.0744100242924369,0.000102566953741071
"LewesDE",1419.77853632137,-6.55330356025138,115.413875878776,0.162162999170411,0.0152338273203012
"ChesapeakeBBT",1096.46707281844,40.1067308988364,131.807211376747,-0.0877892421822959,0.310937730042239
"WilmingtonNC",919.098037686909,204.287610110682,96.7729606257343,0.0445186727178791,0.0822984712124141
"FortPulaskiGA",1716.48158780806,-37.1374799041751,79.6977308803239,0.112994850198422,0.101688424188382
"MayportFL",1201.99274945286,-23.4023075559212,58.457466055221,0.0586789693621643,0.0868526138445228
"VirginiaKeyFL",679.026138509872,20.9885832994134,87.178657362169,-0.112124969357534,0.244267499587686
"NaplesFL",751.126651166433,18.0724786044343,101.758671505574,0.0648092804867151,0.28111333564187
"StPetersburgFL",746.543183556734,63.9301242681745,128.017863418075,0.176429277203185,-0.085408259143783
"ApalachicolaFL",657.439054124799,7.79594177216145,95.8611934240642,0.266261920129648,0.645489639010379
"PanamaCityBeach",675.063028358961,37.9082471721144,156.794592907273,0.0914940171813409,0.492578002995102
"PensacolaFL",569.070103634887,40.6669406087476,106.890110418611,0.193981320916879,0.318252795651482
"DauphinIslandAL",614.859219509423,-2.7949436917874,103.881492442062,0.0750422297696321,0.445919787732296
"GrandIsleLA",550.707965579065,8.42397950504233,115.351007080788,0.075694109643078,0.368532876649476
"SabinePassNTX",619.90247385441,62.9070717700866,134.118592666291,-0.0128883478709749,0.375889599511192
"GalvestonPPier",867.335206134655,29.4313063697398,158.246169917257,0.189577710487383,0.196902539826146
"RockportTX",427.611803768299,24.1581854781945,79.8346770507485,0.148173628837979,0.344071494820156
"CorpusCristiTX",681.87009569319,18.9377545994491,140.555417266271,-0.0129690612771849,0.203761527833442
"PortIsabelTX",538.04971232733,1.15862013484797,86.4875151446366,0.127355187098825,0.241001433466588
"ClearwaterBchFL",888.654572068807,11.8410384517324,100.424830447118,-0.0039318987193768,0.0728687854765794
"PortCanaveralFL",1046.95066561677,89.2449690489339,62.811142251834,-0.00576139181064309,0.405219146206037
"GalvestonPier21",684.597718784765,-9.90996077938517,137.299566395651,0.339757587576634,0.0446912173648303
