"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1562.37715101084,4.26518786007382,0.315820087767027,0.167200443996561,0.00260786901170144
"KeyWestFL",558.648033062398,3.74431230203319,0.000474280535791431,0.0149915847932943,0.407177604200114
"PortlandME",2215.70474464028,4.75087791524165,-0.2660338442867,-0.0840892059629642,-0.0064546685310499
"NewportRI",1219.24396841725,4.87604197912782,-0.272037946848731,-0.107928207539851,0.314240817236534
"DuckPierNC",1217.14151039158,4.78760017447023,-0.200844614680719,-0.239612690936805,0.354421884685331
"CharlestonSC",1394.26606986229,4.47953424687452,0.112446369779779,0.05792398365539,0.267749290504658
"AtlanticCityNJ",1391.41348898945,4.81377124748398,-0.131004998623144,-0.045828665159359,0.0852570282538622
"MontaukNY",995.097494659366,5.16489052941853,-0.397855571606438,0.192791808378078,-0.0648492051541941
"EastportME",3915.16434449296,4.47776905979267,-0.0905756373868835,-0.0242048888560041,0.082162243871141
"BostonMA",2278.7022021567,4.69013330156689,0.251768510296957,-0.00468355868962429,0.109709957508181
"WoodsHoleMA",945.898047312901,5.27603046041612,-0.502547692213776,-0.152474856586567,0.283222055828477
"NantucketMA",1072.73017166114,4.80076762531837,0.0587366078115179,-0.095451636756218,0.2537113147028
"NewLondonCT",1042.97791915624,5.26984041827939,-0.394111944099471,0.147704509573448,0.0356163938191729
"NewYorkNY",1436.44323683022,5.1178993411048,-0.368343161521478,0.0381873239369286,0.389446258848239
"CapeMayNJ",1500.72854355373,4.89378577861838,-0.224174636139868,-0.0872999164394876,0.0117437045716865
"LewesDE",1412.71830532214,4.37830586238361,0.520219577212442,0.175742512489242,0.0854249072393287
"ChesapeakeBBT",1128.37124735098,4.74874526889393,0.194638316652019,-0.116301883163712,0.329113764781217
"WilmingtonNC",1040.24492936707,4.90970506489909,-0.264368325674567,0.0267529421103759,0.0532010110058253
"FortPulaskiGA",1696.47906310938,4.03988166202313,0.54461876329454,0.129464961081554,0.0873057458736495
"MayportFL",1191.06601498247,4.10007037230185,-0.0254895162901875,0.0626351880847585,0.0688024276226032
"VirginiaKeyFL",698.248741965087,4.53007316338682,-0.0608250329901665,-0.137449304911828,0.272700251252627
"NaplesFL",763.302953868313,4.50782189582386,0.154939041412744,0.0641219811632255,0.319857507794121
"StPetersburgFL",789.580870592922,5.0410547601952,-0.265336616573935,0.149855418081785,-0.068042257445211
"ApalachicolaFL",663.728517940185,4.39219211714041,0.228409414801922,0.293606025246352,0.681987611034116
"PanamaCityBeach",710.001093957259,4.92047355291112,0.193201736710745,0.106423117574071,0.500497113864255
"PensacolaFL",590.170189904467,4.58728206052797,0.165067237985979,0.193433627361498,0.333162431473803
"DauphinIslandAL",616.138063844082,4.42105501863054,0.306970107407939,0.0890518338444473,0.450333695774158
"GrandIsleLA",559.15402213668,4.50073259667852,0.320145425688006,0.0935984867027087,0.371513465779785
"SabinePassNTX",674.252905323119,5.08262558311583,-0.197662424357882,-0.0254315772573863,0.383951894058648
"GalvestonPPier",880.895274300423,4.64356647842588,0.591420506823126,0.253631770209573,0.173672492538539
"RockportTX",443.296271037307,4.5253693962274,-0.232480729190628,0.141438904698147,0.369287727891563
"CorpusCristiTX",699.013806292374,4.80139153624569,0.174198882600121,-0.0178543257547211,0.226283096547006
"PortIsabelTX",539.321891987158,4.34232001768212,0.187738734452813,0.125955347802634,0.260402851385416
"ClearwaterBchFL",899.453914558524,4.777232214362,-0.182043297150725,-0.0202413443811973,0.0781426240067543
"PortCanaveralFL",1130.70269682286,4.48080923686017,-0.258358251477488,-0.0332418586826002,0.369600498094738
"GalvestonPier21",676.952278255201,4.6904056997861,0.426955991617493,0.357701616228065,0.0873414655021351
