"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1560.55035602337,5.47627457934281,4.24152803876352,0.375650654838183,0.192374210742996,-0.0265490397481602
"KeyWestFL",549.005651139798,19.5223598558026,3.66739912910052,0.171610912788693,0.0487766839800131,0.333284316517205
"PortlandME",2181.86421266249,61.2796272390778,4.72139056036022,-0.277626173532755,-0.0284336664733116,-0.0802577173738585
"NewportRI",1196.63491667365,36.6368932876467,4.81450915038139,-0.157495528566269,-0.0646256968261,0.254995080412302
"DuckPierNC",1187.86553755891,36.7128768195477,4.75067332095985,-0.15473908565813,-0.206726812389704,0.321970129845077
"CharlestonSC",1370.78595876249,48.2792635668633,4.35596130305678,0.351322854560361,0.114181552409009,0.158796817270561
"AtlanticCityNJ",1370.23144905688,41.3330976351197,4.76276373424343,-0.0488204859983388,-0.0312631075250784,0.0579726336760158
"MontaukNY",980.777677785666,21.6543927205476,5.13532537290088,-0.365238732148312,0.217484306328823,-0.0997133600481795
"EastportME",3867.93834226254,81.9468507029321,4.44189083600331,-0.147595420486338,-0.0246789183982393,0.12487951158352
"BostonMA",2253.66264905191,47.0265926699676,4.63929312436319,0.334395934604094,0.0222497956092388,0.0568649154643976
"WoodsHoleMA",930.762684572529,17.9840612714666,5.2923009354934,-0.525371299093892,-0.123292105087141,0.243736264039267
"NantucketMA",1026.76955130462,66.2647186611269,4.71529948067405,0.153379758818502,-0.0467799944772267,0.182068779284264
"NewLondonCT",1031.49650865503,17.0108163302416,5.24338983745737,-0.356305694677058,0.173515114853578,-0.00317334020339443
"NewYorkNY",1405.51725686739,50.9522360618815,5.0708499698773,-0.292465703961483,0.0746473573182368,0.354360628718385
"CapeMayNJ",1488.17887014411,16.5997121767396,4.88145159752654,-0.188520548912855,-0.0638127149395167,-0.0336556470773302
"LewesDE",1398.59491863609,25.4327782233109,4.31058032432062,0.623383702061838,0.248683275655561,-0.0219927391544447
"ChesapeakeBBT",1100.68652399433,39.2215242414838,4.67182561652386,0.306107304590457,-0.0823632188295708,0.274449800487141
"WilmingtonNC",959.018170191353,143.041785941935,4.8488425817409,-0.407849524141167,0.0324026868068655,0.108586143072768
"FortPulaskiGA",1686.27559300977,18.6742449803059,3.9503327892024,0.689907435557457,0.176076399259274,0.00740336071384599
"MayportFL",1198.12460155821,-13.868773455358,4.10272291269612,-0.0521049584725734,0.0810524663806137,0.0330180380494884
"VirginiaKeyFL",678.62831545489,22.2048108028739,4.48277800482196,0.000711894191921923,-0.099150323906194,0.229489888352248
"NaplesFL",742.436171451412,30.6861399224356,4.41541995524899,0.288762434137578,0.12361877665331,0.225846481387228
"StPetersburgFL",757.679857185522,50.2574153518696,4.9549276447965,-0.165411209395393,0.213796838182268,-0.161847414072616
"ApalachicolaFL",642.209303489925,29.3297602251356,4.23263896656459,0.435664712257024,0.366411019128217,0.561394669823114
"PanamaCityBeach",685.288908905876,31.5913395910162,4.87919899758354,0.252415896109076,0.165281591091549,0.419727172018503
"PensacolaFL",563.878049341836,49.7493125843977,4.49312090590666,0.327373869014585,0.234259724222258,0.237288040005
"DauphinIslandAL",603.950689242658,18.5944270972247,4.35448561164877,0.412070639476388,0.140542685112998,0.37269102703237
"GrandIsleLA",543.376336983665,21.3891599698632,4.42313517631019,0.423831615558569,0.147851197088005,0.296478635892804
"SabinePassNTX",636.540882568766,43.1966871129264,5.04875703708335,-0.181751061647472,0.0195371451730854,0.338094370919582
"GalvestonPPier",864.305667859383,31.5523999135162,4.5648846700443,0.722865552467986,0.308436051145584,0.0802382283086669
"RockportTX",426.200893463553,25.3260270649832,4.44544464234416,-0.107027318985563,0.194741945730516,0.265045365326988
"CorpusCristiTX",680.02042071309,22.7582307657139,4.75296423735381,0.235711903679797,0.0352252978363553,0.163409063539449
"PortIsabelTX",532.328871526153,12.523243067013,4.30802350455592,0.256774710170044,0.167362240618338,0.210513545139649
"ClearwaterBchFL",880.566852398041,20.0933221404008,4.77177878314748,-0.178082721889088,0.0245709757467411,0.0207054850312339
"PortCanaveralFL",1080.29774525811,53.9115104539218,4.40757593973651,-0.249183955269017,0.0287233047092257,0.353397659925872
"GalvestonPier21",665.051630320305,26.12562777192,4.60335211010601,0.582717796624281,0.405376960597013,0.00159658935156052
