"","mu","sigma","xi"
"FernandinaBeach",1561.61074769395,84.8792178748732,0.148991663229681
"KeyWestFL",558.338940198936,42.5991420776262,0.236374105068975
"PortlandME",2212.64196328514,101.274514311295,-0.0906819421255979
"NewportRI",1217.29534111986,114.085400434577,0.0703591759225861
"DuckPierNC",1217.00222686758,107.360190294355,0.00946740880615687
"CharlestonSC",1394.95655616164,94.3025213062287,0.197801114303702
"AtlanticCityNJ",1390.46228285681,115.729318986824,-0.00752157930534308
"MontaukNY",992.82917790349,136.392651376897,0.198930382835051
"EastportME",3913.67863166506,83.3614649537187,0.0244332684277162
"BostonMA",2280.1206214162,125.216753477489,0.0588408072939772
"WoodsHoleMA",946.696053133972,143.825325165776,0.0159714545749069
"NantucketMA",1074.07778326754,129.312820544649,0.0745331448732142
"NewLondonCT",1043.58278116685,153.078832833966,0.181770956699123
"NewYorkNY",1430.61353598236,138.775170128293,0.243465941416878
"CapeMayNJ",1501.13723119424,114.023106522535,-0.0783337912605074
"LewesDE",1415.96893186635,115.745166863839,0.172756370218537
"ChesapeakeBBT",1130.31036268085,135.578183021108,0.126647115436537
"WilmingtonNC",1032.97291857012,116.845928230504,0.0474408653965325
"FortPulaskiGA",1696.37965351634,82.4916218275491,0.153724198526253
"MayportFL",1190.85235194371,58.7876311834279,0.0946678528826227
"VirginiaKeyFL",698.599618076755,87.7349533907155,0.0868124898981785
"NaplesFL",764.378917192356,100.806950491657,0.267715214340465
"StPetersburgFL",785.929305170178,130.751826109786,0.128252699879422
"ApalachicolaFL",668.724115845052,98.1062941306877,0.692577735969207
"PanamaCityBeach",720.971576458241,166.861585315522,0.385456566669887
"PensacolaFL",591.921353491609,108.743704540766,0.366817122547957
"DauphinIslandAL",619.840942142614,107.011494261918,0.364398801812104
"GrandIsleLA",561.529252218461,115.773409723706,0.335542826753905
"SabinePassNTX",671.023598294415,136.320931475064,0.259407961105514
"GalvestonPPier",886.332755675471,156.146544188815,0.329560521911943
"RockportTX",445.338912104707,82.0793513388333,0.293570893253063
"CorpusCristiTX",701.314117910831,141.441355215036,0.127417268434014
"PortIsabelTX",539.798904767152,86.2008627926485,0.276845098726181
"ClearwaterBchFL",900.064693943519,100.116439870195,0.0407251535085707
"PortCanaveralFL",1130.33486475051,71.6495312223775,0.209038446085776
"GalvestonPier21",680.443077863779,137.941355798851,0.365317608166318
