"","mu0","mu1","sigma","xi"
"FernandinaBeach",1569.84868306386,-17.4831814707343,83.5525602157872,0.165274532986464
"KeyWestFL",546.426011139474,20.1816693616844,41.910315755642,0.245946573833988
"PortlandME",2168.14459490904,73.2481400376926,97.4769094347701,-0.0602133893181839
"NewportRI",1165.33323516995,73.8906750358088,110.591520681607,0.0956627245202539
"DuckPierNC",1127.5441185714,101.710960209529,103.824646339842,0.0330513993937263
"CharlestonSC",1372.35013352432,38.6806842280796,93.87820073375,0.193188964946621
"AtlanticCityNJ",1365.37001882701,44.3412024592353,115.346774011793,-0.0106304801160293
"MontaukNY",994.800438679997,-2.8747147022777,136.265982461212,0.201138996950522
"EastportME",3822.15702230083,140.032208162086,73.1724959143187,0.0717087859458771
"BostonMA",2247.40688613035,53.9580520674751,125.191367330685,0.0497724065273524
"WoodsHoleMA",929.837994079573,20.3567645783416,143.305750862357,0.021112037646495
"NantucketMA",949.517217481447,153.539955811969,123.720273886334,0.0843493856874597
"NewLondonCT",1045.76038120092,-3.20846829929503,152.983555014824,0.183142805108582
"NewYorkNY",1374.24345723077,88.3980911962364,132.981525595608,0.277411695283464
"CapeMayNJ",1474.71273143578,31.1538043430634,113.746319157076,-0.0743427933655146
"LewesDE",1418.48414135452,-3.97273249108842,115.412232770507,0.177679726342671
"ChesapeakeBBT",1061.16906099049,81.7207146753653,134.162689092906,0.130725279202957
"WilmingtonNC",824.747020503262,312.297455620169,76.6072280071219,0.207781197661158
"FortPulaskiGA",1745.67795878539,-75.4659158678169,76.3256200520365,0.21857271228492
"MayportFL",1228.60731895216,-63.7923765915001,56.4301222535758,0.109407425685192
"VirginiaKeyFL",648.418953397318,53.2167282682996,86.8427582527562,0.0938540407143268
"NaplesFL",733.077802709023,40.0746618366677,101.894145202289,0.253491459410391
"StPetersburgFL",708.844664298058,102.817928172508,126.880200346064,0.14747660782972
"ApalachicolaFL",641.613979963707,34.0573649268627,100.045005581203,0.681797960078083
"PanamaCityBeach",678.040248657893,45.558515452753,165.015564935164,0.395128932301119
"PensacolaFL",553.538232796195,63.0940527256412,107.192517039111,0.36805844505548
"DauphinIslandAL",630.096684344834,-13.0061647364032,105.576023907952,0.379698596953388
"GrandIsleLA",607.882711696582,-57.1550182514035,110.571887724194,0.375378131625624
"SabinePassNTX",632.234214711207,42.1497824262735,135.526936817058,0.265010644220156
"GalvestonPPier",901.617074333169,-21.6734352818235,154.902049337519,0.338832690042354
"RockportTX",426.688691044146,24.0997056436832,81.6051036026582,0.300641339560107
"CorpusCristiTX",728.326908193772,-30.3144591539222,139.920456834537,0.136974136246005
"PortIsabelTX",551.347255867521,-15.5884339259628,85.918679081544,0.281380202803454
"ClearwaterBchFL",867.783126082068,33.7852189627472,99.8547051703331,0.045005558500936
"PortCanaveralFL",977.793301113826,161.852723044116,64.1442615216396,0.253813330046194
"GalvestonPier21",692.229640219404,-24.4617212744426,135.833653109179,0.385578942440467
