"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1562.19896008773,4.33701511753186,0.185797597406677,0.16494532896275
"KeyWestFL",558.894504782449,3.84848669287074,-0.153888334033638,0.249506726293327
"PortlandME",2215.13887422236,4.77342124965892,-0.27605680495115,-0.0810099498571168
"NewportRI",1218.22903491961,4.89168313443063,-0.240105127211093,0.0900538874489348
"DuckPierNC",1217.74804017988,4.8716414891329,-0.230129513884513,0.0194045753954171
"CharlestonSC",1395.34197756605,4.56103420373344,-0.0156526198040217,0.19963693876438
"AtlanticCityNJ",1390.22114812861,4.72209096666583,0.0547698129973959,-0.0076031886582029
"MontaukNY",993.725432842314,5.15241874529369,-0.305409488962081,0.177720470751738
"EastportME",3917.60470059193,4.59758543246535,-0.272394875025427,0.0458030357427536
"BostonMA",2279.50305023698,4.74398985572237,0.142719050165879,0.0531898388552951
"WoodsHoleMA",945.998257471836,5.26186279435835,-0.38883775650886,0.0233726475382806
"NantucketMA",1074.58637933755,4.87507734981842,-0.00729927027930951,0.0757135886251967
"NewLondonCT",1043.65527806566,5.24713490090097,-0.296866002840336,0.168607797951479
"NewYorkNY",1432.82429748764,5.12802783388255,-0.343900237884172,0.268432762620992
"CapeMayNJ",1501.24393443223,4.87018764301156,-0.15757348415532,-0.0767825401307594
"LewesDE",1414.01242261955,4.4218575014927,0.411568049809272,0.201826696769301
"ChesapeakeBBT",1131.16337687549,4.87421905158072,0.055955449758098,0.123183060515111
"WilmingtonNC",1049.88002787551,5.15520426807145,-0.631554701032278,0.112200625615796
"FortPulaskiGA",1698.70888848875,3.92556636028202,0.624732782130394,0.188526991466865
"MayportFL",1190.95694496193,4.11370863274845,-0.0483579103287133,0.0923122305639882
"VirginiaKeyFL",699.094280788405,4.64244190545352,-0.172700315267513,0.093832633458344
"NaplesFL",764.803374991144,4.50062494869731,0.148472527520964,0.269653469376799
"StPetersburgFL",787.704208314048,5.02407744748538,-0.200817710647524,0.132617844805517
"ApalachicolaFL",670.260821305912,4.54691928744194,0.0760353268355241,0.701087129902295
"PanamaCityBeach",725.434228080398,5.16997011023418,-0.0169327181441329,0.387401982691409
"PensacolaFL",592.44011849897,4.70168567186351,-0.00963113973783916,0.370301035881345
"DauphinIslandAL",621.831288771475,4.57994858517597,0.128844224204672,0.369626778272818
"GrandIsleLA",563.407682100762,4.55629082514629,0.231386405277816,0.347878734587668
"SabinePassNTX",671.904720691796,5.06828813553097,-0.162724499764956,0.263765166807572
"GalvestonPPier",887.036782891571,4.80263720161125,0.319650542241844,0.34701718782272
"RockportTX",445.747779926473,4.57234667417746,-0.212675530978257,0.301712282421318
"CorpusCristiTX",702.339667654963,4.96761429898397,-0.00326144157681715,0.127984284793457
"PortIsabelTX",540.28204263421,4.47969828172415,-0.0179286433740376,0.279070991071094
"ClearwaterBchFL",900.727382895278,4.74882379028223,-0.138089088487099,0.0395179541188405
"PortCanaveralFL",1132.06208641865,4.49307635022981,-0.215375512835161,0.214789936099056
"GalvestonPier21",678.376515058965,4.74396965033382,0.283807897892188,0.401388279077382
