"","mu","sigma","xi0","xi1"
"FernandinaBeach",1561.61606515715,85.2648923817953,0.130995687432547,0.0279214731809801
"KeyWestFL",558.382807614936,41.6926991033047,-0.034854872737741,0.454550762122839
"PortlandME",2213.26147462485,101.123279581974,-0.138993130659083,0.0792236517647627
"NewportRI",1218.61816041043,111.733870482636,-0.219948624900663,0.429947637527603
"DuckPierNC",1217.00381865017,105.385749694205,-0.248260230894109,0.31526360944037
"CharlestonSC",1394.69431315752,93.6687691600614,0.0605179556244735,0.227170049203774
"AtlanticCityNJ",1390.80706231834,115.88985617402,-0.103162431521656,0.148927623207933
"MontaukNY",992.825878542689,136.891873960924,0.167341279239193,0.0525352191070796
"EastportME",3913.84469356126,81.0112821298358,-0.121402005503641,0.239046583682364
"BostonMA",2279.52230550936,124.549986565938,-0.100743841375969,0.235219687327315
"WoodsHoleMA",948.150505580625,143.398105193237,-0.200784843351978,0.295602909268153
"NantucketMA",1072.09527044589,125.116570532058,-0.207298776880783,0.366578092203617
"NewLondonCT",1043.52350031081,153.089287064829,0.170833535824649,0.0177560239663631
"NewYorkNY",1433.80369206588,135.795433245891,-0.0893413990026,0.582098244665737
"CapeMayNJ",1500.4642075659,113.274191716697,-0.192187005461214,0.155725262972539
"LewesDE",1414.89068464048,116.235476448145,0.0720704429957357,0.131798652661195
"ChesapeakeBBT",1125.57582212538,130.442407163119,-0.168320752795166,0.403047323225192
"WilmingtonNC",1034.09151075051,111.821545492622,-0.121475344720724,0.281624610804968
"FortPulaskiGA",1695.73569364066,83.0715292287463,0.0827234975812639,0.0886503817820237
"MayportFL",1190.91461638256,59.0749146909874,0.0761389575966576,0.0315514858583565
"VirginiaKeyFL",698.173983965203,86.2216706190934,-0.232833022386016,0.359033137548604
"NaplesFL",761.026356429523,99.2093011171356,-0.0446547938986576,0.415787643439163
"StPetersburgFL",785.339314006835,129.566983304627,-0.0247622114611002,0.236841955443947
"ApalachicolaFL",660.305547301496,93.779565614314,0.181992213426871,0.772059211817868
"PanamaCityBeach",702.49077402585,153.355510486126,0.0316273920402946,0.611133706447526
"PensacolaFL",590.440663975279,107.021572563876,0.226251240285006,0.271607806504448
"DauphinIslandAL",611.003988018775,102.930709671313,-0.00136374644678289,0.53002260467014
"GrandIsleLA",555.517059605031,115.418021680606,0.00022380363266455,0.436885726868059
"SabinePassNTX",671.319027016474,136.73387234272,-0.146459827718182,0.480365745880601
"GalvestonPPier",883.241538569045,157.697110912105,0.13904599368859,0.26972467575871
"RockportTX",444.151372527949,81.6015289429112,0.0158238384590947,0.444832332651937
"CorpusCristiTX",695.79302959241,138.958793450488,-0.106226037687896,0.325159816251173
"PortIsabelTX",538.838154662045,87.0761106816418,0.0795615684624801,0.292585058761153
"ClearwaterBchFL",897.649198590123,98.6729688162977,-0.130646411984153,0.236140721749247
"PortCanaveralFL",1128.58691269127,70.3315049180583,-0.0949091131430017,0.405160369323403
"GalvestonPier21",680.391373892185,137.306003622799,0.397121551706941,-0.0474130995190104
