"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1565.46052564965,-7.57620709679138,4.32904683149584,0.188152913391428,0.16811903923787
"KeyWestFL",545.439826205875,22.6304613275456,3.70619692974061,0.0669435095532857,0.243593417108697
"PortlandME",2168.30631313417,73.7964019285518,4.72411497415555,-0.244917601291063,-0.0646470401150264
"NewportRI",1165.2650905048,74.4071559854522,4.7565387550118,-0.0697714410945296,0.0969285774891939
"DuckPierNC",1118.50709197038,112.387186706013,4.77341986226233,-0.152005944580194,0.0395478633314179
"CharlestonSC",1360.07607183234,60.0914299350317,4.37566074814565,0.272038554088062,0.190869197893293
"AtlanticCityNJ",1361.43448126105,51.2189195205588,4.66754711913084,0.137201255001549,-0.0100308146789983
"MontaukNY",994.06176961465,-0.194582530864419,5.13191741927233,-0.277738950415808,0.177364391485519
"EastportME",3821.56240352517,141.166147486505,4.32457231694883,-0.039164877884881,0.0732285128527485
"BostonMA",2234.20610292049,76.3385195313237,4.63028810626003,0.314848146773469,0.0436243050614731
"WoodsHoleMA",919.796775661515,31.5446601485169,5.22985932821182,-0.35105786868604,0.028350353704728
"NantucketMA",939.777790990351,165.870461199884,4.71782626073281,0.128951938760161,0.0790111671047462
"NewLondonCT",1049.72995008839,-7.88108962883527,5.23811607805327,-0.28411496164077,0.167924622925351
"NewYorkNY",1378.20178691942,82.211186114162,4.99637813609517,-0.175304283067973,0.282052195856188
"CapeMayNJ",1462.88541994117,45.2652962773389,4.8208451343529,-0.0982442052819188,-0.0746205189207477
"LewesDE",1393.75563584179,31.0328311521026,4.33347613897336,0.539711801136108,0.187670563146169
"ChesapeakeBBT",1046.75626155507,100.709036160606,4.78345377639771,0.154195451628975,0.115468355081544
"WilmingtonNC",825.735438388437,311.199908954604,4.35361532616939,-0.0126691796665535,0.207113777260024
"FortPulaskiGA",1721.54079362037,-37.6125114520339,3.94961678704175,0.548353041024731,0.207423558570667
"MayportFL",1232.89369812691,-70.8040006691125,4.18551149305862,-0.249697238558771,0.103260241559993
"VirginiaKeyFL",631.300889015232,71.9496488491944,4.57060666279907,-0.108243175612126,0.0983718033266982
"NaplesFL",713.81047825015,65.3544837778507,4.39230174765729,0.295510606521771,0.242602049169603
"StPetersburgFL",706.029551808533,107.889462244202,4.89235416952134,-0.0570438186152648,0.143481896625449
"ApalachicolaFL",620.933756690505,62.70114351831,4.42547342202172,0.255707560994824,0.658071012851446
"PanamaCityBeach",663.703579649124,68.0725682406731,5.10450422679838,0.0537060505944318,0.379343771572273
"PensacolaFL",539.475993414011,87.2984891962612,4.48087214445594,0.314100895847538,0.356834857409966
"DauphinIslandAL",606.321024290436,19.3533755879417,4.51489424345097,0.217656260766488,0.353774727740859
"GrandIsleLA",577.729694071419,-17.7078252944365,4.47852451722294,0.300597061080827,0.355583099006726
"SabinePassNTX",614.35882796583,63.0114967418242,5.01337410400212,-0.10969452866458,0.265165258973903
"GalvestonPPier",877.00615784304,13.949408492437,4.73284538756456,0.410442286971546,0.343568812839139
"RockportTX",427.403310288198,23.7294942612712,4.48101120446247,-0.0949579527790076,0.300688066292813
"CorpusCristiTX",703.560089001707,-0.888359616468946,4.90548512625455,0.0647574896414671,0.126118470005871
"PortIsabelTX",548.397074764627,-10.7492328087083,4.46352030838025,-0.000719128900125424,0.279101821712719
"ClearwaterBchFL",846.828922689856,56.7487632851968,4.68761225491007,-0.0744855048197035,0.0400400067844119
"PortCanaveralFL",970.757841027102,171.051775178202,4.34994264116163,-0.182980928057651,0.253927471712248
"GalvestonPier21",674.317214916285,7.61128021143339,4.71163385726271,0.338836745795988,0.401267666692981
