"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1567.78433986933,-13.8164422170585,83.8470922409587,0.16141247331545,0.0166408995685788
"KeyWestFL",548.761578315599,15.9598114333512,41.8725438312285,-0.00759044381696257,0.403086510625848
"PortlandME",2174.96888046777,62.2066899722162,97.8503821325081,-0.0624843773031525,-0.00424987339151053
"NewportRI",1181.82452674484,51.741963373059,110.699973608285,-0.214494790308545,0.440151890239144
"DuckPierNC",1173.49129385141,49.4582054643227,103.456646895598,-0.287997293973735,0.37741120197628
"CharlestonSC",1375.99502920423,31.5931479800528,93.8323024685527,0.133212840776287,0.103251608589968
"AtlanticCityNJ",1369.36660374399,37.5148292187391,115.740598898804,-0.0902219991812703,0.126179385095811
"MontaukNY",985.187646901829,8.44629756635526,135.16323547864,0.253241071361974,-0.0610008432217069
"EastportME",3836.83709133136,117.193575924323,72.7304220005146,-0.0948251738487563,0.273539033331259
"BostonMA",2255.435870519,39.5163545721096,125.048901900107,-0.0744212248638176,0.185445486879971
"WoodsHoleMA",931.632983929446,20.1552766779341,143.053006354994,-0.225739419666132,0.336700594976719
"NantucketMA",1015.14592487317,69.877157818246,122.481255136952,-0.226684542199632,0.398022409732338
"NewLondonCT",1037.42113895477,7.01429808739817,151.851938546385,0.241569686091921,-0.0804464469405101
"NewYorkNY",1393.86589603158,60.3856063206942,133.562591351889,-0.0773200129523199,0.602687408911621
"CapeMayNJ",1480.67729968231,23.2483988305831,113.069827549964,-0.195461809907313,0.164821803118195
"LewesDE",1413.20710284556,2.65971932823021,115.834864927048,0.143289039734383,0.050065316790411
"ChesapeakeBBT",1091.1538529432,39.774321034511,129.24430893486,-0.1910487116359,0.44203683958979
"WilmingtonNC",866.293656415399,252.324743196171,78.575557069305,-0.0627348323996096,0.40679446842529
"FortPulaskiGA",1736.35790328684,-62.2538426691717,77.3861979219277,0.122627475231739,0.117226420009705
"MayportFL",1220.93207732123,-50.97836687882,56.6431448324415,0.102338328769862,0.0242366027174022
"VirginiaKeyFL",670.283218652702,29.5495692292532,85.580266626717,-0.277993078458602,0.412604470827547
"NaplesFL",743.583847980263,21.9953917170367,99.9676955068196,-0.0268075219679105,0.389016665397601
"StPetersburgFL",738.193905533437,62.1460802150339,127.146590233663,0.0476577481403829,0.158157702373115
"ApalachicolaFL",662.293265918866,-4.13829460893947,93.1892001176705,0.258866332224794,0.73988821792567
"PanamaCityBeach",675.580359731204,25.769614023381,151.58813752633,0.06825354255235,0.617515193828522
"PensacolaFL",560.516367044055,49.0765728499984,106.721693648797,0.297071560285407,0.151867314271397
"DauphinIslandAL",615.518304197081,-6.85150757563624,101.818436428044,0.0310230968601415,0.528572311486126
"GrandIsleLA",570.34805172788,-18.9074180242581,113.356833566318,0.0429506426015171,0.422109859377873
"SabinePassNTX",645.723566374945,27.703058719472,136.295475133397,-0.176509686531916,0.522157286840038
"GalvestonPPier",882.983511760885,0.39320362162765,157.150148383962,0.216721428091889,0.179710694955887
"RockportTX",427.319418205528,20.8711462574524,81.3115776703605,0.0482914165392576,0.416570194389135
"CorpusCristiTX",693.277977134549,1.66574901689538,138.384006514138,-0.0984006920516748,0.328650408856187
"PortIsabelTX",547.091587776668,-11.3702395492612,86.4779808073546,0.118098845706731,0.257043833035624
"ClearwaterBchFL",874.71816613125,23.6156651037113,98.2643747611826,-0.121817109511607,0.236753834010037
"PortCanaveralFL",1067.99420091627,64.0328552412979,67.3589029175547,-0.0841935937105145,0.43042795870414
"GalvestonPier21",686.673474615591,-14.8999990351022,135.181837598318,0.48512072980059,-0.140271617654666
