"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1561.89462717194,4.30332880779525,0.235145406644794,0.189482150664674,-0.0265142160295104
"KeyWestFL",558.604582211049,3.77339277370483,-0.054492773499458,-0.0301293307468561,0.454988633260338
"PortlandME",2215.96617894169,4.79591863238879,-0.324294661555675,-0.177274638596259,0.154499966132104
"NewportRI",1219.01062655069,4.87683033944845,-0.241544741874148,-0.262891001748069,0.494333245487136
"DuckPierNC",1217.56932572368,4.92254372283195,-0.322659025098376,-0.338040273904603,0.433508525183155
"CharlestonSC",1394.6814271751,4.52110921507691,0.0350010805038151,0.0666248069396153,0.227058509734519
"AtlanticCityNJ",1390.49610880259,4.71840401352961,0.0606518074491766,-0.101342297213173,0.148117457390061
"MontaukNY",993.068017529832,5.20298239669601,-0.376887953214234,0.196593919263638,-0.0236171995214981
"EastportME",3918.28032393446,4.61330263211848,-0.35828642103492,-0.145897821977461,0.315666310147745
"BostonMA",2278.91395184489,4.69681319068964,0.204440751633933,-0.112329755121949,0.257408729015179
"WoodsHoleMA",946.977959196326,5.3897493860547,-0.562155440226966,-0.279852731608841,0.405222160555643
"NantucketMA",1072.23778830042,4.8276642927563,0.00461918868408083,-0.279880072520434,0.454259515482842
"NewLondonCT",1042.70701082619,5.28863301690742,-0.361013788040993,0.181294406844975,-0.0133001260617055
"NewYorkNY",1433.77670195504,5.13433454437676,-0.38617528004929,-0.0943508956302498,0.608494172039643
"CapeMayNJ",1500.55867934948,4.88682539583907,-0.189375067447192,-0.241295193029105,0.219736577898358
"LewesDE",1411.96192640375,4.29142868684967,0.575406462235045,0.143825987536526,0.112233750769995
"ChesapeakeBBT",1126.58040986311,4.8148153777916,0.0798298230939901,-0.238695569759575,0.478674931022964
"WilmingtonNC",1061.24312340279,5.36850512492174,-1.09093351268578,-0.18977678640872,0.524746802138558
"FortPulaskiGA",1698.40510220982,3.79323307703841,0.795964079361892,0.191309073065565,0.0182333785721406
"MayportFL",1190.92213942917,4.08488337432799,-0.00755299402626496,0.112082692533665,-0.0235058566373725
"VirginiaKeyFL",698.501406586728,4.67240748310785,-0.236189411839303,-0.3249820716421,0.464103083756679
"NaplesFL",761.071224127672,4.3743080772348,0.275488797684827,-0.055624884481082,0.448090512757069
"StPetersburgFL",786.695227235049,5.03391245142695,-0.22753752426701,-0.015951786626912,0.230874519700194
"ApalachicolaFL",660.979113141296,4.31962916695804,0.287407887541157,0.240453266596646,0.788470831924332
"PanamaCityBeach",706.0224649528,5.0429719837959,0.0381179035014622,0.0426099203964553,0.644532111180071
"PensacolaFL",590.894337890221,4.68331109543793,-0.00354479060900305,0.248038374655354,0.247222846128287
"DauphinIslandAL",613.080777061304,4.39282371135217,0.292680453136121,0.00970448977936761,0.558965027528282
"GrandIsleLA",558.232009248781,4.33553430761064,0.472430108014894,0.0219856114368985,0.459151988153338
"SabinePassNTX",672.57974776507,5.11498793346986,-0.211979577939512,-0.215593811969988,0.562552466048107
"GalvestonPPier",884.370898706581,4.61215383061831,0.57274107340952,0.216660983853113,0.225816703733309
"RockportTX",443.415579615065,4.58435364441163,-0.245605637361278,0.0235256512538619,0.452891801104313
"CorpusCristiTX",697.253334860051,4.88496630323038,0.0705844695054733,-0.136859145527898,0.368272106060682
"PortIsabelTX",539.402587259013,4.43472586125594,0.0527456038761608,0.110402893976709,0.268416650399063
"ClearwaterBchFL",897.755874918612,4.75354094978433,-0.164930390228562,-0.167728722102779,0.283303528238914
"PortCanaveralFL",1129.83823331322,4.542166549122,-0.300509066646851,-0.123976019763853,0.459205652231428
"GalvestonPier21",676.739028149317,4.70757335177614,0.333237967183991,0.469032027617028,-0.0752522301399053
