"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1561.29364559778,1.4172978152621,4.27884305931414,0.26788262760603,0.210124504948769,-0.0530936045310654
"KeyWestFL",545.281519431496,21.8620219554768,3.64819242345899,0.155243333095573,-0.041045338324223,0.460756192552879
"PortlandME",2175.25821932344,62.5162264611379,4.76914483690993,-0.302955647369997,-0.0994305819325244,0.0455151225148083
"NewportRI",1180.4825528534,52.9034405371309,4.76916110388127,-0.0938740323863634,-0.194442276277939,0.401404707405418
"DuckPierNC",1173.28867784458,51.6583161879246,4.86305009167664,-0.260080762145537,-0.253582180363548,0.34539665946337
"CharlestonSC",1363.83101043976,52.0290175822156,4.33807379984485,0.322388382980606,0.123895522657461,0.12064088174521
"AtlanticCityNJ",1366.33698390335,41.6915508931171,4.66538449948135,0.141290238138882,-0.0627028054962172,0.0879315022482464
"MontaukNY",984.815663460459,12.5109008450117,5.12198781964757,-0.270496887724371,0.237095763801987,-0.0782948671623701
"EastportME",3838.58729822892,115.701182467877,4.35794884272513,-0.0963140512761657,-0.0816712428000732,0.242593920983873
"BostonMA",2245.5317858815,56.4317877479597,4.62262949705446,0.339822766223763,-0.0529583924479014,0.14501399433464
"WoodsHoleMA",925.307760692525,25.5968696899667,5.31947241875466,-0.468518082173462,-0.216670468187382,0.334091504015059
"NantucketMA",1014.44514216099,70.6520493482336,4.72891806960247,0.113073871414512,-0.192417003841919,0.35307469089346
"NewLondonCT",1035.83285985335,8.64786472527815,5.24023276751216,-0.29259757571584,0.215792946456074,-0.0525505225957063
"NewYorkNY",1396.32479687578,54.054819494366,5.03276084035236,-0.232615609657442,-0.0312666618781556,0.526115042706875
"CapeMayNJ",1474.12634063857,31.452880375235,4.82158755108043,-0.10581759626481,-0.159117335378664,0.119252078088369
"LewesDE",1388.36688281724,33.7275547049638,4.18182357683216,0.701372595223983,0.168146552157101,0.0627185186384115
"ChesapeakeBBT",1088.49261215898,45.095957464803,4.7379454691119,0.176496274820474,-0.165304507933615,0.394615498860181
"WilmingtonNC",894.890071911588,216.118875530231,4.72556370551864,-0.495141225845539,-0.0712833358796779,0.410504095272865
"FortPulaskiGA",1705.15699777528,-12.1000256586124,3.79226530033345,0.783198115019036,0.182831816854466,0.0306345083998253
"MayportFL",1220.40266268093,-50.7017323809938,4.15220176671842,-0.194738064368793,0.118819348825794,-0.0150308817986335
"VirginiaKeyFL",660.715930631891,40.0631926482048,4.59168388957145,-0.137397823549108,-0.227657692224539,0.370612550956371
"NaplesFL",732.826090611266,36.4826197015766,4.29194981295061,0.392404963823827,0.0157329200245102,0.343288681613962
"StPetersburgFL",739.111054998937,62.5944774942534,4.94774837173258,-0.1168834399831,0.0765708258103033,0.11914311972652
"ApalachicolaFL",642.800911155668,23.2947064175299,4.23596099824754,0.398536842941482,0.330433132816174,0.65757828706643
"PanamaCityBeach",673.070283251124,35.7331514350202,4.97470352869266,0.111740539832924,0.108799287922565,0.556870366528133
"PensacolaFL",550.418098627384,67.8111408092278,4.50195866935592,0.290905024809112,0.325096330003009,0.095783512934965
"DauphinIslandAL",601.213286690074,15.3366814596599,4.3510767880477,0.353922098079031,0.0744229470821881,0.456438183285878
"GrandIsleLA",554.488917428695,5.7833759751097,4.27746865803452,0.53802536055388,0.0837609948151322,0.384846498441295
"SabinePassNTX",637.190229628734,38.4987555372454,5.02222525042403,-0.114360742395448,-0.140683143494931,0.48609485878135
"GalvestonPPier",869.323462264706,20.908649116981,4.54145931965793,0.659426766077286,0.273054169237669,0.148325999827661
"RockportTX",427.267920755481,21.1633087179787,4.48936077646612,-0.109754289379478,0.0836981814679274,0.380382806259779
"CorpusCristiTX",682.233630812857,18.0350421832818,4.8106423504101,0.164020156560358,-0.0722084158673151,0.289616710139485
"PortIsabelTX",539.285993989816,0.412094508433567,4.40892367787394,0.0880042952722659,0.132397218383149,0.240384533180826
"ClearwaterBchFL",864.134501849833,35.1467254956862,4.67893628246636,-0.0872532945641412,-0.0875466490414681,0.195068546747702
"PortCanaveralFL",1067.72074113103,65.8115634081886,4.41764600346213,-0.206459168653895,-0.0412738473872873,0.390351065873832
"GalvestonPier21",668.349899420582,17.4581128710243,4.66720240471325,0.409129884391651,0.462563246194832,-0.0640260662574762
