"","lambda","sigma","xi"
"FernandinaBeach",0.00544411609180922,91.7531201903323,0.0590649278296696
"KeyWestFL",0.00496562271180813,41.6005994508442,0.195180780524937
"PortlandME",0.00663570846570373,100.954925795725,-0.0213013716654006
"NewportRI",0.00706642443235845,108.613295275738,0.0422535718960782
"DuckPierNC",0.00588465340350206,132.173345295191,-0.0549627626970814
"CharlestonSC",0.00621435065876157,69.3182015963603,0.212425859444525
"AtlanticCityNJ",0.00691049326096892,112.039770625564,0.0543595638343124
"MontaukNY",0.00727054396615212,159.118615869694,0.037497836632374
"EastportME",0.00650043417494293,94.0478470207195,-0.00471706284798865
"BostonMA",0.00685966070507801,95.3023989605787,0.165314275537533
"WoodsHoleMA",0.00731069123909997,147.076815768059,0.0130618694709788
"NantucketMA",0.00684070100251433,94.8766108758496,0.316436209670979
"NewLondonCT",0.00764198357320649,141.897264457534,0.138490935161417
"NewYorkNY",0.00707576988746634,128.261484563873,0.164964314515432
"CapeMayNJ",0.00654394822571933,130.993042374607,-0.0339976360405173
"LewesDE",0.00682412507262321,138.540634034496,0.0470678398128083
"ChesapeakeBBT",0.00623724496834419,161.704259856124,-0.0157383397232726
"WilmingtonNC",0.00527055461437531,71.0057956418826,0.212416736013052
"FortPulaskiGA",0.00576088288536656,75.4425480926063,0.123689351414126
"MayportFL",0.0051338713231027,65.4982278932023,0.017465398312136
"VirginiaKeyFL",0.00482343005059223,67.407328266725,0.195647018251545
"NaplesFL",0.00695614961515513,84.6170426494539,0.180459297629305
"StPetersburgFL",0.00722869833044956,81.1509456040354,0.28706101804245
"ApalachicolaFL",0.00632980027873101,122.352819991855,0.367397744010293
"PanamaCityBeach",0.00614767988424607,142.107558815228,0.30721907411852
"PensacolaFL",0.00637328880031148,75.8805413476178,0.394709994853454
"DauphinIslandAL",0.00583097117643944,95.1104932699539,0.351680500598921
"GrandIsleLA",0.00550546952618805,108.016825588774,0.323835038823897
"SabinePassNTX",0.00538642985147357,85.3438071681603,0.293219556960521
"GalvestonPPier",0.00602358041066556,106.950456057513,0.334406252773223
"RockportTX",0.00448158975893895,75.1687416109752,0.259193502610011
"CorpusCristiTX",0.00511725229530167,128.097473687665,0.0911026583354462
"PortIsabelTX",0.00463611084172335,79.3830812334979,0.155085387553141
"ClearwaterBchFL",0.00668580103881921,126.875628033941,-0.0159479774882429
"PortCanaveralFL",0.00542080858516722,62.861903765381,0.213248675583564
"GalvestonPier21",0.00582993045122881,103.296299184479,0.310880274921433
